"Gene" "BF" "LoF.BF" "nonLoF.BF"
"95" "LZIC" 1.02254883824831 0.947086336479694 1.07967858775062
"96" "NMNAT1" 0.88770552522531 1.14312417830709 0.77656088644714
"97" "RBP7" 0.902562197922662 0.93146952422216 0.968965891478159
"98" "PGD" 1.29035494885841 1.05291366352133 1.22550878914705
"99" "CASZ1" 0.677976926501653 1.05291366352133 0.643905526151355
"100" "MASP2" 0.96652485346939 0.994408127620084 0.971959929352723
"101" "EXOSC10" 0.584314667488012 1.02422510556081 0.570494380889126
"102" "MTOR" 0.866255355654875 1.04996565710818 0.825032085373837
"103" "ANGPTL7" 1.09232106580053 1.05291366352133 1.03742700246419
"104" "PTCHD2" 0.998901304312311 0.947086336479694 1.05470986734453
"105" "FBXO44" 0.854568086928103 0.991623928270153 0.861786472235358
"106" "FBXO6" 0.837362774441809 0.960007718755874 0.872245876863358
"107" "MAD2L2" 0.887159068226789 0.947086336479694 0.936724598439828
"108" "MTHFR" 0.751268051612333 0.896972528746529 0.83755971062145
"109" "CLCN6" 0.763950541380277 1.05291366352133 0.725558578872788
"110" "PLOD1" 0.85531451029401 1.05291366352133 0.812331096011732
"111" "MFN2" 1.37501390537361 1.05291366352133 1.30591325102104
"112" "TNFRSF1B" 1.14273080582314 1.05291366352133 1.08530342554529
"113" "VPS13D" 1.91478914759273 1.10242788110662 1.73688381835069
"114" "C1orf158" 1.39852433726028 1.05291366352133 1.32824217759992
"115" "PRAMEF12" 1.05501042135347 1.03846114114858 1.01593634999822
"116" "PRAMEF1" 1.02826554748808 0.896972528746529 1.14637351148872
"117" "HNRNPCL2" 0.936709073376475 0.936709073376475 1
"118" "TMEM51" 0.984609814597049 0.947086336479694 1.03961991285486
"119" "CELA2A" 0.874633294953294 0.896972528746529 0.975094851762682
"120" "CELA2B" 0.981289638093866 1.010805244164 0.970799908052963
"121" "DNAJC16" 0.774081557743724 1.04996565710818 0.737244644625521
"122" "AGMAT" 1.07316095575649 1.05291366352133 1.01922977442181
"123" "RSC1A1" 0.803753285669192 0.997200144213831 0.806009997424191
"124" "SLC25A34" 0.973516294696935 0.973516294696935 1
"125" "FBLIM1" 0.904891234293778 1.05291366352133 0.859416365884634
"126" "UQCRHL" 0.944520222977254 0.944520222977254 1
"127" "CLCNKA" 1.00406366331785 0.935316886259136 1.07350105410121
"128" "CLCNKB" 1.20523297044774 1.04996565710818 1.14787846848933
"129" "EPHA2" 1.0237946108021 0.947086336479694 1.0809939615511
"130" "SPATA21" 0.925874417451132 0.936593604427013 0.988555135412825
"131" "NECAP2" 0.931935047268239 1.05291366352133 0.885101105205061
"132" "MFAP2" 0.825870099386199 0.947086336479694 0.872011418152168
"133" "ATP13A2" 1.13151286511425 0.947086336479694 1.1947304290336
"134" "PADI2" 1.03248760456366 1.05625700213612 0.977496577514383
"135" "PADI1" 0.690086369663891 0.897508787550076 0.768890933700622
"136" "PADI3" 1.20113945978562 0.894542197710512 1.34274208959601
"137" "PADI6" 1.05291366352133 1.05291366352133 1
"138" "ACTL8" 0.956695838961248 1.05291366352133 0.908617555366985
"139" "TAS1R2" 0.61801243805427 0.962703148737229 0.641955351309396
"140" "UBR4" 2.86067181604196 1.14312417830709 2.50250311412228
"141" "EMC1" 0.798114333239985 0.917136605738195 0.870224051953079
"142" "AKR7A3" 0.743802888067985 0.947086336479694 0.785359116078782
"143" "TMCO4" 1.0196726370496 1.10862718282991 0.919761532859727
"144" "RNF186" 1.03755787821803 0.923989430904822 1.12291098092106
"145" "OTUD3" 1.0210049973919 1.05291366352133 0.969694888351326
"146" "PLA2G2A" 1.0636490397752 1.10862718282991 0.959428973282167
"147" "PLA2G5" 0.759323614501205 0.911762998255009 0.832808104687785
"148" "PLA2G2F" 0.950094647381875 1.05291366352133 0.902348103456468
"149" "UBXN10" 0.855060120030155 0.962703148737229 0.888186686780584
"150" "KIF17" 0.714946202514008 1.20024112903245 0.595668807892248
"151" "ECE1" 1.20206278954685 1.10862718282991 1.0842804579971
"152" "NBPF3" 1.0553619292613 1.16439126863021 0.906363657727205
"153" "HSPG2" 0.742733307004468 0.997200144213831 0.744818691928711
"154" "ZBTB40" 1.18229669714758 1.05291366352133 1.12288095226492
"155" "EPHA8" 5.89870296427645 1.05291366352133 5.60226651874667
"156" "LUZP1" 1.08241828520616 0.994408127620084 1.08850506662361
"157" "ZNF436" 1.06742835516786 1.10862718282991 0.962837978086663
"158" "TCEA3" 0.872098653753415 0.896728643921442 0.972533507951393
"159" "ASAP3" 1.12462934555721 0.947086336479694 1.18746232760304
"160" "GALE" 0.727961062770515 0.896972528746529 0.81157564968885
"161" "HMGCL" 0.836876453022506 1.05291366352133 0.79481963433135
"162" "FUCA1" 1.86460346600876 1.10862718282991 1.68190307335702
"163" "CNR2" 1.18734422741699 0.947086336479694 1.25368108659484
"164" "MYOM3" 0.598828474375124 0.784950231855224 0.762887187076558
"165" "GRHL3" 1.06616704423483 1.05291366352133 1.01258733851851
"166" "STPG1" 1.03911862508315 1.04137684613682 0.997831504452932
"167" "NIPAL3" 1.29831754261461 1.05291366352133 1.23307122663083
"168" "SYF2" 0.905190976375177 0.9444346313205 0.958447463017687
"169" "RSRP1" 1.03861550708341 1.05291366352133 0.986420390452433
"170" "AUNIP" 0.877797903595317 0.795336003610597 1.10368183963805
"171" "PAFAH2" 0.484210374472285 0.931423925157538 0.519860357237858
"172" "TRIM63" 0.806477243505324 0.889526329678611 0.906636730805605
"173" "ZNF593" 0.926043536060403 1.05291366352133 0.879505669024536
"174" "CNKSR1" 0.614977772456833 0.77888470803242 0.789562005923007
"175" "CATSPER4" 0.932814586620773 0.989042959756138 0.94314870493671
"176" "CEP85" 0.938819417829517 0.947086336479694 0.99127120904214
"177" "UBXN11" 1.02154775931756 0.936679463568834 1.09060548357212
"178" "AIM1L" 0.607569930711858 0.911762998255009 0.66636826880962
"179" "LIN28A" 0.830226409862659 1.05291366352133 0.788503785852751
"180" "PIGV" 1.23852400143879 0.983512357746928 1.25928666954023
"181" "GPN2" 1.24310109537435 0.947086336479694 1.31255308781556
"182" "GPATCH3" 1.52397666480237 1.10862718282991 1.37465208178662
"183" "NUDC" 0.954338019404102 1.05291366352133 0.906378226883717
"184" "SLC9A1" 0.911185113179888 0.947086336479694 0.96209297725353
"185" "MAP3K6" 0.966012815007274 0.947086336479694 1.01998389988175
"186" "GPR3" 1.24361844448979 1.05291366352133 1.18112100505057
