"Gene","BF","LoF.BF","nonLoF.BF"
"ATP6V0D2",0.921580365151306,1,0.921580365151306
"ALAS1",0.921573596246517,1,0.921573596246517
"SCUBE2",0.921534575701149,0.999999999999998,0.921534575701151
"FBN1",0.921515229371048,1,0.921515229371048
"CYP2C8",0.921424648173307,1.00000000000001,0.921424648173299
"PADI4",0.921417633521924,1,0.921417633521924
"PIK3C2B",0.921411818400373,1,0.921411818400371
"NTSR1",0.921370215908373,0.999999999999999,0.921370215908374
"UGT1A9",0.921284744156248,1,0.921284744156248
"NUP188",0.921261289678864,1,0.921261289678864
"WDR25",0.921189395936874,0.999999999999999,0.921189395936875
"USP45",0.921148815278656,0.999999999999996,0.921148815278659
"NPHP3",0.921069012666179,0.999999999999996,0.921069012666182
"TIMM21",0.921068544715792,1,0.921068544715792
"SEMA3C",0.92106076811569,0.999999999999999,0.921060768115691
"ZSCAN20",0.921048936831113,0.999999999999997,0.921048936831116
"DDR2",0.921015552954904,1,0.921015552954904
"ADAM7",0.921009490280815,1,0.921009490280815
"ABCF3",0.921009229888438,0.999999999999999,0.921009229888439
"CNKSR3",0.920933326113102,1,0.920933326113101
"CYP26A1",0.920845271404578,1,0.920845271404578
"SLC47A2",0.920685926230531,1,0.920685926230531
"FGFR1",0.920644364485263,1,0.920644364485263
"VPS53",0.920582289953924,1,0.920582289953924
"OGFOD3",0.920539444449495,1,0.920539444449495
"TIMM44",0.920479855882148,1,0.920479855882148
"CRISP1",0.920438064914946,0.999999999999998,0.920438064914948
"NFKBIZ",0.920411882770467,1,0.920411882770467
"ATF6B",0.920336779045301,1,0.920336779045301
"CCDC170",0.920296164165373,0.999999999999998,0.920296164165374
"ZCCHC14",0.920293947405725,1,0.920293947405725
"NUP153",0.920245699991861,1,0.920245699991861
"TEAD2",0.920141099013001,0.999999999999999,0.920141099013003
"GAR1",0.92011366799206,1,0.92011366799206
"PNISR",0.920047111763103,1,0.920047111763103
"ABCC8",0.920044520455377,1,0.920044520455377
"KIAA0232",0.919984327530503,1,0.919984327530503
"RFX6",0.919915869880092,1,0.919915869880092
