"Gene","BF"
"PGAM2",1.89829043568593
"TRPA1",1.89284583025451
"COMMD4",1.89011653765738
"DENND2D",1.88626910706175
"ARAP2",1.88495007548261
"ANXA6",1.8842829089476
"EML4",1.8837757043883
"DDX6",1.87853657803662
"NOX5",1.87629195643016
"TRIP12",1.87587178724774
"AKR1C1",1.87543790556869
"RAB11FIP5",1.87400054919634
"NPSR1",1.87282248759447
"EIF2B5",1.86881970127585
"FANCG",1.86796470978442
"FUCA1",1.86460346600876
"PUS7L",1.86288370807888
"MED13",1.86192800025664
"COX10",1.86140952627008
"OR4B1",1.85940245323249
"E2F8",1.85777554714513
"NLRP3",1.85354518533858
"ZNF816-ZNF321P",1.85229984526203
"HIRA",1.85072014225959
"R3HDML",1.84937127505984
"ALLC",1.84927554113571
"ADAMTS9",1.84275890783844
"EML2",1.83906380584745
"MYH10",1.83834958544254
"USP6",1.83508353432521
"LARGE",1.83448094236361
"ZNF778",1.83393670619519
"BNC1",1.83383830151078
"OR8B2",1.83159256920522
"NDUFS1",1.82864108840107
"PDZD2",1.82850495368491
"PLXNA2",1.82640089056252
"LOXL4",1.82509538292766
"CHCHD3",1.82475360852008
"IDE",1.82397679155853
"AMPD3",1.81929595633912
"OR4A16",1.8187799379592
"FPGT",1.81852916007581
"PHYHD1",1.81337453283753
"PLXNB1",1.81289854491255
"ELFN2",1.80396527867124
"SYCE2",1.80168231426676
"PAMR1",1.80111404321077
"NID1",1.79945368998035
"OR13F1",1.79919148774734
"SOAT2",1.79894701840291
"TMEM171",1.79733891947605
"SUCLG2",1.79569893575868
"LBR",1.79560209842779
"MAN2B1",1.79493459504138
"RBBP8NL",1.79239453383123
"KERA",1.79168728808669
"CD68",1.79149820735333
"GCC1",1.79047547732224
"MCOLN2",1.78945799243796
"DNASE1L3",1.78834646617808
"CNGB3",1.78738313399083
"HMOX1",1.78511476728554
"ASIC5",1.78467625201289
"METTL24",1.78447772958262
"LRRC2",1.78019138970983
"OSBPL11",1.77715989449341
"STX3",1.77663750092135
"SEC24A",1.77631744181047
"MELK",1.77558615993445
"NIM1K",1.77509336263259
"COL6A3",1.77218889173082
"NNMT",1.77128671691694
"FICD",1.77062342453858
"SYPL2",1.76973174846049
"CNGA3",1.76897169835459
"AKAP9",1.76745417025691
"CCDC62",1.7663978615239
"OR6B2",1.76167888614582
"FAM92B",1.75886860064064
"TMEM144",1.75601256398339
"LRRC49",1.75564593959892
"TRPV4",1.75546570377359
"MBD5",1.75475389535835
"ITGB6",1.75371541767848
"ENO3",1.75369934557998
"OR52E6",1.7525305980867
"OR6K2",1.75178227610573
"GIMAP2",1.75088171153459
"PLEKHA6",1.74912383807495
"PIK3C2B",1.7491148772135
"GRB14",1.74713259099682
"ADNP",1.7457168312821
"CHD6",1.74544614819527
"MTERF3",1.74543470594767
"CPS1",1.74504736088254
"FHL3",1.74244952347176
"EEF2K",1.74027188110471
"ZNF283",1.73770781222451
"TP63",1.73564420028719
"SERPIND1",1.7350937185079
"KLHL41",1.73266182924226
"FANK1",1.73147874129173
