"Gene" "BF" "LoF.BF" "nonLoF.BF"
"46" "OR7G1" 0.990895046067127 1 0.990895046067126
"47" "FAM187B" 1.06513645008562 1 1.06513645008562
"48" "LAIR2" 1.00073229767048 1 1.00073229767048
"49" "ZIM3" 1.00519343424092 0.999999999999999 1.00519343424092
"50" "ZNF544" 0.979949379779529 1 0.979949379779527
"51" "SIGLEC1" 1.01873987465327 0.999999999999998 1.01873987465328
"52" "KIAA1755" 1.00167242754938 1 1.00167242754938
"53" "ZSWIM1" 0.995944383253159 1 0.995944383253159
"54" "CCT8L2" 0.976213801498711 1 0.976213801498711
"55" "PRODH" 1.05648090979133 1 1.05648090979133
"56" "SLC5A4" 0.912604783663993 1 0.912604783663993
"57" "MRPL20" 1.01822323997488 0.999999999999999 1.01822323997488
"58" "VWA1" 0.999999999999999 0.999999999999999 1
"59" "ARHGEF16" 1.00123978802471 0.999999999999999 1.00123978802471
"60" "TPRG1L" 1.03207963840489 0.999999999999998 1.03207963840489
"61" "CCDC27" 0.950566219240755 1 0.950566219240751
"62" "CEP104" 0.952517509252007 0.999999999999997 0.952517509252009
"63" "C1orf174" 0.972421604443175 1.00000000000001 0.972421604443167
"64" "RNF207" 0.970478888436536 1 0.970478888436534
"65" "TAS1R1" 1.00581901047731 0.999999999999999 1.00581901047732
"66" "MASP2" 0.885147721004158 1 0.885147721004157
"67" "ANGPTL7" 0.983094121563421 0.999999999999998 0.983094121563423
"68" "UBIAD1" 0.975523254372661 0.999999999999999 0.975523254372662
"69" "FBXO2" 0.976477188563022 1 0.97647718856302
"70" "DRAXIN" 0.986192999439119 0.999999999999999 0.98619299943912
"71" "C1orf158" 0.968756624652579 0.999999999999998 0.96875662465258
"72" "CASP9" 0.997874382741009 1 0.997874382741005
"73" "RSC1A1" 0.977187523615546 0.999999999999999 0.977187523615547
"74" "CLCNKA" 1.07586726075194 0.999999999999999 1.07586726075194
"75" "ARHGEF19" 0.95219689694223 0.999999999999998 0.952196896942232
"76" "CROCC" 0.872021648527947 1 0.872021648527943
"77" "PADI2" 0.991111021554496 0.999999999999998 0.991111021554498
"78" "PADI1" 1.00963317865747 1 1.00963317865747
"79" "PADI3" 1.0104852381711 0.999999999999999 1.01048523817111
"80" "EMC1" 1.03536168666817 1 1.03536168666817
"81" "AKR7A3" 0.988749302848889 0.999999999999999 0.98874930284889
"82" "TMCO4" 1.08719879813407 0.999999999999998 1.08719879813408
"83" "RNF186" 0.980404212357928 0.999999999999998 0.980404212357929
"84" "UBXN10" 0.946021932223511 1 0.946021932223509
"85" "NBPF3" 0.983553287602533 0.999999999999998 0.983553287602535
"86" "TCEA3" 0.947970109237832 0.999999999999998 0.947970109237834
"87" "CNR2" 0.95589383861407 0.999999999999999 0.955893838614071
"88" "RSRP1" 0.985277868257613 0.999999999999999 0.985277868257613
"89" "PAFAH2" 0.929951626132292 0.999999999999997 0.929951626132294
"90" "CNKSR1" 1.22166346136716 0.999999999999999 1.22166346136716
"91" "UBXN11" 0.949698711144682 0.999999999999998 0.949698711144684
"92" "GPATCH3" 0.987368511922691 1 0.987368511922689
"93" "FAM46B" 0.970775332403385 0.999999999999999 0.970775332403386
"94" "THEMIS2" 1.01870046797265 0.999999999999998 1.01870046797265
"95" "SESN2" 1.01454852607924 1 1.01454852607924
"96" "ZCCHC17" 0.995319737262829 0.999999999999999 0.99531973726283
"97" "IQCC" 0.981054102086721 0.999999999999997 0.981054102086724
"98" "DCDC2B" 0.935819251477649 0.999999999999998 0.935819251477651
"99" "EIF3I" 0.995319737262829 0.999999999999998 0.99531973726283
"100" "ZSCAN20" 0.921048936831113 0.999999999999997 0.921048936831116
"101" "GJB4" 0.989116163846923 0.999999999999998 0.989116163846925
"102" "OSCP1" 0.946397899887928 0.999999999999998 0.94639789988793
"103" "CSF3R" 0.904419035417896 0.999999999999999 0.904419035417897
"104" "EPHA10" 0.999005051740607 1 0.999005051740605
"105" "INPP5B" 0.911138333336638 0.999999999999999 0.911138333336639
"106" "UTP11L" 0.999356720995408 0.999999999999999 0.999356720995409
"107" "HEYL" 0.990039075768633 0.999999999999999 0.990039075768634
"108" "TRIT1" 0.954824819925361 0.999999999999999 0.954824819925363
"109" "PPT1" 0.974037510681831 1 0.974037510681829
"110" "ZFP69" 1.11953803740666 0.999999999999998 1.11953803740666
"111" "SLFNL1" 0.987893546821547 0.999999999999998 0.987893546821549
"112" "HIVEP3" 0.883059740525343 1 0.883059740525341
"113" "GUCA2A" 0.977400302654713 0.999999999999998 0.977400302654715
"114" "ZMYND12" 0.965764188602124 1 0.965764188602122
"115" "CCDC30" 0.939631393768161 0.999999999999998 0.939631393768162
"116" "ERMAP" 0.989132652053222 0.999999999999998 0.989132652053223
"117" "FAM183A" 0.996262709632365 0.999999999999998 0.996262709632368
"118" "WDR65" 0.930646009602474 0.999999999999999 0.930646009602475
"119" "SZT2" 1.11816035661619 0.999999999999998 1.11816035661619
"120" "DPH2" 0.988210376363129 0.999999999999999 0.98821037636313
"121" "KLF17" 1.00242925694055 0.999999999999999 1.00242925694055
"122" "KIF2C" 0.916472442832823 0.999999999999999 0.916472442832825
"123" "BEST4" 1.08363557034871 0.999999999999999 1.08363557034871
"124" "TESK2" 0.898569740012517 1 0.898569740012515
"125" "PIK3R3" 0.969069346375871 0.999999999999998 0.969069346375872
