"Gene","BF.SCZ","BF.denovo.coding","BF.combine"
"INTS6",1.01502050608814,46.594993049,47.2948734257694
"ZC3H11A",0.970851044748875,48.5773713378,47.1613917144572
"CTCF",1.02708345734716,45.5867811244,46.821428766577
"NUAK1",0.927201412620426,45.387971976,42.0837917321235
"PLCD4",0.909941996669612,45.6865371713,41.5720988545732
"NR3C2",1.00317403073508,39.6653847334,39.7912838836626
"RAPGEF4",1.05447648222818,37.6631350001,39.7148901045905
"DPP3",1.01702553949741,38.5669866469,39.2236104013529
"MTUS1",1.0949542267385,34.2692865942,37.5233002036323
"MYO9B",0.85582692200468,43.0395995187,36.8344479804031
"ATP1A1",0.993506724688287,35.6926078067,35.4608458776181
"ERBB2IP",0.944473949280314,35.6926078067,33.7107382553073
"TGM1",0.933475481082471,36.0776517059,33.6776032824908
"ARHGAP5",1.05375939704606,31.004242502,32.6710118847773
"IRF2BPL",0.983016997976029,32.1448291998,31.5989135004396
"PPL",47.2585958752349,0.6538314603,30.8991567528324
"GIGYF2",0.931515167897569,33.1180508406,30.8499666892217
"FBXO18",0.988424930647661,30.0976257961,29.7492436901694
"SCN1A",1.12362530772125,26.1496647873,29.3824251434375
"SPAG9",0.936326918969348,29.9704552238,28.0621439998095
"RFX7",0.909389171893293,30.2894715373,27.5449174383907
"AKAP9",0.772578567860671,34.9535330802,27.0043505287715
"THAP5",1.54381554680398,17.3314696039,26.7565922234614
"SETD5",0.898776096877441,28.3688222973,25.497219377377
"CHD1",0.926606384559891,27.3715453376,25.3626486650907
"MYO1E",0.76150949558595,32.9068649914,25.058890160916
"CD163L1",0.922849399653379,25.9728585118,23.9690368848968
"IKBKB",10.3176870002849,2.2822357458,23.5473940860262
"CCDC66",1.93701259065778,11.8079692568,22.8721851205216
"KDM4B",0.986852629459088,22.9676014225,22.6656378561624
"PCDHA13",0.987681893257387,22.5430500949,22.2653623975269
"PRB4",0.961995910474852,21.8167259744,20.9876011673233
"LAMB1",0.826015174301953,24.7456776106,20.4403052047397
"CHMP1A",0.978282983076268,20.6527399095,20.204224007364
"CA3",0.975573030131606,20.3012813581,19.8053825700759
"ZC3H4",0.976720944863574,19.635682567,19.1785824298814
"RELN",0.82881840263511,23.0665162819,19.1179531791211
"DOCK5",1.04110983223379,18.131119401,18.8764866777859
"TOR1AIP2",1.29144970680328,14.4684700398,18.6853013907918
"MLANA",1.01656184205399,18.1840921175,18.4852541790452
"ABI2",1.09061765071661,16.6710913938,18.1817865307881
"NRXN1",0.957004821548771,18.848012358,18.0376387032168
"BAZ2B",0.906483568615747,19.8788300589,18.0198328116977
"NRG4",0.986432950366318,18.2139063619,17.9667973902649
"MBNL1",0.98343111893157,17.8400607221,17.544470877742
"IFNA10",0.978391971963595,17.739542599,17.3562260651678
"TCTE3",1.01081555057287,17.019957038,17.2040372440926
"RPL12",0.990708416293004,17.2714931601,17.1110136356581
"PLEKHA8",0.960880211847114,17.7968269895,17.1006188878772
