"Gene","BF","LoF.BF","nonLoF.BF"
"SCN7A",0.847728015582494,1,0.847728015582494
"COL6A2",0.847714532421828,1,0.847714532421828
"SCN2A",0.847696555026658,1,0.847696555026658
"AGA",0.84764977981503,1,0.84764977981503
"ZNF350",0.847642092289036,1,0.847642092289036
"LPIN1",0.847640693016488,1,0.847640693016488
"FES",0.847638002010182,1,0.847638002010182
"FGF1",0.847637327660878,1,0.847637327660878
"CUX2",0.847600244654456,1,0.847600244654456
"PRPF18",0.847586487863335,1,0.847586487863335
"HTR3E",0.847573131067618,1,0.847573131067618
"HLTF",0.847572350821241,1,0.847572350821241
"SIRPB2",0.847478788316342,1,0.847478788316342
"MTHFD2L",0.847404717551098,1,0.847404717551098
"CNST",0.847398510103632,1,0.847398510103632
"XRN1",0.847395139910393,1,0.847395139910393
"FERMT2",0.8473764976679,1,0.8473764976679
"KRT26",0.84731007455485,1,0.84731007455485
"IQSEC1",0.847268962671677,1,0.847268962671677
"GPR1",0.847251598965478,1,0.847251598965478
"ZNF790",0.847211638723595,1,0.847211638723595
"PXMP2",0.847202390051817,1,0.847202390051817
"LPPR4",0.847150301321139,1,0.847150301321139
"DNAJB7",0.847141512539624,1,0.847141512539624
"CSTF2T",0.847117167042939,1,0.847117167042939
"HPD",0.847087102345096,1,0.847087102345096
"UPF1",0.847061443051391,1,0.847061443051391
"POP7",0.847005657261998,1,0.847005657261998
"RNF215",0.847003496053709,1,0.847003496053709
"PNPLA7",0.846971661985054,1,0.846971661985054
"EPHB3",0.846958299548192,1,0.846958299548192
"LRRC30",0.846937229696555,1,0.846937229696555
"DLL1",0.84688920415211,1,0.84688920415211
"ZMYND12",0.84688801503084,1,0.84688801503084
"EPN2",0.846837047373382,1,0.846837047373382
"CENPV",0.84682372399602,1,0.84682372399602
"GPRC6A",0.846801020638159,1,0.846801020638159
"AKT2",0.846793914892229,1,0.846793914892229
"ZNF662",0.846786511120936,1,0.846786511120936
"FOXK1",0.84677161756561,1,0.84677161756561
"KANSL1",0.846592617915602,1,0.846592617915602
"LEFTY1",0.846590020686975,1,0.846590020686975
"ZNF407",0.846567938754671,1,0.846567938754671
"ECE2",0.846540771647672,1,0.846540771647672
"PPP1R14C",0.846505492312193,1,0.846505492312193
"UBXN4",0.846441174029009,1,0.846441174029009
"CACNG5",0.84638312829891,1,0.84638312829891
"CR1L",0.846338269177036,1,0.846338269177036
"OR4K13",0.84629772362501,1,0.84629772362501
"PSD3",0.84629345250166,1,0.84629345250166
"ZCRB1",0.846289302533454,1,0.846289302533454
"CTU2",0.846281233704399,1,0.846281233704399
"BDKRB1",0.846247698120465,1,0.846247698120465
"TIAF1",0.846224433979107,1,0.846224433979107
"CPSF3L",0.846220482191078,1,0.846220482191078
"KIF27",0.846184185117143,1,0.846184185117143
"CRYGA",0.846131539217181,1,0.846131539217181
"SERPINA3",0.846080407029222,1,0.846080407029222
"MAN2C1",0.846069877658456,1,0.846069877658456
"AGK",0.846041152338457,1,0.846041152338457
"CPA6",0.845954631713428,1,0.845954631713428
"CNTN1",0.845927935929221,1,0.845927935929221
"OTP",0.845927430198309,1,0.845927430198309
"FCRL3",0.845902423058628,1,0.845902423058628
"A4GNT",0.845891196869727,1,0.845891196869727
"OSCP1",0.845887207218407,1,0.845887207218407
"PMFBP1",0.845855238862936,1,0.845855238862936
"ZNF592",0.845777321326525,1,0.845777321326525
"RASSF4",0.845701544778496,1,0.845701544778496
"CLPTM1",0.845678419310455,1,0.845678419310455
"TCF19",0.845651042707183,1,0.845651042707183
"KRTAP10-3",0.845544990729557,1,0.845544990729557
"PDE4A",0.845506280348503,1,0.845506280348503
