"","Gene","BF"
"285","CRB1",0.913321455073388
"286","NR5A2",0.995963509694647
"287","DDX59",0.874579689114707
"288","CACNA1S",1.09944818673411
"289","LAD1",1.45434754744733
"290","RNPEP",0.941804870946654
"291","PTPN7",0.94504517440417
"292","KLHL12",0.973651935099681
"293","MYBPH",0.957451110455689
"294","LAX1",0.95199208990266
"295","REN",0.973992285777894
"296","PIK3C2B",0.899815337157023
"297","TMEM81",0.98841006067812
"298","AVPR1B",0.977625544958892
"299","DYRK3",0.963537694038703
"300","IL20",0.988338134626411
"301","PFKFB2",0.98254948060688
"302","C4BPB",1.00232854510928
"303","CD55",0.963363147119416
"304","CR2",1.01322218605009
"305","CR1L",0.956453127966324
"306","LAMB3",1.19053056643752
"307","DIEXF",0.954239285249385
"308","NEK2",0.978725703781211
"309","TMEM206",0.962301357880348
"310","FAM71A",0.938054921941868
"311","TATDN3",1.01019513857164
"312","SPATA45",1.00274631253295
"313","CENPF",0.929539389877852
"314","USH2A",0.748648112725042
"315","EPRS",0.911553197863358
"316","IARS2",1.01412578181524
"317","MARC2",0.954266963152841
"318","MIA3",0.884168740866741
"319","TLR5",0.87862909338166
"320","DNAH14",0.96908599550529
"321","ADCK3",0.958357826319521
"322","TRIM17",0.959226254402616
"323","HIST3H2BB",1.0042706240668
"324","ABCB10",0.984875358837723
"325","URB2",1.8707030176713
"326","DISC1",0.939690626219048
"327","ERO1LB",1.01028497240759
"328","ZP4",0.915421039221171
"329","KMO",0.988731112704186
"330","EXO1",0.880020858132576
"331","SDCCAG8",1.08479117449883
"332","C1orf100",0.99355790001284
"333","OR2C3",0.965848000226928
"334","OR2G2",0.982540309179507
"335","TRIM58",0.999999999999975
"336","OR2W3",0.997942749281826
"337","OR2L3",0.9870202776059
"338","OR2M3",0.952414704665243
"339","OR2M7",1.0888959253121
"340","OR2T2",1.00000000000007
"341","OR2T27",0.999999999999976
"342","OR14I1",1.00128071891511
"343","PGBD2",1.09472869581066
"344","FAM110C",1.00000000000002
"345","SNTG2",0.943126061044468
"346","TPO",1.26313894143529
"347","ALLC",0.937772413556212
"348","ADAM17",1.00734271954837
"349","TAF1B",1.18109398793052
"350","C2orf48",0.999999999999982
"351","ATP6V1C2",0.980889207525219
"352","NBAS",0.82883347156065
"353","RAD51AP2",0.950158375543338
"354","KCNS3",0.999348792769412
"355","NT5C1B",0.977468787554044
"356","WDR35",0.953497887255984
"357","APOB",1.22004574354668
"358","ITSN2",0.993669364494398
"359","PTRHD1",0.996781765970116
"360","DRC1",0.895423415175828
"361","OTOF",1.05049011328488
"362","CIB4",0.983013944054381
"363","PRR30",0.956320626368007
"364","SLC5A6",0.969087998903307
"365","TRIM54",1.04306557290387
"366","GCKR",0.984007780472645
"367","C2orf16",0.969388872492528
"368","PLB1",0.759453104091117
"369","SPDYA",1.00750137979643
"370","FAM179A",1.05840029989976
"371","C2orf71",0.957628601224743
"372","LCLAT1",0.998072335576884
"373","EHD3",0.968790466087181
"374","NLRC4",0.961588489185209
"375","VIT",0.93147923669831
"376","HEATR5B",1.22862039030858
"377","GALM",0.948754815435302
"378","DHX57",0.921220754116106
"379","ABCG8",0.976904180078092
"380","LRPPRC",0.961147807883044
"381","SRBD1",0.980261571311613
"382","ATP6V1E2",0.979502954637699
"383","MSH2",1.09897526837051
"384","MTIF2",0.959196261768735
"385","KIAA1841",1.00387130782313
"386","FAM161A",0.993931808574602
"387","ALMS1",0.914411686420145
"388","NAT8",0.965437082457488
"389","DQX1",1.00380007298235
"390","HTRA2",0.9515772356535
"391","SEMA4F",0.892619490611996
"392","GCFC2",0.976975810594173
"393","REG3G",0.999825501253328
"394","RETSAT",0.831102155287416
"395","CD8A",1.00242926561913
"396","THNSL2",1.00926079347842
"397","TEKT4",0.969702674884289
"398","VWA3B",0.944133508410266
"399","LIPT1",0.996625076950861
"400","LYG1",1.00193298526336
"401","MFSD9",0.967705820599333
"402","C2orf40",0.983959484032707
"403","SULT1C4",1.02001111213773
"404","ACOXL",1.03493870877078
"405","MERTK",0.907500703009316
"406","CCDC93",0.993744606022252
"407","MARCO",1.14719467131324
"408","STEAP3",0.907429966488182
"409","TMEM177",1.011308593626
"410","NIFK",1.02840064761307
"411","ERCC3",1.01228192072984
"412","MYO7B",0.903691863629189
"413","LIMS2",1.14180406360218
"414","SMPD4",0.879287812941452
