Gene,BF,LoF.BF,nonLoF.BF
ARFGEF1,0.862105048,1,0.862105048
CPSF1,1.130054628,1,1.130054628
CNTNAP3,1.200294264,1,1.200294264
PCSK5,0.905111152,1,0.905111152
HSPA5,0.709013247,1,0.709013247
SPTAN1,0.028141118,1,0.028141118
TSC1,0.033807599,1,0.033807599
CHD5,0.255901384,1,0.255901384
RERE,0.334366131,1,0.334366131
PIK3CD,0.372924689,1,0.372924689
SPEN,1.106929402,1,1.106929402
ZBTB17,1.435357576,1,1.435357576
KDM1A,0.948980477,1,0.948980477
HNRNPR,0.447864395,1,0.447864395
TMEM57,1.331886452,1,1.331886452
RPS6KA1,1.678921895,1,1.678921895
WDTC1,1.117477408,1,1.117477408
OPRD1,0.759707011,1,0.759707011
PUM1,0.878058325,1,0.878058325
BAI2,1.272401928,1,1.272401928
KPNA6,0.596323874,1,0.596323874
EIF3I,0.948556628,1,0.948556628
ZMYM4,0.384315027,1,0.384315027
KCNQ4,1.119883909,1,1.119883909
JUN,0.681547109,1,0.681547109
SERBP1,1.079194525,1,1.079194525
AMPD2,2.01839488,1,2.01839488
AHCYL1,1.078316749,1,1.078316749
KCNA3,1.53907464,1,1.53907464
KCND3,0.949576856,1,0.949576856
GPR89A,0.895504487,1,0.895504487
SETDB1,0.457183568,1,0.457183568
PI4KB,1.500057978,1,1.500057978
POGZ,0.241752445,1,0.241752445
DENND4B,0.536517385,1,0.536517385
UBAP2L,0.454761583,1,0.454761583
ARHGEF2,0.351335021,1,0.351335021
MEX3A,1.158964574,1,1.158964574
LMNA,1.139893501,1,1.139893501
COPA,0.269899434,1,0.269899434
POGK,0.664262125,1,0.664262125
CACNA1E,0.44403626,1,0.44403626
DHX9,0.517856742,1,0.517856742
CDC73,1.434594634,1,1.434594634
TMCC2,0.594898492,1,0.594898492
PROX1,1.901254922,1,1.901254922
FMN2,0.286569542,1,0.286569542
HNRNPU,0.926647621,1,0.926647621
ZMYND11,0.465089545,1,0.465089545
GATA3,0.864223052,1,0.864223052
CELF2,1.27792859,1,1.27792859
GDF10,1.297905778,1,1.297905778
EGR2,0.72938408,1,0.72938408
PPP3CB,0.915449247,1,0.915449247
KCNMA1,0.339245202,1,0.339245202
ZMIZ1,0.411158099,1,0.411158099
GLUD1,0.9818346,1,0.9818346
ACTA2,0.660210956,1,0.660210956
BTAF1,0.472004847,1,0.472004847
SLIT1,1.338672099,1,1.338672099
WNT8B,0.917601512,1,0.917601512
TRIM8,1.487152842,1,1.487152842
CNNM2,1.578267063,1,1.578267063
INA,0.746798963,1,0.746798963
SMC3,0.826412302,1,0.826412302
TCF7L2,0.841035426,1,0.841035426
PDZD8,1.310907742,1,1.310907742
EBF3,0.792382305,1,0.792382305
B4GALNT4,0.928207488,1,0.928207488
BRSK2,1.529493184,1,1.529493184
TRIM3,2.986539932,1,2.986539932
CSTF3,1.782286788,1,1.782286788
DGKZ,0.736445192,1,0.736445192
RTN4RL2,1.030506748,1,1.030506748
DDB1,2.294934192,1,2.294934192
DAGLA,0.586591974,1,0.586591974
MARK2,0.935784543,1,0.935784543
PLCB3,0.866729401,1,0.866729401
NRXN2,1.190583028,1,1.190583028
SF1,0.877752888,1,0.877752888
MEN1,0.555535647,1,0.555535647
PCNXL3,1.135505551,1,1.135505551
PACS1,0.876843883,1,0.876843883
RBM14,1.283173684,1,1.283173684
SPTBN2,1.226857688,1,1.226857688
PC,0.46078785,1,0.46078785
KDM2A,0.473837517,1,0.473837517
ADRBK1,0.613600649,1,0.613600649
PPP1CA,1.132493876,1,1.132493876
PITPNM1,1.158964574,1,1.158964574
PDE2A,1.538148237,1,1.538148237
GRM5,0.776552354,1,0.776552354
ZBTB16,0.729742108,1,0.729742108
DSCAML1,0.033418208,1,0.033418208
BCL9L,0.4242309,1,0.4242309
HSPA8,1.250748224,1,1.250748224
STT3A,1.565812123,1,1.565812123
ADAMTS15,0.792787847,1,0.792787847
IGSF9B,1.199512484,1,1.199512484
B3GAT1,1.098953984,1,1.098953984
WNK1,0.192145148,1,0.192145148
CACNA1C,0.178654667,1,0.178654667
CHD4,1.024037752,1,1.024037752
GRIN2B,0.248513719,1,0.248513719
DDX23,1.739918538,1,1.739918538
DHH,0.483217192,1,0.483217192
ASIC1,0.48584764,1,0.48584764
