"Gene","BF"
"MDC1",0.674979506899397
"GRIK5",0.67288805635484
"MED13L",0.665869554159797
"KCNMA1",0.664864258672672
"GRIN2A",0.664822354173353
"ZMIZ1",0.662750926783797
"ARHGEF2",0.660781515418259
"PIK3CD",0.658177139773712
"SEMA6D",0.658151034991799
"BRD4",0.650152755104115
"ADAMTS5",0.649654031786799
"SUPT6H",0.646962674204798
"KIF21B",0.645648989171417
"NOS1",0.634007071013464
"DAPK1",0.631796735940216
"FMN2",0.628032353804606
"ASH1L",0.626933349586632
"UNC5A",0.624346909027811
"RBM15",0.621591015698111
"TNIK",0.619203957757563
"PPFIA2",0.614183108978679
"KCNB1",0.613764813865062
"SMARCC1",0.613219918516117
"ITPR3",0.605068378574375
"PITPNM2",0.602016783536817
"PRKCG",0.6018423085625
"WNK1",0.599843165836076
"DICER1",0.599116855717623
"DCLK1",0.597393029010341
"COPA",0.597082015636293
"CACNA1G",0.594631879468948
"ELMO1",0.593477373911351
"CAD",0.591517930646729
"POGZ",0.577663442352241
"KSR2",0.575198377209804
"GRIN2B",0.569434770145816
"ADCY3",0.562243533018229
"GTF3C1",0.558542801643293
"CLCN3",0.557722782353853
"HCN4",0.557469263456369
"RASGRF1",0.556632297493142
"KIAA0368",0.55464681057419
"UBE2O",0.541296446851683
"POLR2B",0.525614697889774
"KBTBD6",0.521403853387246
"HERC2",0.518498394681058
"NPR2",0.517312658262897
"KAT8",0.515701647682242
"PCDH17",0.509388032367615
"DROSHA",0.506325623781043
"SETD1A",0.504228186270417
"FRY",0.501709115703156
"NALCN",0.499394977848229
"WDFY3",0.494468809872755
"CAPRIN1",0.493789750349374
"MKLN1",0.483817196930483
"KCNN1",0.483072661772257
"ABCG1",0.471938374824984
"PLXNC1",0.470515924334456
"CACNA1C",0.465905317027942
"BAZ1B",0.453436971686372
"GRIA1",0.444112703109526
"XPO7",0.439197241139403
"ACOT1",0.43702400754854
"EIF4A2",0.435494256732075
"PLXND1",0.434499008651356
"TRIM9",0.434410473437738
"WDR33",0.43175358550364
"TRPC7",0.430807810057151
"KCNA1",0.426834136746671
"ITPR2",0.42309473786139
"PRPF6",0.422981105009556
"SEMA3F",0.419722698558129
"TMEM63B",0.418410062312434
"ATP1A1",0.417882929330342
"SCN5A",0.41782569350125
"APBA1",0.416942072542516
"CADPS",0.415640996085811
"PRR21",0.406677052856012
"CSMD2",0.403311789701925
"PTCHD2",0.402540484439626
"UBC",0.399312298335864
"NOTCH2",0.397910554597576
"ACTL6B",0.396034921782868
"HTRA2",0.395254689679669
"MYH7",0.392176391189097
"SCUBE3",0.387516232436643
"BRD3",0.385665275722407
"ZC3H4",0.382823308188773
"KIAA0100",0.379042020534427
"DVL3",0.363689181717788
"KIAA1468",0.355667377496143
"CNTNAP1",0.331290441140489
"FMNL3",0.329635101653541
"ABCG4",0.329477699608875
"PI4KA",0.325830155635497
"MYO18A",0.313897408831087
"NF1",0.312327996205495
"C3",0.309980367647059
"CLIP3",0.307792918188554
"SCN3A",0.302533883451001
"DDX46",0.300502913338713
"MORC2",0.288897628277345
"TRRAP",0.282877076663546
"MED12L",0.267357391432523
"SPEG",0.25321929389599
"JAK1",0.246163877908643
"HIC1",0.245463475811562
"TRIO",0.244806470902143
"DSCAML1",0.243267805936461
"HERC1",0.237507072469369
"ZNF462",0.234401150101832
"TSC1",0.228190449071038
"SPTAN1",0.224989149120761
"PPP2R2C",0.22474301361164
"TRPM3",0.222474769270218
"ARHGEF7",0.212803117882057
"IPO7",0.208453177282798
"TAOK2",0.203988122197917
"HTT",0.202588622417373
"DHX16",0.196709166352099
"NOA1",0.194967373699943
"PRDM15",0.194039155707944
"SLC4A10",0.187668149310182
"KIAA1109",0.173171737541305
"BRD1",0.165739488556533
"KLHL11",0.161523172677464
"RYR2",0.153700251524111
"ZNF835",0.139267911983737
"KDM2B",0.138130968084118
"BIRC6",0.111168290248228
"CTR9",0.103062461907348
"SIN3B",0.0962641410979494
"RYR1",0.0891163040287137
"PTGER3",0.0816827987265552
"ASAH2",0.0771405496172742
"SZT2",0.0713562439120296
"ABCC5",0.0606891460099283
"DDX41",0.0412574540304938
"LCT",0.0401171184481152
"CELSR3",0.0231656438254526
"LPA",0.00110405609884952
