"","LoF","Missense","fisher_combine"
"MBNL1",1,0.262847494783438,0.614059397527189
"HERC3",0.49996572290589,0.125971855715411,0.292451233334738
"KBTBD6",1,0.0571011723584674,0.220577867761484
"UNC80",1,0.0783006545332302,0.263077702865818
"ORM2",0.624948586120971,0.0753476693353615,0.159174904485425
"TRPC4AP",0.249948605513182,0.315971443127577,0.350836893080763
"WDR13",1,0.162283199706063,0.457380969972171
"MAPKAPK2",1,0.0334382707277495,0.147063327175075
"GRIP1",0.49996572290589,0.878406715967093,0.824436975298
"FAM45A",0.249948605513182,0.0558322259190097,0.114606488973294
"NIPBL",1,0.0045111774987196,0.0288769362021844
"FUT8",1,0.308340347046863,0.671118516364516
"DCAF5",0.49996572290589,0.0792565629646191,0.205319517875813
"KIAA1257",1,0.119266652532545,0.389037011065605
"MGA",0.49996572290589,0.0159925821308523,0.0519017598722264
"ZNF587",1,0.585384357394803,0.876755384012072
"CCAR1",1,0.0392212290574286,0.192974442797016
"FBLN2",0.49996572290589,0.351384481167691,0.513016183621703
"TMEM123",0.49996572290589,0.0612855321432286,0.163610301389402
"DDR2",0.49996572290589,0.257987752443516,0.457095094624636
"CDR2L",1,0.819424500169726,0.98261535927348
"CA11",0.49996572290589,0.0849172997365368,0.260406808498027
"DSCAM",1,0.159191230211003,0.480433900987478
"KLF6",1,0.393393306550899,0.76040777738337
"DIP2B",1,0.14844655790175,0.452717643983868
"JPH3",1,0.759904816802533,0.96854587499619
"POU2F2",1,0.0328115412285459,0.144927755964765
"ZNF667",0.249948605513182,0.904809645491447,0.507039413616928
"RHOV",0.49996572290589,0.0921421096335667,0.359785356266084
"SCAF11",0.49996572290589,0.196259325784898,0.358260389420428
"SCN10A",1,0.292227798879189,0.665015996484316
"SCARA5",1,0.435216684624075,0.822377554056107
"USP11",1,0.531408852407671,0.86737806331649
"OVOL2",1,0.349137582010172,0.751161941192414
"PPM1N",1,0.0496424045149025,0.198714071537368
"LONRF2",0.49996572290589,1,0.831431891347411
"MKNK2",0.49996572290589,0.125971855715411,0.292451233334738
"TMEM178A",1,0.0573273484161744,0.281570536445346
"PTPRJ",0.453012582262561,0.0812007556347296,0.174142968073113
"LARP4",0.49996572290589,0.0558322259190097,0.170659958820995
"BTG4",1,0.000114866961496986,0.0018359740986696
"SMARCD2",1,0.152925853298377,0.500816434172776
"GRHL1",1,0.0607240627482427,0.23083737747948
"STAT5B",1,0.122805809429581,0.38034813011766
"SLC4A8",1,0.15448666894671,0.44301330558575
"MYORG",0.85595724806002,0.819320585103747,0.0302712968361795
"BAZ2A",0.49996572290589,0.0129048103183742,0.0326933797468741
"HBQ1",1,0.380187477731162,0.774554969607967
"FUT1",1,0.00946990576210504,0.0669469533945225
"CSNK1E",1,1,0.994526295483248
"MEF2C",1,0.285913946405238,0.643896620200696
"DOCK4",1,0.946479340409728,0.999637927401367
"MRPS25",0.49996572290589,1,0.794568935546276
"DBP",1,0.363543242187177,0.731397026942989
"EHD4",1,0.0354931721988593,0.176906133634656
"UBR3",1,0.235953266567483,0.619880759254816
"ZNF317",1,0.321890935743509,0.684199199113968
"SH2D3C",0.624948586120971,0.661496782724222,0.72425978152811
"PRDM12",1,0.0520257152083319,0.205814622094212
"MFAP4",1,0.147087727781047,0.490040869200276
"SYNGAP1",1,0.365262918611055,0.733133032706067
"SMARCA2",1,0.101392263006132,0.366427072058035
"SF3A1",1,0.730334021199062,0.982147478511839
"VASH2",0.49996572290589,0.0488224111615918,0.152478805894192
"MTMR6",1,0.572601296027913,0.891864094327834
"DCAF15",1,0.03563082195222,0.154443373721867
"MAML3",1,0.474688119789845,0.828376946937169
"SCN1A",1,0.281374539984855,0.638176763098239
"TTC13",0.218653694808287,0.501562560761954,0.453104102825273
"PHYHIP",1,0.135659826890278,0.406654548188453
"FLNA",1,0.901003236201314,0.994929606626037
"HGS",0.49996572290589,0.471994991800084,0.526053100177927
"RLIM",0.49996572290589,0.251853107639099,0.493176447482565
"CDC26",1,0.0578132902662045,0.222612189808842
"WDTC1",1,0.217392224793605,0.549144079322971
"PAPOLA",1,0.448984909598608,0.808516760039927
"TUBG2",0.49996572290589,0.244097108353926,0.486227921186013
"ABHD2",0.49996572290589,0.543674135423965,0.723457425887224
"MFAP2",0.49996572290589,0.705800349426049,0.64131516146269
"NCKAP1L",0.249948605513182,0.663082682438394,0.408994737955152
"ADAMTS6",0.49996572290589,0.283584161629412,0.375529729552475
"ATP8A2",1,0.317164280343501,0.70704039437969
"BBS5",1,0.204208411277377,0.527113914587062
"KRT1",0.49996572290589,0.0342706720649109,0.111060357692451
"DRP2",0.774321289231259,0.0103131591173355,0.0531220937137568
"LDHC",0.249948605513182,0.0965243134309656,0.0802529406876148
"AKAP1",0.49996572290589,0.692635047471948,0.743508288302192
"CHID1",1,0.0188381830693729,0.0936609869816301
"ADIPOQ",1,0.0936783857930552,0.283542529713256
"UBXN4",0.49996572290589,1,0.796035153045978
"C17orf97",1,0.568147746617887,0.855667100328019
"TRAPPC6B",1,0.0849172997365368,0.210753586840551
"CABIN1",0.00194714836061922,0.85052307282276,0.0134861683792767
"KCNQ3",1,0.718859573973728,0.956147389980256
"SPDYE3",0.374914345456448,0.598960648253978,0.633040849068764
"TBC1D9",1,0.0477026341276658,0.215596512404998
"PLEKHB1",1,1,1
"LRP8",1,0.94408547529385,0.998406804513538
"SNX1",0.49996572290589,0.284318363166251,0.350987279019589
"ELF3",1,0.0442044985017427,0.211108451819256
"ZNF304",0.49996572290589,0.63356124585236,0.629913249750018
"ATG13",1,0.0792565629646191,0.3086468997781
"USP18",1,0.113783466680676,0.400931950514722
"GABRG2",0.49996572290589,0.206396164944425,0.438960907769497
"AC005324.3",1,0.327172048523933,0.692711270089098
"PAPSS1",0.503148561794898,0.0035369470586556,0.0192195436855502
"HMBS",1,0.33622180602066,0.702698262227285
"WDR48",1,0.0902620205808932,0.307345655039941
"ATAD1",0.49996572290589,0.147087727781047,0.353332604698049
"HIRA",1,0.0523387315369041,0.206738963973229
"UNC13A",1,0.600994741487322,0.889237144183289
"GNAO1",1,0.013137998566656,0.0700550481039172
"BTG3",1,0.00313440822681566,0.0212052586359636
"PLEKHH3",1,0.747284413065798,0.964778817508253
"DDHD1",0.49996572290589,0.79671161929533,0.716380206895313
"STK11",1,0.475525851503774,0.829000399777156
"GTF3C4",1,0.885847963406122,0.993221543641497
"COPA",1,0.0305326859733913,0.157936529421931
"TPI1",0.49996572290589,0.189815671594216,0.37594392037173
"KCNQ2",1,0.0787272267643136,0.309572411566171
"FOXJ3",1,0.0360318181289449,0.155778265182585
"ZNF777",1,0.479021476155219,0.831585999615768
"NSD1",1,0.895790937709608,0.994371137403063
"HIST1H4A",1,0.0704612430497481,0.26994904423905
"SEL1L3",0.49996572290589,0.50179852985719,0.636238677566789
"ADCY4",0.480408072445365,0.863844684949002,0.832604543222145
"DDX53",0.49996572290589,0.0819203563862054,0.209862823378309
"CHD9",1,0.0129688809926717,0.0763601098302024
"OR11H12",0.624948586120971,0.104465934848776,0.319960319344796
"EP400",1,2.62965888488304e-05,0.000329255053291152
"HSD17B1",1,0.393830505015774,0.78776674910629
"HDAC5",1,0.270607280364731,0.624314446379768
"PACS1",1,0.703308309133673,0.950844646226537
"XKR4",1,0.783461515746391,0.993678667019209
"CENPE",0.374914345456448,0.294206070736685,0.383209989696023
"HAPLN2",1,0.570558665672592,0.890721546202043
"MATN4",1,0.732912434171105,0.967415962059168
"PPP6R1",1,0.538252815028784,0.871661094540499
"ASTN1",0.49996572290589,0.181533695889914,0.344528943010021
"GMPS",0.49996572290589,0.85690545499002,0.749093144510292
"SREK1",1,0.29193765845923,0.651375682016313
"ABCC9",0.16825974199358,1,0.387659804069302
"NEMF",0.374914345456448,0.497464031559379,0.58587342321652
"TRADD",1,0.0351799641067166,0.187272954456614
"JADE1",1,0.299259277238194,0.660299116033125
"SLC16A10",1,0.0915705759019658,0.303697794600875
"OR10G4",0.687435734853583,0.444534927309889,0.717050019173029
"MCF2",0.49996572290589,0.230707074394638,0.446975623562731
"TRMT12",0.49996572290589,0.612101876272615,0.628839806741734
"CDH20",1,0.0409688893549897,0.192171767881369
"IGF2R",0.624948586120971,0.517244365150179,0.665011268603926
"ARHGAP30",1,0.715497852593903,0.964529498970924
"FGD3",1,0.125046134329257,0.34873436749438
"GBP3",0.521838801441749,0.0342818153881846,0.117029487118179
"PURB",1,0.0960496032021033,0.321083308083964
"KLHL2",1,0.0045081361710928,0.0288605083668819
"KAT2B",0.49996572290589,0.58274106911269,0.691541621349163
"TNRC6B",1,0.0449126747205674,0.199137973353263
"TBCA",0.374914345456448,0.00694122492188435,0.0424365952285224
"CYLD",1,0.549455837283506,0.918569540432457
"CSTF1",1,0.0489131431890277,0.196518782541971
"CACHD1",0.49996572290589,0.206158985851107,0.369360346188744
"SOCS3",1,0.00806983079945763,0.0670989088368786
"SEC61G",0.49996572290589,0.218653694808287,0.675929807119085
"ARHGAP21",0.49996572290589,0.777172064946641,0.778025704567318
"CREB3L2",0.49996572290589,0.580052322064043,0.736283820709783
"DGKA",1,0.115613669620387,0.389048253594767
"KRTAP10-6",1,0.0181428464343146,0.0778269610710605
"MBP",0.49996572290589,0.871247296383861,0.6714475660715
"BOC",0.218653694808287,0.13392125732562,0.16524985855456
"STT3B",0.49996572290589,0.0913562599999177,0.271487443498015
"FGR",1,1,1
"GPR89A",0.49996572290589,0.49996572290589,0.846549830033886
"CNNM1",0.49996572290589,0.49996572290589,0.846549830033886
"ATAD2B",1,0.284857198590226,0.665284162737009
"GPC2",1,0.175455967296723,0.530772648090981
"PCSK2",1,0.287602684123936,0.646006051143227
"ELL",1,1,1
"RANBP2",0.49996572290589,0.276896546567012,0.432271599828764
"OGDH",1,0.668725430523949,0.937808320034513
"ANKRD44",0.49996572290589,0.495819551418516,0.705291810916566
"VANGL1",0.49996572290589,0.138307181746026,0.297833597661748
"VPS26B",1,0.0928849202470169,0.402341638906323
"CREBBP",1,0.515657602801511,0.857183972743132
"MLLT10",1,0.449899425428386,0.83580906633701
"STAM",0.49996572290589,0.756430686560364,0.815925428503546
"SOX13",1,0.859302966701077,0.981280306431309
"CUL2",1,0.00737775393748284,0.0435972582844459
"LTBP3",0.49996572290589,0.49996572290589,0.846549830033886
"AKAP17A",1,0.797348959565571,0.984730998723778
"ABCD3",0.49996572290589,0.810456287573823,0.823276480387826
"APBB1",1,0.933452691841787,0.997734907309019
"CABLES2",1,0.599741880731648,0.906363464794072
"TARDBP",1,0.184513329509694,0.496347050760393
"ILKAP",1,0.11082265746157,0.42156248752983
"DPY19L2",1,0.226270684940277,0.5586227948788
"PDZRN4",1,0.0390094955415663,0.163945717952366
"CDH7",1,0.409505206151035,0.775113772958868
"TSPYL6",0.49996572290589,0.462667525293898,0.618914725545628
"THRSP",1,0.000437022921731326,0.00308007907611302
"TNNC2",1,0.301506990661404,0.663002438357649
"CAPRIN2",0.124948635472415,0.807289267038584,0.367660641986972
"CACNG2",1,0.499042583716933,0.845909042651168
"TCF7L2",0.49996572290589,0.556580154972898,0.682876057278491
"LGR4",0.49996572290589,0.707966404210988,0.670766859716423
"PACSIN1",1,0.853855299218611,0.988758919227197
"ITGB7",1,0.712156332376839,0.953612605378395
"RGS6",0.49996572290589,0.395137358824769,0.417380496366514
"CUL3",1,1,1
"LTBP1",0.624948586120971,0.187869138815112,0.393066187216272
"TNRC6A",1,0.892239261413699,0.990514635059824
"SYMPK",1,0.142836887925904,0.446980043846141
"MED15",1,0.0035369470586556,0.0281703621248109
"HIST1H3I",1,0.0214424117938158,0.103832401627911
"TFDP2",1,0.00151889344293828,0.0136145298858573
"ISL2",1,0.12730644457749,0.44301330558575
"WASHC2A",0.0802817121468254,0.0802817121468254,0.282769324553707
"LY6G6D",0.49996572290589,1,0.739094937387099
"RUNX1T1",0.49996572290589,0.348759280977828,0.352210079329084
"LRP12",1,0.602087334662929,0.926253013488081
"TMEM132C",0.49996572290589,0.940798290074552,0.801935978447716
"HIPK3",0.49996572290589,0.933980048249706,0.796326075081946
"NNT",0.49996572290589,0.268595279986729,0.36802965868398
"PITPNM3",1,0.0316774681691373,0.15335793281645
"ZFPM2",1,0.00108572178607496,0.00943592119964218
"COX10",0.49996572290589,0.191430782255085,0.350824956909437
"TNKS2",1,0.939581318672232,0.998136880163453
"ZFAND5",0.49996572290589,1,0.846549830033886
"SORL1",0.374914345456448,0.293363839088753,0.384070992007032
"ATP8B1",0.49996572290589,0.126384672988263,0.216863043368122
"EPHB1",1,0.502489191223417,0.820017906782249
"CIAO2A",1,0.042565487246036,0.176932450875297
"IQSEC3",1,0.526044446996256,0.840663551062853
"DGKB",1,0.731478901712381,0.977652831013144
"MED14",1,0.348759280977828,0.716133007572037
"NCOA3",0.49996572290589,0.768362794702568,0.786050067581538
"KBTBD11",1,0.174321359943888,0.47883546203023
"HIST2H3PS2",1,0.440139653928066,0.867834098920246
"IPO5",1,0.00919827623523053,0.0523265943914284
"MPPE1",1,0.0515854426382891,0.18016929358817
"TRIM27",1,0.228939650392121,0.566464654789988
"TSPYL2",0.49996572290589,0.708230019647836,0.788760941679619
"ABCA1",0.218653694808287,0.138578890816555,0.108488283602126
"ESX1",0.49996572290589,1,0.815203628440118
"PDS5B",0.49996572290589,0.869265001971931,0.738016577121681
"NAV3",0.49996572290589,0.298708764240047,0.468292775994983
"WDR75",0.374914345456448,0.200416098919187,0.206912932859848
"FAXC",1,1,1
"TNFSF14",0.49996572290589,0.79617795170255,0.698327312663821
"OGFR",1,0.367156066934556,0.735034796441332
"HDLBP",1,0.308729946712973,0.697834287202491
"PRPF31",1,0.803888355132167,0.979373068130907
"PAX6",1,0.266630705624587,0.754862153915102
"FABP5",1,0.0050617858189674,0.0209844923388224
"TIPRL",1,0.532130948189437,0.923537103640167
"ZBTB45",1,0.0147219673858261,0.0768253283792298
"PGD",0.49996572290589,0.809506755868886,0.846549830033886
"FAM89A",1,0.292270047246062,0.583868184630511
"TPM3",0.624948586120971,0.255257300314925,0.270902413665294
"PTPRM",1,0.595266870171681,0.922058676829282
"DEAF1",1,0.397783756638376,0.763028585020403
"HP1BP3",0.49996572290589,0.588538752081052,0.702906510384028
"FLT1",0.624948586120971,0.769564218943335,0.860715514922686
"VGF",1,1,1
"RNF121",0.49996572290589,0.728034773259295,0.846549830033886
"SLC1A5",1,0.369422822938952,0.737299031117679
"RB1CC1",0.49996572290589,0.735926098072246,0.766484606548747
"CALR",1,0.158630502267127,0.450697440233086
"MTA1",1,0.164356721981226,0.461138297604645
"MAT2A",1,0.0307837873428548,0.13793498192603
"ACSM2B",0.22912387659961,0.575765022451276,0.463458096765175
"MADD",0.774321289231259,0.9139703208381,0.966311620762074
"SOCS7",1,0.0320729918520469,0.166240635298515
"VEGFB",0.00779757923996106,0.340036482653236,0.0342158378576892
"CFLAR",1,1,1
"PRKD2",1,0.862444218201927,0.99007285913639
"RAPGEF5",1,0.0234156335096601,0.108601957473757
"PITX2",1,0.924486845003656,1
"ACTR3",1,0.00404749228475396,0.0263477896352315
"ZNF410",1,0.00181725020072968,0.0179119525053662
"ATP2B3",1,0.299478551552118,0.706606602331051
"CEPT1",1,0.958244714001233,0.996412180693277
"IPO13",1,0.748366015974985,0.965289705198278
"TLK1",1,0.0392912757381095,0.166467421561807
"ETV6",1,0.286001109344011,0.61115088358204
"FBXW11",1,0.523150401718471,0.935641484476972
"UCK2",1,0.628855533775774,0.920552515411743
"LHFPL4",1,0.753821907775359,0.966851327201517
"DNM3",1,0.323146545055572,0.728108400166544
"APOE",0.624948586120971,0.0173557782679991,0.0829196293804081
"RAB40C",1,0.264455749846182,0.616203407720398
"TBC1D20",1,0.812139682640222,0.99531209227168
"SVIL",0.374914345456448,0.278139832102244,0.362244557275657
"NDFIP2",1,0.272953879303051,0.672960193363709
"SGPL1",1,0.85282695010872,0.988396266281438
"IL3RA",0.897211071366473,0.579774596221672,0.883963299023372
"TMEM190",0.374914345456448,1,0.633131023455613
"RHOXF2B",1,0.124910182969341,0.384743391169149
"RNF185",0.374914345456448,0.908539584376564,0.742726947614415
"LMO4",1,1,1
"RAB6B",1,1,1
"RTF1",1,1,1
"ST18",0.49996572290589,0.673263594779386,0.664498813423713
"NPR1",1,0.648925542191018,0.929545148856369
"HNRNPH1",1,0.503148561794898,0.928878705850049
"LHX3",0.49996572290589,0.376601155237266,0.419981128847455
"SLC6A17",1,0.725147530183058,0.942701406793975
"PPM1H",0.49996572290589,0.507383175607037,0.671109648070617
"KAT2A",1,0.495197156477899,0.882940419429191
"ANK3",1,0.130927610251368,0.396779425870534
"SLC4A7",0.374914345456448,0.785694234510706,0.593684980533831
"DYNC1H1",0.753821907775359,0.100395475661551,0.305541055932601
"LRRN1",1,0.543675073284432,0.894461010663995
"CYP46A1",1,0.198993136157356,0.520264558945022
"SAMD8",1,0.33622180602066,0.747913416857863
"FLNB",0.0390048772880358,0.964285893177113,0.14710751004344
"DLC1",1,0.0151970413524712,0.0845915068477537
"HAPLN4",0.49996572290589,1,0.812214117175042
"TRIM32",1,0.577743004709589,0.869925479727278
"ITGAL",1,0.455054322210954,0.810101442810442
"AP2B1",0.49996572290589,0.244097108353926,0.486227921186013
"RASGRP2",1,0.104769892761909,0.341129600676179
"SV2B",1,0.950861600074015,1
"ACBD3",1,0.16461091536415,0.496717758996601
"CDH10",1,0.85282695010872,0.988595827212629
"OSBPL2",0.49996572290589,0.393393306550899,0.598683600931942
"WDR20",1,0.659442759415702,0.916167259499253
"CNOT3",1,0.149968951431626,0.434509091659717
"FUBP3",0.49996572290589,0.692659718626416,0.629565647861732
"ARID1B",1,0.0487993495568047,0.196175253987781
"SLC46A3",0.567520398525776,0.530494678392014,0.492767025906457
"KCND2",1,0.518097679104141,0.858794301177963
"MANEAL",1,0.92875394985557,0.997399482487841
"TMEM245",0.49996572290589,0.42428497746513,0.479246623861874
"PRTG",1,0.0965798711462109,0.304000356052229
"DIDO1",1,0.525784278171569,0.863792203237013
"ZC3H13",1,0.747034464466493,0.972336741197456
"CNBD2",0.0224038719619793,0.34498226458323,0.0726862906781232
"SLC35F1",1,0.123631340882611,0.382076625675745
"MZT2A",1,0.0320080764003426,0.162697280574585
"MARK4",1,0.232745795923246,0.572044578246964
"TXNL1",0.49996572290589,0.543674135423965,0.512103953430009
"INSRR",0.726487526564926,0.0327017473344798,0.12902096740347
"C12orf66",0.49996572290589,0.0998099479646821,0.128517788030701
"CAMK2B",1,0.682932986271705,0.943375313488102
"DHX38",0.624948586120971,0.384659359838406,0.617230166679997
"NANOG",1,0.348211346813295,0.792025050333475
"DDR1",1,0.104688366213188,0.338890913916834
"TAOK3",1,0.332606248604715,0.698737851782778
"WTIP",1,0.143226459751769,0.42156248752983
"OR2M7",1,0.0688465642331929,0.230060666317463
"DLGAP3",1,0.332291049698035,0.69839073271216
"POLR2H",1,0.0702377217923841,0.256779963449209
"TNPO1",1,0.89547602331333,0.994336426273365
"ZNF653",1,0.329796158164747,0.722937153494273
"DCAF12",1,0.168946966046749,0.407718142287977
"PDIA4",1,0.232917342322946,0.572294596829811
"RINL",1,0.0887838647191795,0.342946858829259
"PROCR",1,0.92701665165676,0.997269450411451
"CDC23",1,1,1
"SAMD5",1,0.904746787747256,0.99531209227168
"PPIG",1,0.304428664442581,0.708615745440949
"TIMP3",1,0.700841883555098,0.945953450698071
"NUP93",1,0.266374123319478,0.577259074508328
"IGSF21",0.49996572290589,0.266686861872606,0.44012143458528
"SPI1",1,0.589350567540398,0.900960298442063
"THOC5",1,0.657955028989696,0.944032592292423
"STAG3",0.0390048772880358,0.0406718323568113,0.0222212499292038
"ATP2B2",0.624948586120971,0.317783635352208,0.577494035865064
"ETNPPL",1,0.461675917966909,0.767992845656248
"EPN1",1,0.839191025960735,0.986247250248392
"RHBDL1",1,0.682932986271705,0.943375313488102
"SDK1",0.0624572285219894,0.250216246063338,0.093043418233845
"ATP6V1B2",1,0.0912751469591533,0.309776598329943
"TWSG1",0.49996572290589,0.874133456343284,0.742728232021032
"PSME4",1,0.282029161903487,0.673505134330211
