"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"ZNF441",1,0,Inf,0.5,256,251,1.01992210421538,0.429511542056488,257,251,1.02390722751754,0.412233067475386
"CBX7",3,0,Inf,0.125,7,9,0.777793144420931,0.772750854492188,10,9,1.1111013014519,0.5
"TULP1",3,0,Inf,0.125,140,120,1.16665341227724,0.119303617805221,143,120,1.19165103343467,0.0874004150609334
"OR2A4",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"LPA",549,516,1.06397985808283,0.163405078302984,1497,1547,0.967671313544324,0.822353297576405,2046,2063,0.991759285417142,0.61056790342347
"NARS2",1,0,Inf,0.5,422,437,0.965668000687668,0.707424304386347,423,437,0.967957329503351,0.695485180597283
"NCAPG",3,0,Inf,0.125,219,185,1.18376899009021,0.0502550139404611,222,185,1.19998363672303,0.0371101339156691
"RAD21",21,8,2.62498032374163,0.0120597723871469,55,41,1.34143203577354,0.0921429364401824,76,49,1.55096580534653,0.00983869724643298
"ACHE",0,0,0,1,806,765,1.05361443653725,0.15644211362608,806,765,1.05361443653725,0.15644211362608
"TRIM3",0,0,0,1,31,27,1.14813648929052,0.347002047038066,31,27,1.14813648929052,0.347002047038066
"MRTFA",0,0,0,1,265,256,1.03516325515564,0.363005368470817,265,256,1.03516325515564,0.363005368470817
"SLC5A6",5,1,4.99935160462203,0.109375,117,105,1.11427711401723,0.230213542954318,122,106,1.1509315743357,0.16025938086391
"ECE1",2,0,Inf,0.25,135,119,1.13444345093215,0.173314815718823,137,119,1.15124866826733,0.143994643265828
"GALNT2",3,0,Inf,0.125,150,136,1.10292613231248,0.221061436265211,153,136,1.12499051247346,0.173315480865563
"PCNX1",2,0,Inf,0.25,647,626,1.03355340119121,0.287560134328816,649,626,1.03674984042838,0.268914852389669
"NAGS",1,1,1,0.75,77,70,1.09998118395392,0.31042111567085,78,71,1.09857150946875,0.311597249220569
"ZNF605",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"HSP90AA1",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"SEMA4A",3,0,Inf,0.125,1048,1045,1.00287071888033,0.482565886342021,1051,1045,1.00574159109536,0.456518474520333
"EMX1",1,0,Inf,0.5,15,7,2.1427395137346,0.0669002532958985,16,7,2.28572893676522,0.04656982421875
"QARS",3,3,1,0.65625,807,744,1.08465359630659,0.0576953207955637,810,747,1.08431323868945,0.0580470760526258
"PRDM10",2,0,Inf,0.25,219,200,1.09497877316572,0.18961462666403,221,200,1.10498800600955,0.164847072535971
"ABCB1",3,0,Inf,0.125,1259,1312,0.959591359943168,0.856559258576293,1262,1312,0.961879346377776,0.842607280221322
"GPRASP1",3,0,Inf,0.125,455,437,1.04120038587185,0.284621723668009,458,437,1.04806938040365,0.251909875637614
"CCR10",0,1,0,1,90,81,1.11110274527397,0.270405788998469,90,82,1.09754020997601,0.29682373065307
"BNC2",0,0,0,1,956,894,1.06931522125153,0.0780536723755692,956,894,1.06931522125153,0.0780536723755692
"PLXNB1",1,0,Inf,0.5,765,684,1.11841261020869,0.0177748373843277,766,684,1.11987447759143,0.0166853163659759
"CDC25B",1,0,Inf,0.5,91,71,1.28166525658703,0.0676239609670009,92,71,1.29574826108783,0.0584772012317687
"DNM1",0,0,0,1,107,97,1.10307720563316,0.264357435058245,107,97,1.10307720563316,0.264357435058245
"GNMT",1,0,Inf,0.5,45,30,1.49995102863081,0.0526711344373027,46,30,1.53328066517449,0.0423230463354179
"DPF3",5,1,4.99935160462203,0.109375,112,113,0.991150423960611,0.553015813428257,117,114,1.02631919064426,0.447672729605519
"DENND1A",2,0,Inf,0.25,308,281,1.096066354577,0.14200977119831,310,281,1.10319051438705,0.124697764414324
"PELP1",3,0,Inf,0.125,270,251,1.07566078741796,0.215188620425076,273,251,1.08762249453822,0.179475501988741
"IQGAP1",3,0,Inf,0.125,325,322,1.00931686584552,0.468668224450982,328,322,1.01863508387346,0.422269116587094
"PTPRK",5,1,4.99935160462203,0.109375,255,246,1.03659299071023,0.360410554858947,260,247,1.05264810635861,0.297059799797425
"SOCS6",0,0,0,1,56,34,1.64699367824199,0.0131508325655611,56,34,1.64699367824199,0.0131508325655611
"RAB30",3,0,Inf,0.125,8,9,0.888896488763773,0.685470581054688,11,9,1.22220341735204,0.411901473999024
"ATG9A",0,1,0,1,118,102,1.15685037744096,0.155934938118221,118,103,1.14561972357535,0.173173238453162
"VDAC1",0,0,0,1,25,13,1.92298233221417,0.0364756942581153,25,13,1.92298233221417,0.0364756942581153
"RILPL1",2,1,1.99989728727585,0.5,58,46,1.26084684072572,0.14034516451709,60,47,1.27657136736214,0.122945657306342
"KCNMB3",3,5,0.600024236462594,0.85546875,672,664,1.01204869125949,0.42406695631091,675,669,1.00896874802201,0.445761282423708
"CA8",2,0,Inf,0.25,43,29,1.4827115646499,0.0624591001843203,45,29,1.55166943517881,0.0402534287150413
"BMS1",2,0,Inf,0.25,513,475,1.0799691925511,0.1195648292962,515,475,1.08418331821844,0.107569604489494
"CERS6",1,0,Inf,0.5,262,230,1.13911980735524,0.0810845640142249,263,230,1.14346724731633,0.0747260121942866
"PDE2A",0,0,0,1,107,110,0.972723536534031,0.606973838757111,107,110,0.972723536534031,0.606973838757111
"CLCNKB",8,2,3.99939245288739,0.0546875,478,476,1.00420156039908,0.48708715108471,486,478,1.01673763867762,0.410819940876534
"NUP214",3,0,Inf,0.125,724,711,1.01828583906481,0.375712237403444,727,711,1.02250642207455,0.346222152967246
"TNR",3,0,Inf,0.125,380,339,1.12093500583174,0.0678548038587562,383,339,1.12978380691253,0.0547346889982223
"MED12L",3,0,Inf,0.125,236,228,1.03509462890257,0.372622906260189,239,228,1.04825933376372,0.321796998699589
"FUT7",1,0,Inf,0.5,571,512,1.11522605606793,0.0389735713747939,572,512,1.11717901914426,0.0365422856147162
"MBNL1",0,0,0,1,13,7,1.85705518196321,0.131587982177734,13,7,1.85705518196321,0.131587982177734
"HERC3",2,0,Inf,0.25,86,68,1.26468278665088,0.0852582743040941,88,68,1.29409143366043,0.0639688378518228
"KBTBD6",0,0,0,1,86,62,1.38706039403116,0.0291559657371479,86,62,1.38706039403116,0.0291559657371479
"UNC80",3,4,0.750017180487538,0.7734375,637,572,1.11362822540527,0.0328155758175137,640,576,1.11110318275546,0.0353866457929643
"ORM2",1,3,0.333335894718525,0.9375,229,189,1.21162270515633,0.0281595602210852,230,192,1.19790051570002,0.0357781060405069
"TRPC4AP",3,0,Inf,0.125,89,78,1.14101468233492,0.219564464390169,92,78,1.17947266391894,0.159370642052627
"WDR13",0,0,0,1,21,12,1.74992371957171,0.0813778287265449,21,12,1.74992371957171,0.0813778287265449
"MAPKAPK2",0,0,0,1,100,65,1.53840834037317,0.00396488548975152,100,65,1.53840834037317,0.00396488548975152
"GRIP1",2,0,Inf,0.25,359,356,1.0084269994301,0.470192063577409,361,356,1.01404562629214,0.440632526625007
"FAM45A",3,0,Inf,0.125,69,50,1.37996439081247,0.0492618137011287,72,50,1.43995772679084,0.0284113444615876
"NIPBL",0,0,0,1,237,178,1.33143055803196,0.00217773692977651,237,178,1.33143055803196,0.00217773692977651
"FUT8",0,0,0,1,236,216,1.09256947336494,0.185754285229828,236,216,1.09256947336494,0.185754285229828
"DCAF5",2,0,Inf,0.25,123,98,1.25507998925556,0.0531127361871918,125,98,1.27548601118797,0.0407180271645708
"KIAA1257",5,4,1.24997834728159,0.5,546,524,1.04199589125059,0.260449813750273,551,528,1.0435726806342,0.25151807698859
"MGA",2,0,Inf,0.25,1936,1784,1.0851889698636,0.00664267356005521,1938,1784,1.08631136981176,0.006068137868284
"ZNF587",5,6,0.833344859649759,0.7255859375,789,759,1.03953613783074,0.230543459154712,794,765,1.03791806810079,0.239123143430573
"CCAR1",1,0,Inf,0.5,74,51,1.4509368975289,0.0243310925729339,75,51,1.47054255772672,0.020017879678142
"FBLN2",2,0,Inf,0.25,423,397,1.06551798140339,0.191327009457626,425,397,1.07049002616505,0.173167446811045
"TMEM123",2,0,Inf,0.25,1032,880,1.17271423432557,0.000275210036671633,1034,880,1.17498675017246,0.000233578722570309
"DDR2",2,0,Inf,0.25,354,361,0.980607653578505,0.617587665844528,356,361,0.986148920790186,0.588640536061295
"CDR2L",0,0,0,1,162,135,1.199983573793,0.0656221729494966,162,135,1.199983573793,0.0656221729494966
"CA11",2,0,Inf,0.25,29,18,1.61104986537757,0.0719325442202746,31,18,1.7221489311178,0.0427165665786973
"DSCAM",1,0,Inf,0.5,553,535,1.03365179635188,0.303151032554478,554,535,1.03552182905717,0.292730567257921
"KLF6",0,0,0,1,61,51,1.19606227962672,0.197596678678912,61,51,1.19606227962672,0.197596678678912
"DIP2B",1,0,Inf,0.5,620,590,1.05086438099334,0.202232411214235,621,590,1.05256046975956,0.194325077411972
"JPH3",0,0,0,1,268,276,0.971009910913253,0.650185508870003,268,276,0.971009910913253,0.650185508870003
"POU2F2",0,0,0,1,37,20,1.84991312110955,0.0165719838937528,37,20,1.84991312110955,0.0165719838937528
"ZNF667",0,3,0,1,144,138,1.0434889620944,0.382979417547819,144,141,1.02127861224058,0.452861319933271
"RHOV",2,0,Inf,0.25,8,3,2.66664688857283,0.11328125,10,3,3.33342166738329,0.046142578125
"SCAF11",2,0,Inf,0.25,1015,943,1.07632248224371,0.0542851039530602,1017,943,1.07844531366331,0.0495715179509164
"SCN10A",8,7,1.1428459396773,0.5,1454,1346,1.08021545050363,0.0215728956811284,1462,1353,1.08053982058205,0.0208876050108554
"SCARA5",1,2,0.500025679499842,0.875,509,518,0.982624073634841,0.62248747094282,510,520,0.980767386131484,0.634096500404777
"USP11",0,0,0,1,35,29,1.20687930642105,0.266154388013922,35,29,1.20687930642105,0.266154388013922
"OVOL2",1,0,Inf,0.5,120,106,1.13206533674187,0.193611414038429,121,106,1.14149846285407,0.176402049372686
"PPM1N",0,0,0,1,202,170,1.18822005481596,0.0539345037476355,202,170,1.18822005481596,0.0539345037476355
"LONRF2",2,0,Inf,0.25,181,183,0.989070820496754,0.562459331516798,183,183,1,0.520838808047195
"MKNK2",2,0,Inf,0.25,401,327,1.22628088573836,0.00338935632188374,403,327,1.23239647316696,0.00273466988527052
"TMEM178A",1,0,Inf,0.5,22,11,1.99989734352334,0.0400716562289745,23,11,2.09079693099959,0.0288063364569098
"PTPRJ",5,2,2.49999307675205,0.2265625,559,502,1.11353762897107,0.0427635234123375,564,504,1.11903897650069,0.0354834527843365
"LARP4",2,0,Inf,0.25,1070,944,1.13346508053709,0.00266704768199743,1072,944,1.13558354449964,0.00233224630321863
"BTG4",1,0,Inf,0.5,28,6,4.66603005052482,9.75627917796375e-05,29,6,4.83268870027917,5.84209337830544e-05
"SMARCD2",1,0,Inf,0.5,41,29,1.41375372087659,0.0941081015115143,42,29,1.44823264348205,0.0769563846632284
"GRHL1",0,0,0,1,68,47,1.44676547603698,0.0308543041196121,68,47,1.44676547603698,0.0308543041196121
"STAT5B",0,0,0,1,49,34,1.44113404806948,0.0619265297309007,49,34,1.44113404806948,0.0619265297309007
"SLC4A8",0,0,0,1,49,35,1.39996215639835,0.0778282318569985,49,35,1.39996215639835,0.0778282318569985
"MYORG",2446,2461,0.993904810385084,0.590334166581932,406,358,1.13406815589213,0.0444948457039944,2852,2819,1.01170728225496,0.335444732998055
"BAZ2A",2,0,Inf,0.25,517,577,0.896020594797998,0.967451650014957,519,577,0.899486563338173,0.962662486758452
"HBQ1",3,2,1.49995099608784,0.5,154,139,1.10790335875161,0.206732674049172,157,141,1.11346667941269,0.192460212723622
"FUT1",1,0,Inf,0.5,55,31,1.77411472873184,0.00633625697615743,56,31,1.80636936863,0.00483660927363494
"CSNK1E",1,0,Inf,0.5,29,31,0.93546052317169,0.650558286189997,30,31,0.967736568281336,0.60092368634714
"MEF2C",0,0,0,1,14,8,1.74992371090597,0.143139362335205,14,8,1.74992371090597,0.143139362335205
"DOCK4",0,1,0,1,1510,1510,1,0.507258897146759,1510,1511,0.999338219762601,0.514512990258345
"MRPS25",2,0,Inf,0.25,16,18,0.888896482151543,0.69620431936346,18,18,1,0.56603029978578
"DBP",0,0,0,1,71,83,0.855431589947076,0.852593243003354,71,83,0.855431589947076,0.852593243003354
"EHD4",1,0,Inf,0.5,90,64,1.40621149711945,0.0217999682516677,91,64,1.42183475988594,0.0182113762688258
"UBR3",1,0,Inf,0.5,413,459,0.899788679237038,0.944291254390422,414,459,0.901967179965927,0.940273747629858
"ZNF317",2,2,1,0.6875,218,197,1.10658847614012,0.163110617426696,220,199,1.1055161326302,0.164271082905086
"SH2D3C",1,3,0.333335894718525,0.9375,501,480,1.04376202543025,0.261568058713417,502,483,1.03934707454559,0.283154772933571
"PRDM12",0,0,0,1,19,8,2.37500379877169,0.0261194929480553,19,8,2.37500379877169,0.0261194929480553
"MFAP4",1,0,Inf,0.5,40,28,1.42853040163673,0.090905027267797,41,28,1.46424071246759,0.0740160903463795
"SYNGAP1",0,0,0,1,129,114,1.13156886436813,0.184582353235944,129,114,1.13156886436813,0.184582353235944
"SMARCA2",1,0,Inf,0.5,111,88,1.26134091802529,0.0593239129847758,112,88,1.27270336038883,0.0518195192189286
"SF3A1",1,0,Inf,0.5,39,36,1.08330034393701,0.408776925275494,40,36,1.11110184511392,0.365504441111304
"VASH2",2,0,Inf,0.25,509,472,1.07835765937781,0.125190844914862,511,472,1.08259850598794,0.112744735151963
"MTMR6",0,0,0,1,363,379,0.957772803246026,0.733701543269119,363,379,0.957772803246026,0.733701543269119
"DCAF15",0,0,0,1,67,44,1.52267579480047,0.0181532455706589,67,44,1.52267579480047,0.0181532455706589
"MAML3",0,0,0,1,447,470,0.95104872580137,0.785972086047751,447,470,0.95104872580137,0.785972086047751
"SCN1A",0,0,0,1,223,247,0.902841374130075,0.875592200154661,223,247,0.902841374130075,0.875592200154661
"TTC13",5,1,4.99935160462203,0.109375,299,312,0.958322992247982,0.714414151289035,304,313,0.971241451284368,0.656356359674049
"PHYHIP",0,0,0,1,19,10,1.89990782058105,0.0680229738354683,19,10,1.89990782058105,0.0680229738354683
"FLNA",0,0,0,1,214,213,1.00469470046665,0.5,214,213,1.00469470046665,0.5
"HGS",0,2,0,1,174,158,1.10124960511878,0.205207235278388,174,160,1.08747181858208,0.238467792217062
"RLIM",2,0,Inf,0.25,34,26,1.30766457825409,0.183147003351646,36,26,1.3845792346504,0.126427197094055
"CDC26",0,0,0,1,55,36,1.52772573150758,0.0292867642050944,55,36,1.52772573150758,0.0292867642050944
"WDTC1",0,0,0,1,63,49,1.28568894337494,0.109565573748892,63,49,1.28568894337494,0.109565573748892
"PAPOLA",0,0,0,1,35,28,1.24997838148958,0.224981268145112,35,28,1.24997838148958,0.224981268145112
"TUBG2",2,0,Inf,0.25,33,25,1.31997093820086,0.17907165090307,35,25,1.39996214400905,0.122530416511473
"ABHD2",2,0,Inf,0.25,35,31,1.12902231108608,0.356115441318677,37,31,1.19353245553482,0.272306111709631
"MFAP2",0,2,0,1,59,52,1.13460496802765,0.284610113901788,59,54,1.09256717898745,0.353441130745977
"NCKAP1L",3,0,Inf,0.125,165,177,0.932237602454105,0.758932276043152,168,177,0.949137465287152,0.70481122816989
"ADAMTS6",2,0,Inf,0.25,203,228,0.890358219950979,0.894808514843331,205,228,0.899129542489764,0.875634907166988
"ATP8A2",1,0,Inf,0.5,237,216,1.09720323073707,0.173695678813106,238,216,1.10183714248379,0.16217131445282
"BBS5",1,1,1,0.75,246,218,1.12843066318918,0.104998868833272,247,219,1.12784422925934,0.105489743720965
"KRT1",2,0,Inf,0.25,429,376,1.14094680562053,0.0333858833660446,431,376,1.14626548319799,0.0286245841237271
"DRP2",7,5,1.39996211862962,0.38720703125,148,97,1.52572143339669,0.000676404188470711,155,102,1.51955676860048,0.000569292465453862
"LDHC",0,3,0,1,138,108,1.2777533581886,0.0321213042869075,138,111,1.24322243653007,0.0496117329799872
"AKAP1",2,0,Inf,0.25,648,619,1.0468641584414,0.215755452282746,650,619,1.05009730107209,0.199855978173532
"CHID1",0,0,0,1,56,33,1.69689914874608,0.00959330433007349,56,33,1.69689914874608,0.00959330433007349
"ADIPOQ",0,1,0,1,500,460,1.08693156650233,0.104054300367567,500,461,1.08457167171749,0.110125725260204
"UBXN4",2,0,Inf,0.25,71,74,0.959450401424995,0.630059212640859,73,74,0.986485996087289,0.565475014582898
"C17orf97",3,4,0.750017180487538,0.7734375,128,173,0.739902118265208,0.996044657509717,131,177,0.740130703437467,0.996347190511062
"TRAPPC6B",1,2,0.500025679499842,0.875,30,16,1.8749104731179,0.0270380159294348,31,18,1.7221489311178,0.0427165665786973
"CABIN1",10,0,Inf,0.0009765625,1788,1811,0.987298871701599,0.655439338414948,1798,1811,0.992821502290201,0.592133709787718
"KCNQ3",0,0,0,1,190,198,0.959586602925581,0.676102574298113,190,198,0.959586602925581,0.676102574298113
"SPDYE3",4,1,3.9993936007291,0.1875,118,112,1.05358787486659,0.370857528032979,122,113,1.07961113348735,0.300930333619351
