"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"NGB",1,0.353441130745977,0.721033457674821
"TXNRD3",1,0.962240651249886,0.999277969771347
"HOOK1",0.5,0.416445412022384,0.556074969306009
"CPB2",0.96484375,0.585788362917549,0.762399365804243
"ZNF165",0.75,0.711128582067313,0.869170918456861
"PATE1",0.9375,0.500000000000002,0.700113670297338
"ZDHHC23",0.75,0.721464506444836,0.874060524714519
"PLBD2",0.9921875,0.314794573248634,0.54073369010861
"DCTD",0.875,0.994035930142118,0.990972670681592
"IL26",0.75,0.923043615336772,0.947684685044118
"ANKRD13C",1,0.684683082734584,0.944040487220278
"GALNT5",0.598190307617187,0.288529432651334,0.47383734421809
"CDCA5",1,0.852883145777854,0.988604771634417
"ZG16B",0.6875,0.216055617127135,0.428660692161371
"ZNF33A",0.91021728515625,0.297059453399514,0.536685232395731
"RING1",1,0.646009622932617,0.928277635503209
"TSPAN32",0.5,0.126529450466838,0.248229227517533
"GPX5",0.5,0.607461716916969,0.678199224201999
"VWCE",0.9375,0.436494302203911,0.737589118086125
"ZNF611",0.9375,0.114443252089163,0.30796706558124
"CCL26",0.475920995316376,0.477921568425306,0.615814881652841
"PPP2R1B",0.376953125,0.804764441385768,0.674420453785706
"DYDC2",0.86002188073553,0.774726211999205,0.833361457178357
"GPATCH2",0.9375,0.784743204811127,0.946683572430446
"SMCO4",1,0.989364624023438,0.999943242819158
"TRMT10B",0.34443988036167,0.123689797732715,0.207139393375525
"ARPP21",0.25,0.570079449628819,0.436765683163873
"AURKC",0.676197052001953,0.553073452582489,0.704738629341856
"OR6M1",0.9375,0.537591748813215,0.823915172670711
"INHBE",0.65625,0.312263988795353,0.528129846085216
"OTUD6A",1,0.16869951842656,0.468923278902064
"NRBP2",1,0.840345851262378,0.986517074352155
"CAPN8",0.2744140625,0.275025838989185,0.304573758786702
"LMBRD1",1,0.58387112298871,0.874218164373489
"ANKRD49",1,0.5,0.846573590279973
"SERPINE3",1,0.954880832357721,0.998966466885902
"CABP4",0.75,0.804784916018647,0.908868006089235
"IFNA21",1,0.37732587480525,0.564886116013999
"CRP",0.63671875,0.147116854222146,0.301564690487343
"CSTA",0.5,0.770154306337223,0.766659847821767
"LRRC19",0.75,0.42162095708195,0.680120670037103
"GNRHR",1,0.445006241922765,0.805313097505544
"CBR4",0.5,0.87743351471652,0.80584273056371
"FEZ2",0.75,0.861993053753749,0.929265721408339
"VDAC2",1,0.255687890792615,0.604394462209245
"C3orf52",0.285794094204903,0.897649464930887,0.622604155268533
"MIEF2",1,0.545875105430892,0.876328829044114
"RIBC1",1,0.907533328980207,0.995586738761033
"HMOX2",0.29052734375,0.5,0.475039778420053
"KLF8",1,0.811208038350951,0.980937694062921
"MAP1A",0.5,0.703832955356401,0.724318507641243
"ISPD",0.5,0.638114486843596,0.698426938658907
"IGFALS",1,0.464335354446651,0.820549404918434
"LIPN",0.7734375,0.565178775559081,0.785015084710836
"C12orf29",0.75,0.62267412519475,0.823336854330452
"DNLZ",1,0.308344831071604,0.671123792016078
"LSR",0.285794094204903,0.359753931761808,0.392255515265983
"AADACL4",0.5,0.127311585469672,0.251892794384107
"IL6",1,0.300484803983748,0.661775140595645
"SPANXD",0.75,0.778965830802917,0.901759831787449
"ZNF705G",1,0.9713134765625,0.999584549827424
"ZNF366",0.5,0.778734947272279,0.762905441464114
"MRPL46",0.875,0.623100680766966,0.863080747281404
"PROC",1,0.5,0.816051799733792
"FAM81B",0.623046875,0.46194635524096,0.646119175273576
"TMEM258",1,0.84912109375,0.975752597798862
"CD320",0.5,0.878541981130761,0.806721436488613
"LMO7DN",1,0.602185642514806,0.907607880424506
"CRISP1",0.350554019212723,0.430684465525578,0.503804894541287
"SMIM15",1,0.556137586329607,0.846573590279973
"AANAT",1,0.761532207782938,0.964179987709907
"VSIG1",0.75,0.885799887323351,0.937079095057775
"PCDHGB6",0.5,0.0584053136875416,0.139829205419297
"OR2T3",1,1,1
"TUBA3D",1,1,1
"CRNN",0.8125,0.911796062794982,0.960903948687403
