"","Gene","BF","post.prob"
"14195","AC073610.3",1.01086671864098,0.0690004228331684
"14196","DDN",1.76615666332664,0.114644981282337
"14197","MCRS1",1.11837824341338,0.075782877277264
"14198","FAIM2",0.995884644431948,0.0680473553712811
"14199","AQP2",1.07728501322295,0.0732021764168964
"14200","AQP5",1.10827052757404,0.0751494351096109
"14201","ATF1",1.07108567010719,0.0728115990805322
"14202","SLC11A2",0.785398681217368,0.0544482398915326
"14203","CSRNP2",0.936727114605146,0.0642649756026023
"14204","DAZAP2",1.11832370594665,0.0757794617877463
"14205","GALNT6",0.995115990407466,0.0679984057004317
"14206","NR4A1",1.74537409102922,0.113448987688017
"14207","ATG101",0.957801493717273,0.0656159324236639
"14208","KRT85",1.17682059516436,0.0794284654449517
"14209","KRT18",1.23987310984345,0.0833295159365363
"14210","ZNF740",1.24478166353144,0.0836318208202655
"14211","RARG",1.19183032595971,0.0803601236418364
"14212","MFSD5",0.843933634045461,0.0582697540176403
"14213","SP7",1.01947438675424,0.06954710858759
"14214","TARBP2",1.00582341410609,0.0686798165256606
"14215","HOXC10",1.12048053691346,0.0759145172778483
"14216","HOXC8",0.836382020422198,0.0577784756157595
"14217","HOXC4",1.01676310575618,0.069374980392632
"14218","NFE2",0.711578943837267,0.0495843948315734
"14219","COPZ1",1.43496716519454,0.0951932522371424
"14220","GTSF1",1.29706645057874,0.0868395729064722
"14221","PPP1R1A",0.896580236880603,0.0616805517023621
"14222","CD63",1.37122808159778,0.0913511750522009
"14223","PYM1",1.10462619134429,0.0749208345576154
"14224","RAB5B",1.387849516732,0.0923562267258023
"14225","MYL6",0.982074160511958,0.0671670872536799
"14226","ANKRD52",1.08318112624352,0.073573344152637
"14227","COQ10A",1.01616277165618,0.0693368590119935
"14228","MIP",0.935904680466269,0.0642121748910218
"14229","RBMS2",1.4950089038156,0.0987828592389978
"14230","PTGES3",1.02666866190697,0.0700035353501976
"14231","TAC3",0.946922015026461,0.064918999288042
"14232","STAT6",0.66219234895611,0.0463023711163476
"14233","PIP4K2C",0.793405347939794,0.054972793332899
"14234","TSPAN31",1.13963360516437,0.07711210634577
"14235","CDK4",0.945282489818556,0.0648138820955957
"14236","MARCH9",0.889083618444329,0.0611963801707449
