"","LoF_pvalue","LoF+Missense_pvalue","fisher_combine_pvalue"
"BFSP1",0.49996572290589,0.921615553253656,0.785897647687697
"TRPM5",1,0.359942685511106,0.74188251125225
"CDC5L",1,0.0518354411658911,0.205251820389462
"HACE1",1,0.244350575387089,0.585965910355049
"NOCT",1,0.932836239562044,0.997692251728113
"IGF1",1,0.531408852407671,0.86737806331649
"ZNF430",1,0.0946376101104206,0.342277161069916
"ZNF385D",1,0.343619717126077,0.677128486750222
"ZMYND19",1,0.429071220760275,0.792122264564283
"IFT46",1,1,1
"TICRR",1,0.821844541459234,0.987084602294058
"EPHA8",1,0.0794310479800008,0.267606643660023
"NCKAP5L",1,0.347133873812086,0.714417053469803
"PCNX4",0.454247288412378,0.94123457144771,0.812699974704968
"HECA",1,1,1
"SEPT3",1,1,1
"RTL1",1,0.30760914758855,0.67007090285622
"HOXB9",1,1,0.997843781975496
"LYSMD3",1,0.754846078259198,0.958211134966894
"PLEKHA5",1,0.363490793359395,0.712975922756955
"SSU72",1,0.49996572290589,0.846549830033886
"RAP2B",1,0.49996572290589,0.846549830033886
"RAC1",1,0.49996572290589,0.846549830033886
"LDOC1",1,0.49996572290589,0.846549830033886
"DAXX",1,0.548587969399444,0.898634605696819
"CORO1B",1,0.342666207049426,0.709661188097923
"GNL1",1,0.405346801388333,0.771379940119763
"LHFPL5",1,0.53707434079426,0.909097581553853
"AXL",1,1,1
"SLC38A2",1,0.839995427725675,0.991377587519921
"RPS6KA2",0.624948586120971,0.877794796449667,0.91872810145408
"SLC27A6",0.580882465162443,0.0603898793434723,0.113221976906536
"TMEM63C",1,0.085767018013309,0.271894818993493
"TMEM204",1,0.257044044569106,0.606240391546039
"TTC4",1,0.0908037446008403,0.331697978865903
"SMOC1",0.249948605513182,0.376606205220755,0.376878060165301
"NAA10",1,0.687435734853583,0.945077663757844
"POLE",0.726487526564926,0.318917727039016,0.548439761900826
"UTRN",0.387496703439846,0.328739443079076,0.364630795670198
"MBOAT2",1,0.494490046347761,0.854595218500252
"BCL2L10",1,0.806759166612558,0.978711798175306
"TMEM246",1,0.767990761788019,0.970723100575638
"DRD3",1,1,1
"LEO1",1,1,1
"LHFPL3",1,0.450696858926171,0.873838402304909
"CNST",1,0.756054505909736,0.959684813138145
"GOT1L1",1,0.786246484332427,0.968163121823128
"LONP1",1,0.908645794715905,0.995693994176193
"YWHAZ",1,0.179552779063125,0.487896267262498
"CHD2",1,0.60166425354767,0.907343211630724
"ANK2",0.624948586120971,0.746768089176749,0.806411018955144
"SLC4A10",1,0.686882209549202,0.909097581553853
"SMARCA4",1,0.200083369354691,0.522021742913285
"ATOH7",1,0.063398956143133,0.238272796601939
"SIX4",1,0.963228137949047,0.997227223464886
"GNRH1",1,1,0.99696578535633
"EEA1",0.624948586120971,0.569356639729625,0.743779442548568
"SLC6A4",1,0.288611076427509,0.622672943225632
"RBBP6",1,0.00195888570254569,0.0141732814286311
"ADIPOR1",1,0.855387068476223,1
"HRH3",1,0.00906049445091502,0.0516795344272042
"EPS15L1",1,0.621427443395119,0.917062923669486
"VAV1",1,0.848880227308931,0.987958367907099
"SCNN1G",0.49996572290589,0.278748945229993,0.451467049432986
"PAPOLG",1,0.756430686560364,0.941306860947862
"ASH2L",1,0.281592418910873,0.669474583468903
"ADARB1",1,0.65276979653,0.931196183487099
"RXRG",1,0.617282573337257,0.845909042651168
"TTBK2",1,0.309540189683495,0.64828896164927
"ZNF326",1,0.84184295601252,0.996722610700832
"CBLL1",1,0.904746787747256,0.99531209227168
"QSOX2",1,0.764309924936225,0.969637691570191
"ZNF622",0.49996572290589,0.0963487249949348,0.142037697873314
"EARS2",0.49996572290589,0.736003795230909,0.770716334620676
"GAB1",1,0.350445344885726,0.717106127431838
"PKD2",0.624948586120971,0.585252481629087,0.695535897355543
"FOXP1",1,0.103416534492163,0.372532597057029
"SLC25A1",1,0.472656634722584,0.89825492434233
"OR4D6",0.49996572290589,0.215250054035747,0.326240662181691
"SGCA",1,0.0894815963249986,0.338067660694471
"XPO7",1,0.0361593488477327,0.156201869341152
"KCNS3",0.249948605513182,0.479535246456562,0.309828806638975
"SLC35B2",1,0.181262262645456,0.457459941661257
"P2RY1",1,0.575180032205979,0.893296110940384
"HOMER3",0.49996572290589,0.238096201846982,0.319275546201436
"ACTL6A",1,0.472951666626986,0.827079940474568
"SRSF4",1,0.161126173679155,0.455272885140419
"RBFOX1",1,0.232949926478269,0.572342071999435
"PACS2",1,0.296438880901611,0.656883130671004
"C1QL4",1,0.671279117467262,0.889008551257715
"GAK",1,0.826406761524353,0.98397623411163
"ZSWIM5",1,0.877596379463155,0.995629555617834
"SOX5",1,0.341302104554965,0.70819751766987
"TNIP1",1,0.262248841855205,0.595254165931397
"LTK",0.857517832227873,0.122154728839766,0.349366459111953
"NEURL1",1,0.677651885391334,0.941340848423706
"GNB5",1,1,1
