"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF+Missense_T","LoF+Missense_UT","LoF+Missense_OR","LoF+Missense_P_value"
"WDR19",4,3,1.33330279094402,1,734,658,1.11549329702904,0.052910941655078,738,661,1.11648186482284,0.0501015070658062
"PRODH2",13,9,1.44440162842673,0.523150401718471,862,845,1.02012065511436,0.701253114069963,875,854,1.02459390944895,0.647087933660268
"SNTG2",9,4,2.25001976865234,0.266630705624587,585,607,0.963747847363397,0.546938925828839,594,611,0.972172115515438,0.653017491190212
"TFB1M",9,8,1.12499038149059,1,96,65,1.47687670923332,0.0172114643787251,105,73,1.43831409960845,0.019205594640586
"CWC22",2,1,1.99989728727585,1,730,704,1.03694072631128,0.524456863041926,732,705,1.03830750472247,0.507000346465009
"RNF207",6,2,2.99997615298437,0.288927677347483,841,798,1.05390474700973,0.322204560659299,847,800,1.05877384888458,0.275015304959196
"FAM19A4",0,1,0,1,43,45,0.95554462821959,0.914931050687847,43,46,0.934758652231834,0.831752730037684
"ENTHD1",1,2,0.500025679499842,1,752,671,1.12070670733631,0.0425905801111973,753,673,1.11886223971104,0.0457150978702115
"APLP2",0,0,0,1,114,103,1.10678407724114,0.494166184697522,114,103,1.10678407724114,0.494166184697522
"PAFAH1B1",0,0,0,1,9,7,1.2856888842142,0.803511708884093,9,7,1.2856888842142,0.803511708884093
"P2RY8",1,0,Inf,1,38,30,1.26664331220204,0.395027052473872,39,30,1.29997310376932,0.334420201189742
"PIFO",1,0,Inf,1,740,745,0.993288605748556,0.913247304238805,741,745,0.994630948133757,0.934897222385795
"KIF22",3,1,2.99997694771041,0.624948586120971,127,119,1.06725297039775,0.65276979653,130,120,1.08330133531801,0.566028492650903
"RNF139",0,0,0,1,38,46,0.826098962714064,0.443898765640738,38,46,0.826098962714064,0.443898765640738
"STK4",1,0,Inf,1,211,200,1.05501783717783,0.617048637586042,212,200,1.0600212850024,0.58274106911269
"CHAC2",2,1,1.99989728727585,1,66,65,1.01538536758644,1,68,66,1.03030769509967,0.930886457882192
"OR4C5",0,0,0,1,100,93,1.07523055471634,0.663868074345394,100,93,1.07523055471634,0.663868074345394
"DECR1",4,4,1,1,106,113,0.938031035671553,0.683024977208311,110,117,0.940150332225902,0.688279815164083
"AGTR2",2,1,1.99989728727585,1,82,56,1.46424074370836,0.0321697285498978,84,57,1.47363819484461,0.0274834728214496
"TAAR6",3,1,2.99997694771041,0.624948586120971,361,341,1.05867219728906,0.46315103368589,364,342,1.06435296470239,0.440894877898998
"CFL1",0,0,0,1,3,3,1,1,3,3,1,1
"TM4SF1",1,0,Inf,1,25,23,1.0869261519675,0.885245149321759,26,23,1.13042470382497,0.775080644438362
"EFNA1",0,0,0,1,63,46,1.3695307560898,0.123631340882611,63,46,1.3695307560898,0.123631340882611
"GLP2R",3,6,0.500025676671552,0.507677603335609,311,278,1.11869622277516,0.192607334824438,314,284,1.10562390052553,0.242697836534015
"GPR84",3,0,Inf,0.249948605513182,142,157,0.904468761470913,0.413528999686995,145,157,0.923594307146084,0.522605108370111
"SLC15A1",7,3,2.33334340675922,0.343581477453416,1037,1044,0.993294999546682,0.888213132623192,1044,1047,0.9971347645123,0.962700498746272
"ATXN7L1",0,0,0,1,337,315,1.06987102201134,0.400918031760271,337,315,1.06987102201134,0.400918031760271
"SLC14A1",1,1,1,1,229,206,1.11164220038604,0.284663308591484,230,207,1.1111028720776,0.28573770823676
"C4orf50",134,136,0.985293422925139,0.951040298529963,766,749,1.02269993224458,0.685600489453267,900,885,1.01695067022372,0.744473719611627
"ARL13A",3,1,2.99997694771041,0.624948586120971,17,11,1.54540051434897,0.344463717105107,20,12,1.66659936021471,0.214825334819785
"SPATA33",5,3,1.66659934587882,0.726487526564926,333,309,1.0776355457189,0.374994521156165,338,312,1.08330354496872,0.336003015047463
"CDKL2",104,98,1.06124598434665,0.723267145267601,76,63,1.20633206109231,0.306481758511623,180,161,1.11800355868786,0.324231335574514
"RALGAPB",1,0,Inf,1,239,226,1.05754181914354,0.571989743603677,240,226,1.06196977288883,0.540823446527045
"KIAA1586",27,22,1.2272534300323,0.567520398525776,795,813,0.977856881859746,0.674249039882043,822,835,0.984429944687952,0.775530504906657
"RFX5",1,0,Inf,1,290,327,0.886857671892304,0.15031026799735,291,327,0.889915563861106,0.162631421392745
"SEPT12",4,2,1.99989729293577,0.687435734853583,125,97,1.28863420258187,0.0677471558800436,129,99,1.30300317418366,0.0528063261551587
"ARL6IP5",0,0,0,1,23,8,2.87497026573607,0.0105942808534118,23,8,2.87497026573607,0.0105942808534118
"DCUN1D3",0,0,0,1,19,13,1.46149374790444,0.376560490523228,19,13,1.46149374790444,0.376560490523228
"USP36",0,0,0,1,1199,1167,1.02742595120475,0.549586351820389,1199,1167,1.02742595120475,0.549586351820389
"TOM1L2",1,1,1,1,75,72,1.04167621683855,0.868396514803865,76,73,1.04110516262,0.869265001971931
"RAB11FIP1",3,2,1.49995099608784,1,660,667,0.989504945076166,0.863432209814475,663,669,0.991031248240183,0.886213255393099
"JCHAIN",1,0,Inf,1,17,8,2.12488424986442,0.107453644899918,18,8,2.25001882474211,0.0752623146493569
"SPRY1",0,0,0,1,54,34,1.58817657613674,0.0416133265546195,54,34,1.58817657613674,0.0416133265546195
"PPFIBP2",4,2,1.99989729293577,0.687435734853583,260,222,1.17115761553709,0.0955069566353322,264,224,1.1785571777866,0.0802656978516164
"C17orf50",0,0,0,1,147,124,1.18546883929731,0.177450708330499,147,124,1.18546883929731,0.177450708330499
"SLC41A3",1,0,Inf,1,915,858,1.06639497102578,0.208539136431671,916,858,1.06756138873116,0.199700972318928
"IL17A",0,0,0,1,30,31,0.967736568281336,1,30,31,0.967736568281336,1
"HOOK3",0,0,0,1,38,39,0.974355848405478,1,38,39,0.974355848405478,1
"GPRASP2",0,0,0,1,164,157,1.04459734851841,0.735011940438998,164,157,1.04459734851841,0.735011940438998
"TREM1",3,0,Inf,0.249948605513182,101,94,1.07442927119503,0.665468884589116,104,94,1.10637038675983,0.519741528404424
"PSMA8",4,2,1.99989729293577,0.687435734853583,119,102,1.16665339067969,0.278227942848049,123,104,1.18267751864094,0.228617703919246
"HSDL2",2,0,Inf,0.49996572290589,223,190,1.17367038145085,0.110579838761346,225,190,1.1841956978343,0.0907960998806479
"FGF19",0,0,0,1,28,24,1.16665329508948,0.677264428557061,28,24,1.16665329508948,0.677264428557061
"CHML",2,0,Inf,0.49996572290589,474,429,1.10488695309111,0.149839038473318,476,429,1.10954918972902,0.131815065334748
"ANKRD45",0,0,0,1,132,134,0.985073898239306,0.95068088160475,132,134,0.985073898239306,0.95068088160475
"CLN5",5,2,2.49999307675205,0.453012582262561,237,246,0.963406976735863,0.711451543577549,242,248,0.975803499512876,0.818405142034025
"TMEM107",0,1,0,1,11,9,1.22220341735204,0.823682194776963,11,10,1.09998018912661,1
"TPK1",0,0,0,1,103,91,1.13185799935403,0.426721927462647,103,91,1.13185799935403,0.426721927462647
"PIGQ",4,3,1.33330279094402,1,243,203,1.19702828262533,0.067647641869439,247,206,1.19901288383152,0.0627006871674087
"PLCD3",0,1,0,1,84,85,0.988235017262011,1,84,86,0.976741684927242,0.938539927406111
"PHC2",0,0,0,1,540,534,1.01123630524737,0.874405962191433,540,534,1.01123630524737,0.874405962191433
"SPATA7",3,1,2.99997694771041,0.624948586120971,425,462,0.919934815924647,0.23965600104784,428,463,0.9244315215187,0.269450147199028
"VPS4A",0,0,0,1,64,66,0.969692261880632,0.929844789676003,64,66,0.969692261880632,0.929844789676003
"AASDH",3,1,2.99997694771041,0.624948586120971,815,743,1.09689279787602,0.0832536890838911,818,744,1.09945344991649,0.0788703456736038
"YY1",0,0,0,1,40,32,1.24997838713687,0.408427145200901,40,32,1.24997838713687,0.408427145200901
"FAM177A1",1,0,Inf,1,62,62,1,1,63,62,1.01612990661552,1
"PRKRIP1",1,0,Inf,1,38,34,1.11763810297144,0.723293278488614,39,34,1.14704727166118,0.639134874196957
"WBP4",1,0,Inf,1,52,50,1.0400086721141,0.920915982974294,53,50,1.06002032584753,0.843353036216343
"CCM2",0,0,0,1,146,136,1.07349033821596,0.588538752081052,146,136,1.07349033821596,0.588538752081052
"ROBO1",1,3,0.333335894718525,0.624948586120971,903,892,1.01233245318197,0.821892399764541,904,895,1.01005616665263,0.841603623625953
"FAM172A",0,2,0,0.49996572290589,28,21,1.33330281577903,0.390807588129143,28,23,1.21737300480498,0.575180032205979
"MALL",0,0,0,1,3,1,2.99997694771041,0.624948586120971,3,1,2.99997694771041,0.624948586120971
"ELOC",0,0,0,1,3,1,2.99997694771041,0.624948586120971,3,1,2.99997694771041,0.624948586120971
"GP1BB",0,0,0,1,25,25,1,1,25,25,1,1
"FUNDC2",0,0,0,1,15,7,2.1427395137346,0.133509364460916,15,7,2.1427395137346,0.133509364460916
"RBBP8NL",0,0,0,1,479,466,1.02790144427086,0.68721165122459,479,466,1.02790144427086,0.68721165122459
"ZSCAN21",1,2,0.500025679499842,1,117,101,1.15840332984496,0.30612943512253,118,103,1.14561972357535,0.342770513083838
"SCO2",1,1,1,1,67,55,1.21816348331542,0.317309376186362,68,56,1.2142677707604,0.321216295917327
"OR4A16",2,2,1,1,561,525,1.06853206258817,0.299325369121252,563,527,1.06834131120857,0.30015405109935
"YWHAE",0,0,0,1,4,3,1.33330279094402,1,4,3,1.33330279094402,1
"ANKRD22",3,1,2.99997694771041,0.624948586120971,753,696,1.08186965479351,0.160068968624309,756,697,1.08462413320523,0.144824058614761
"SUCLG1",0,1,0,1,68,46,1.47821433274419,0.0478827919042418,68,47,1.44676547603698,0.0607240627482427
"KRTDAP",1,0,Inf,1,9,3,2.99997535678843,0.14583085856042,10,3,3.33342166738329,0.0921421096335667
"EIF2B3",0,0,0,1,86,65,1.32304758118463,0.101585734112951,86,65,1.32304758118463,0.101585734112951
"GPR50",0,0,0,1,49,34,1.44113404806948,0.122805809429581,49,34,1.44113404806948,0.122805809429581
"PFN3",0,0,0,1,10,9,1.1111013014519,1,10,9,1.1111013014519,1
"CNPY4",8,2,3.99939245288739,0.109254824845677,128,138,0.927567077693185,0.577743004709589,136,140,0.971424352095507,0.855405113830843
"DIO2",0,0,0,1,24,17,1.41172553388347,0.348211346813295,24,17,1.41172553388347,0.348211346813295
"DPY19L3",1,0,Inf,1,101,97,1.0412465323723,0.830112576561103,102,97,1.05156150576468,0.775360905798366
"C11orf87",0,0,0,1,45,27,1.6665993832916,0.043863348233416,45,27,1.6665993832916,0.043863348233416
"HOXB3",0,0,0,1,61,46,1.32605726210876,0.174087691369422,61,46,1.32605726210876,0.174087691369422
"PPFIA4",4,3,1.33330279094402,1,201,192,1.04688777191433,0.682649852287325,205,195,1.05129747205568,0.648377876377317
"TIGAR",0,0,0,1,27,20,1.3499676577912,0.380926453479113,27,20,1.3499676577912,0.380926453479113
"SPINT4",0,2,0,0.49996572290589,689,638,1.07990808092304,0.187171119672648,689,640,1.07653040315862,0.207382865064609
"PROX2",2,0,Inf,0.49996572290589,185,155,1.19353261539368,0.11173830009928,187,155,1.20643457749174,0.0900356666301762
"GLIS3",3,2,1.49995099608784,1,813,762,1.06689026079936,0.222575321300617,816,764,1.06802484512693,0.223084171485818
"GALNTL5",8,4,1.9998973042321,0.387496703439846,753,790,0.953149632758479,0.377057420468442,761,794,0.958426616527529,0.439159612807239
"AAAS",3,2,1.49995099608784,1,102,79,1.29111336048166,0.099709691105818,105,81,1.29626986701356,0.0894815963249986
"SPOCK1",0,0,0,1,165,137,1.20436270806513,0.116546676704809,165,137,1.20436270806513,0.116546676704809
"TMEM91",0,0,0,1,49,39,1.25638798747941,0.335952425769701,49,39,1.25638798747941,0.335952425769701
"TRIM49C",2,2,1,1,29,21,1.38091662979849,0.321408910862896,31,23,1.3477939871913,0.33999939403335
"AGTR1",1,0,Inf,1,107,95,1.12630614643117,0.435907939672439,108,95,1.13683153784481,0.396486921974656
"SDC4",1,0,Inf,1,28,29,0.965511000951323,1,29,29,1,1
"MINK1",0,0,0,1,335,324,1.03395724636289,0.690527459926107,335,324,1.03395724636289,0.690527459926107
"ULK2",2,1,1.99989728727585,1,519,508,1.02165600627845,0.746895087347936,521,509,1.02357867268476,0.722957964639791
"ZNF226",5,3,1.66659934587882,0.726487526564926,401,380,1.05528212922822,0.485298147616279,406,383,1.0600746782236,0.442764552505685
"LCLAT1",2,2,1,1,69,54,1.27775328505871,0.204771267004241,71,56,1.26783369969991,0.212010565743025
"EXOSC2",2,1,1.99989728727585,1,174,173,1.00578022582763,1,176,174,1.0114945212422,0.956873451459258
"MAK",0,2,0,0.49996572290589,425,447,0.950767806538515,0.485685514252766,425,449,0.946529905454545,0.443645186769033
"FERD3L",1,0,Inf,1,5,5,1,1,6,5,1.19998340233392,1
"CD248",1,0,Inf,1,668,623,1.07219535256195,0.233910392182535,669,623,1.07380177719076,0.2228860882557
"SQSTM1",0,0,0,1,507,535,0.947645946612246,0.404622861929614,507,535,0.947645946612246,0.404622861929614
"KCNN4",1,3,0.333335894718525,0.624948586120971,51,51,1,1,52,54,0.962955579074103,0.922404744758031
"CD80",3,0,Inf,0.249948605513182,400,406,0.985220837358101,0.856452842180721,403,406,0.992610859638602,0.942416764692142
"ASB11",0,0,0,1,220,230,0.956510691623389,0.666719177640985,220,230,0.956510691623389,0.666719177640985
