"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"PLXNB2",0.25,0.7255859375,0.564395479515493
"SPSB4",0.5,0.5,0.846573590279973
"ERBIN",1,1,1
"ENO2",1,1,1
"BRK1",1,1,1
"OSBPL7",1,1,1
"BBC3",1,0.75,0.846573590279973
"PHLPP2",0.8125,0.8125,0.981206983882324
"CARMIL2",0.5,0.395263671875,0.596573590279973
"OR10J1",1,1,1
"TET3",1,0.34375,0.710820216562966
"ISCA2",1,1,1
"PCDHGC5",0.3125,0.3125,0.675984628064276
"CWC25",0.5,0.1875,0.446296560994629
"ABI2",1,1,1
"YLPM1",1,0.395263671875,0.762148286844367
"VIPAS39",0.125,0.125,0.38493019270998
"RPAP3",0.75,0.75,0.965761554338836
"MTFP1",1,1,1
"ARF3",1,0.5,0.846573590279973
"SNRPD2",1,0.5,0.846573590279973
"RAB39B",1,0.5,0.846573590279973
"ZNF580",1,0.3125,0.675984628064276
"FRMPD3",1,0.5,0.846573590279973
"SMS",1,1,1
"RPRD1B",0.75,0.75,0.965761554338836
"EIF3F",1,1,1
"TGM2",0.5,0.5,0.846573590279973
"GPI",0.25,0.25,0.596573590279973
"LZTS2",1,1,1
"TMEM186",1,1,1
"PPP2R3A",0.2265625,0.2265625,0.562947645187978
"PGAP3",1,1,1
"HAND1",1,1,1
"POP4",1,1,1
"KBTBD7",0.5,0.5,0.846573590279973
"ELK1",1,0.5,0.846573590279973
"SFRP4",0.5,0.5,0.846573590279973
"CBR1",0.75,0.75,0.965761554338836
"MAP2K1",1,0.5,0.846573590279973
"RBM26",1,1,1
"XPNPEP1",0.5,0.5,0.846573590279973
"FGF14",1,1,1
"SLC46A1",0.5,0.5,0.846573590279973
"BABAM1",1,1,1
"OR1J2",1,1,1
"ANGPTL5",0.78802490234375,0.78802490234375,0.975752597798862
"NBEAL1",0.123894281685352,0.123894281685352,0.382626011177122
"DLEU7",0.9375,0.65625,0.574413956779093
"FAM83D",1,1,1
"CHKA",1,1,1
"BMP4",1,1,1
"BNIP1",0.5,0.5,0.846573590279973
"TRMT61A",1,1,1
"SFRP2",1,0.75,0.846573590279973
"TMEM263",1,1,1
"E4F1",1,1,1
"TRAPPC5",1,0.5,0.846573590279973
"RNF169",1,1,1
"TIMP1",1,1,1
"RPP25",1,0.5,0.846573590279973
"NOTCH4",0.109375,0.109375,0.351418914689539
"MYOM2",0.0485154556486495,0.0485154556486495,0.195317056120265
"PICALM",1,1,1
"PITPNA",0.5,0.75,0.846573590279973
"PAPSS2",1,1,1
"PRR18",0.5,0.1875,0.446296560994629
"ZGPAT",1,1,1
"NT5C",0.5,0.5,0.846573590279973
"WFDC5",0.5,0.5,0.846573590279973
"SPIB",1,0.3125,0.675984628064276
"DGAT1",0.5,0.5,0.846573590279973
"PFKFB4",0.65625,0.65625,0.932671336456324
"CDYL",1,0.5,0.846573590279973
"NEUROG1",1,1,1
"HACD1",1,1,1
"KLF13",1,0.25,0.596573590279973
"OLIG3",1,1,1
"CGNL1",0.63671875,0.63671875,0.924150940307291
"CDKN2A",1,1,1
"BPTF",1,0.395263671875,0.762148286844367
"IMP3",1,1,1
"MMEL1",0.03271484375,0.03271484375,0.144597200475335
"ARL1",1,0.36328125,0.73113183388026
"SPAST",1,0.166152954101563,0.464372003001887
"DNAJC6",0.5,0.5,0.846573590279973
"COX6B2",1,1,1
"CELF2",1,0.3125,0.675984628064276
"PSME2",0.75,0.75,0.965761554338836
"CEBPZ",0.109375,0.109375,0.351418914689539
"IDO2",0.5,0.5,0.846573590279973
"KCNN2",1,0.36328125,0.73113183388026
"DEGS2",1,0.75,0.965761554338836
"KLHL26",0.75,0.75,0.965761554338836
"MCTP1",0.75,0.75,0.965761554338836
"MTIF2",0.0625,0.0625,0.235786795139986
"ROPN1L",0.82092834909693,0.82092834909693,0.982913476194154
"AK4",0.75,0.5,0.742810969879397
"HFE",0.14453125,0.14453125,0.424092197960576
"CCDC61",0.8125,0.8125,0.981206983882324
"GJD2",1,0.2265625,0.562947645187978
"ITGA2",0.059234619140625,0.059234619140625,0.226646409670159
"ARID3B",1,0.5,0.846573590279973
"TPT1",1,0.5,0.846573590279973
"CKM",0.125,0.125,0.38493019270998
"EVL",1,1,1
"CPSF2",1,0.75,0.846573590279973
"TBC1D22B",0.5,0.5,0.846573590279973
"CCT6A",1,0.5,0.846573590279973
"UBE2D4",1,1,1
"OCIAD2",0.6875,0.6875,0.94510174649097
"RTCB",0.875,0.875,0.991839968546457
"GOLGA7B",1,1,1
"NEK4",0.772750854492188,0.772750854492188,0.971964936893604
"RABAC1",0.5,0.5,0.846573590279973
"STXBP3",0.75,0.5,0.742810969879397
"BLOC1S4",1,0.5,0.846573590279973
"SNRNP25",1,1,1
"NTN5",0.984375,0.984375,0.999877288890512
"FUBP1",1,1,1
"TLR1",0.799469004486031,0.799469004486031,0.978396176565
"TSPAN5",1,0.5,0.846573590279973
"ODF3",1,1,1
"BCDIN3D",0.75,0.75,0.965761554338836
"WDR81",0.3125,0.3125,0.675984628064276
"SLC44A5",0.5,0.5,0.846573590279973
"FOSB",1,0.261733531951904,0.612568577380933
"CDX1",1,1,1
"ABCE1",1,0.5,0.846573590279973
"GALNT13",0.5,0.5,0.846573590279973
"DNAH1",0.0946235656738281,0.0946235656738281,0.317731619385355
"TBC1D15",0.5,0.5,0.846573590279973
"NTN3",0.8125,0.8125,0.981206983882324
"TMEM120B",1,1,1
"MED24",0.75,0.75,0.965761554338836
"ECHDC2",0.0078125,0.0078125,0.045718986436872
"OR6K2",1,1,1
"SPOCK3",1,1,1
"ANKS6",0.65625,0.65625,0.932671336456324
"LGR6",0.75,0.75,0.965761554338836
"LRP11",0.6875,0.171875,0.269775694871508
"BEST3",0.74609375,0.74609375,0.964627606010508
"EXD2",0.125,0.125,0.38493019270998
"NUP35",1,1,1
"OR51F1",0.25,0.25,0.596573590279973
"SETD1A",1,0.25,0.596573590279973
"UBE2B",1,0.5,0.846573590279973
"DIS3L",0.80615234375,0.80615234375,0.979864100213396
"PBX1",1,0.5,0.846573590279973
"PDK1",0.6875,0.6875,0.94510174649097
"ATP6AP1",1,1,1
"DAB1",1,1,1
"ARMC5",1,1,1
"AHI1",0.125,0.125,0.38493019270998
"AADAT",1,0.65625,0.846573590279973
"SESN1",0.75,0.75,0.965761554338836
"KISS1R",1,0.155252329539508,0.363163130810694
"ZNF81",1,1,1
"SPAG7",1,1,1
"KANSL2",1,1,1
"ETV5",1,0.5,0.846573590279973
"SLC31A1",1,1,1
"HERPUD2",1,1,1
"TOP2B",0.5,0.5,0.742810969879397
"PAIP2",1,1,1
"SPOP",1,0.5,0.846573590279973
"MTURN",1,0.5,0.846573590279973
"MYO7B",0.833847045898437,0.833847045898437,0.985361466561743
"STARD8",0.5,0.5,0.846573590279973
"ZNF830",1,1,1
"ZNF146",1,0.5,0.846573590279973
"TEX29",0.5,0.5,0.846573590279973
"ARX",1,0.5,0.846573590279973
"PCLO",0.3125,0.3125,0.675984628064276
"SFTPA1",0.61279296875,0.407264709472656,0.538745678638186
"DHRS13",0.5,0.5,0.846573590279973
"ZNF575",1,1,1
"DIAPH2",1,1,1
"SGK1",1,1,1
"FGF12",0.5,0.3125,0.596573590279973
"RIC8A",1,1,1
"NUP210L",0.6875,0.6875,0.94510174649097
"RAC2",1,0.5,0.846573590279973
"ALAD",0.5,0.5,0.846573590279973
"GADD45B",1,0.5,0.846573590279973
"SF3B5",1,0.5,0.846573590279973
"C1orf198",1,0.6875,0.94510174649097
"KLHDC8A",0.75,0.75,0.965761554338836
"MCM4",0.0625,0.0625,0.235786795139986
"SCAF1",1,1,1
"PANK4",1,1,1
"GNE",0.8125,0.8125,0.981206983882324
"GABRA1",1,0.25,0.596573590279973
"MRPS14",0.0107421875,0.0107421875,0.0594427166609492
"MRGPRE",0.03125,0.03125,0.139554246962491
"CLDN15",1,1,1
"NLN",0.623046875,0.623046875,0.917831237498511
"BCKDK",0.125,0.125,0.38493019270998
"DKK1",1,1,1
"RNF150",1,1,1
"LSM8",1,0.5,0.846573590279973
"H3F3A",1,0.5,0.846573590279973
"UBE2I",1,0.5,0.846573590279973
"SNRPD1",1,0.5,0.846573590279973
"CTXN1",1,0.5,0.846573590279973
"CFC1",1,0.5,0.846573590279973
"PPP3R1",1,0.5,0.846573590279973
"GNAQ",1,0.5,0.846573590279973
"SLC12A4",0.5,0.5,0.742810969879397
"DDB2",0.75,0.75,0.965761554338836
"ITGA4",0.5,0.5,0.846573590279973
"RASL10B",1,0.25390625,0.60195844276545
"LCE2D",0.0625,0.0625,0.235786795139986
"PLAT",0.172464225441218,0.172464225441218,0.475581389914629
"FAM169B",0.34375,0.34375,0.710820216562966
"HOXB2",1,1,1
"GNPAT",0.5,0.5,0.846573590279973
"SBSPON",0.875,0.875,0.991839968546457
"SAMD4B",1,1,1
"ITM2C",0.5,0.5,0.846573590279973
"COMMD4",1,1,1
"POC1A",0.875,0.875,0.991839968546457
"RIN3",0.5,0.5,0.846573590279973
"ZNF101",0.125,0.125,0.38493019270998
"RBCK1",1,1,1
"CLDN11",1,1,1
"EDNRA",1,1,1
"FERMT2",1,1,1
"SCAMP3",0.3125,0.3125,0.675984628064276
"ZYX",1,1,1
"TBC1D31",0.0835342407226563,0.0835342407226563,0.29090788160177
"NLGN3",1,0.5,0.846573590279973
"LSM6",1,0.5,0.846573590279973
"SNX12",1,0.5,0.846573590279973
"GRIA3",1,0.5,0.846573590279973
"TFIP11",0.25,0.25,0.596573590279973
"MRNIP",0.388960350187642,0.388960350187642,0.756247000437033
"ETNK2",0.75,0.75,0.965761554338836
"ZFYVE21",1,1,1
"CDH18",1,1,1
"BIVM",1,1,1
"PGAM2",0.21197509765625,0.21197509765625,0.540809199707367
"KIAA1147",0.75,0.75,0.965761554338836
"AATF",0.046142578125,0.046142578125,0.188078032144454
"PRSS48",1,1,1
"NFATC3",1,1,1
"PLA2G2F",0.36328125,0.36328125,0.73113183388026
"SUSD3",0.961593627929688,0.961593627929688,0.999252847807013
"TLR9",0.5,0.5,0.846573590279973
"LIME1",1,1,1
"TNC",0.623046875,0.623046875,0.917831237498511
"PSD",1,0.314529418945313,0.678338572906542
"INO80B",1,1,1
"GYS2",0.371414679364534,0.371414679364534,0.739277188268338
"PCBP2",1,0.5,0.846573590279973
"TKTL2",0.059234619140625,0.059234619140625,0.226646409670159
"CDADC1",1,1,1
"WDR33",1,1,1
"RFX3",1,0.3125,0.675984628064276
"AMMECR1L",1,0.5,0.846573590279973
"BMP1",0.3125,0.3125,0.675984628064276
"FAM71A",0.0902415029857895,0.0902415029857895,0.307296307101699
"ADD2",0.5,0.5,0.846573590279973
"MED13",1,0.8125,0.981206983882324
"ZRANB1",1,0.3125,0.675984628064276
"CSH1",0.5,0.63671875,0.754123835313095
"ERG28",1,1,1
"TEKT4",0.875,0.875,0.991839968546457
"KDM5C",1,0.34375,0.710820216562966
"YPEL1",1,0.5,0.846573590279973
"ETNK1",1,1,1
"KLF15",1,0.5,0.846573590279973
"TRARG1",0.6875,0.6875,0.94510174649097
"ZIC4",0.75,0.75,0.965761554338836
"EDEM2",0.25390625,0.25390625,0.60195844276545
"TMEM160",1,0.36328125,0.73113183388026
"PTPMT1",1,1,1
"CTTNBP2",0.5,0.5,0.846573590279973
"CRMP1",1,1,1
"TMEM256",1,1,1
"MATR3",1,0.25390625,0.60195844276545
"OGFOD2",0.36328125,0.36328125,0.73113183388026
"KLHL38",0.2265625,0.2265625,0.562947645187978
"LAMB2",0.0625,0.0625,0.235786795139986
"ZNF598",0.5,0.5,0.846573590279973
"TMPRSS4",0.8125,0.8125,0.981206983882324
"CPOX",1,1,1
"LRFN4",1,0.1055117988044,0.342800711774309
"AMPD3",0.015625,0.015625,0.0806075481774949
"SNAP25",1,0.5,0.846573590279973
"GTF2E1",1,1,1
"HS3ST4",1,0.1875,0.501370581294688
"NRDC",0.5,0.5,0.846573590279973
"ZSCAN12",0.5,0.5,0.846573590279973
"ST6GALNAC1",0.19384765625,0.19384765625,0.511890153355696
"CLPP",1,0.25,0.596573590279973
"DPEP1",0.125,0.125,0.38493019270998
"AUH",0.75,0.75,0.965761554338836
"RTN2",1,1,1
"E2F4",1,1,1
"ZNF585B",0.744312109207385,0.744312109207385,0.964103627329236
"COQ8B",0.96484375,0.96484375,0.999374647028678
"VTI1B",0.5,0.5,0.846573590279973
"ARSK",1,1,1
"POLG",0.5,0.5,0.846573590279973
"FASTK",0.5,0.5,0.846573590279973
"AP1G1",1,0.5,0.846573590279973
"ATP6V0B",1,0.5,0.846573590279973
"WDR91",0.5,0.5,0.846573590279973
"ACVR2B",0.5,0.875,0.846573590279973
"METAP2",1,0.75,0.965761554338836
"FAM98A",1,1,1
"SLC39A14",1,1,1
"PRKRA",1,1,1
"ATP11C",1,1,1
"GNL3L",1,1,1
"TRPM3",0.623046875,0.425277009606362,0.601737357854911
"ICA1L",0.0391769409179688,0.0391769409179688,0.166097181500612
"A3GALT2",0.973760604858398,0.791153904581734,0.555051918394936
"CHP1",1,1,1
"TRPM8",0.604736328125,0.604736328125,0.90889616702116
"USP51",1,1,1
"USP21",0.75,0.6875,0.886142331508254
"GAA",0.36328125,0.36328125,0.73113183388026
"NFIA",1,0.36328125,0.73113183388026
"GPAT4",1,1,1
"PLEKHM1",0.5,0.14453125,0.359994401641795
"TAF8",0.75,0.75,0.965761554338836
"PGAM5",0.5,0.5,0.846573590279973
"OR10H5",1,1,1
"ZBTB25",0.75,0.75,0.965761554338836
"EIF4A2",1,0.5,0.846573590279973
"SLC37A3",0.6875,0.6875,0.94510174649097
"RAB27A",0.890625,0.890625,0.993787710702062
"NCKAP1",1,0.25,0.596573590279973
"PANK2",0.5,0.5,0.846573590279973
"PHF12",0.75,0.5,0.742810969879398
"MAFG",1,0.5,0.846573590279973
"LRRC3B",1,0.75,0.965761554338836
"ZNF92",0.5,0.5,0.846573590279973
"RND2",0.5,0.5,0.846573590279973
"VEZF1",1,0.5,0.846573590279973
"TEF",1,0.5,0.846573590279973
"ABHD13",1,1,1
"LRWD1",0.8125,0.65625,0.772194534043639
"SSBP2",1,0.2265625,0.562947645187978
"USP30",0.5,0.5,0.846573590279973
"FUT3",1,1,1
"HIC2",1,1,1
"KCNA2",1,0.5,0.846573590279973
"ZHX2",1,1,1
"CCDC173",0.017578125,0.017578125,0.0886130867760344
"MAGI2",0.5,0.395263671875,0.596573590279973
"RARG",1,1,1
"PHF13",1,0.25,0.596573590279973
"ABI1",1,1,1
"PSG2",0.03271484375,0.03271484375,0.144597200475335
"TTC7B",1,1,1
"ATF6B",0.875,0.875,0.991839968546457
"ADCY10",0.15087890625,0.15087890625,0.436232818438404
"RXFP4",0.5,0.5,0.846573590279973
"MYF6",1,1,1
"ZNF620",0.03515625,0.03515625,0.152857717985508
"IGF2BP3",1,1,1
"SNX10",0.5,0.5,0.846573590279973
"ABCG4",0.9375,0.96875,0.998004863566473
"NIPSNAP2",0.5,0.5,0.846573590279973
"THUMPD1",1,1,1
"RALBP1",0.5,0.5,0.846573590279973
"MYBPC3",0.1875,0.1875,0.501370581294688
"SLC9A7",1,1,1
"HIST1H4J",1,0.6875,0.846573590279973
"MRPS24",0.25,0.25,0.596573590279973
"SASH3",1,1,1
"CORO1C",1,1,1
"TBL1X",1,1,1
"LARP1",1,1,1
"TIAM1",0.5,0.5,0.846573590279973
"GPD1L",1,1,1
"MPHOSPH9",0.109375,0.109375,0.351418914689539
"SPRYD4",1,1,1
"ZNF12",0.5,0.5,0.742810969879397
"ARL4D",1,0.5,0.846573590279973
"CTPS1",0.3125,0.38720703125,0.520234646871329
"MTUS1",0.500000000000002,0.500000000000002,0.846573590279974
"CYP2U1",0.3125,0.34375,0.574413956779093
"PLA2R1",0.0594602262797181,0.0594602262797181,0.227283602558659
"ZNF182",1,1,1
"ECM1",0.0625,0.0625,0.235786795139986
"TBC1D4",0.604736328125,0.604736328125,0.90889616702116
"YTHDF3",1,1,1
"ICAM2",0.5,0.5,0.846573590279973
"MSX1",0.5,0.25,0.596573590279973
"ZNF672",1,0.3125,0.675984628064276
"RECQL5",0.261733531951904,0.261733531951904,0.612568577380933
"C7orf25",1,1,1
"AMN1",1,1,1
"KCTD6",1,0.5,0.846573590279973
"GPR6",1,0.2265625,0.562947645187978
"ELP3",1,1,1
"TRIP10",0.25,0.1875,0.38493019270998
"MUC6",0.0120464538492247,0.0120464538492247,0.0652795520944903
"NKX3-2",1,1,1
"SERPINB9",0.03271484375,0.03271484375,0.144597200475335
"RHBDL3",0.015625,0.015625,0.0806075481774949
"YAF2",1,0.5,0.846573590279973
"TENT5D",1,1,1
