"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"NPPA",1,1,1,NA,0.961538461538462
"IQCF1",0.5,0.5,0.846573590279973,0.5,0.966666666666667
"LSMEM1",0.5,0.5,0.846573590279973,0.647583617650433,0.923076923076923
"CALHM4",1,1,1,1,0.956521739130435
"MC5R",0.6875,0.6875,0.94510174649097,0.779781820901355,0.980392156862745
"POLM",0.63671875,0.63671875,0.924150940307291,0.8,0.972972972972973
"SLC25A30",0.125,0.125,0.38493019270998,0.352416382349567,0.964285714285714
"COA6",0.25,0.25,0.596573590279973,0.5,0.666666666666667
"S100A10",1,1,1,NA,0.875
"PMAIP1",1,1,1,NA,0.75
"CCDC85A",0.5,0.5,0.846573590279973,0.666666666666667,0.981481481481482
"HSDL1",1,1,1,0.5,0.973684210526316
"TYW3",1,1,1,NA,0.958333333333333
"PMF1-BGLAP",1,1,1,NA,0.666666666666667
"NOL12",1,1,1,1,0.96969696969697
"DMAC1",1,1,1,NA,0.933333333333333
"SHMT1",0.5,0.5,0.846573590279973,0.833333333333333,0.979166666666667
"CFD",1,1,1,NA,0.96551724137931
"RAB20",1,1,1,NA,0.961538461538462
"KRTAP20-1",1,1,1,NA,0.875
"RAB3A",1,0.5,0.846573590279973,NA,0.916666666666667
"SKA2",1,1,1,NA,0.888888888888889
"EPDR1",0.75,0.75,0.965761554338836,0.5,0.954545454545455
"RNU7-104P",1,1,1,NA,0.888888888888889
"TIMM10B",0.5,0.5,0.846573590279973,0.5,0.888888888888889
"RAVER2",0.875,0.875,0.991839968546457,0.5,0.981132075471698
"DNAI2",0.105056762695313,0.105056762695313,0.341776383661316,0.569015384054408,0.98936170212766
"ARL14EP",0.75,0.75,0.965761554338836,0.5,0.928571428571429
"ZNF586",0.74827766418457,0.74827766418457,0.965264090059308,0.735506250282547,0.980392156862745
"C6orf15",0.75,0.75,0.965761554338836,0.5,0.977272727272727
"RPAIN",0.34375,0.34375,0.710820216562966,0.8,0.970588235294118
"SPINK7",1,1,1,NA,0.875
"CGREF1",0.5,0.5,0.846573590279973,0.5,0.961538461538462
"AC026464.6",1,1,1,NA,0.933333333333333
"ASCL4",0.5,0.5,0.846573590279973,0.5,0.941176470588235
"LAS1L",1,1,1,NA,0.952380952380952
"WISP2",0.75,0.75,0.965761554338836,0.5,0.970588235294118
"CANX",1,1,1,NA,0.972972972972973
"APEX1",0.5,0.5,0.846573590279973,0.5,0.975609756097561
"S100A8",1,1,1,1,0.75
"ATP5MD",1,1,1,NA,0.8
"DNAJC11",1,1,1,NA,0.972222222222222
"CCDC13",0.63671875,0.63671875,0.924150940307291,0.875,0.989130434782609
"ARL16",1,1,1,NA,0.9375
"AFTPH",1,1,1,NA,0.990909090909091
"TCEAL5",1,1,1,NA,0.916666666666667
"MB21D2",0.5,0.5,0.846573590279973,0.5,0.977272727272727
"KRTAP5-1",0.325793913604458,0.325793913604458,0.69116861590437,0.666666666666667,0.96
"IFI6",1,0.75,0.965761554338836,NA,0.857142857142857
"TRIM69",0.25,0.25,0.596573590279973,0.5,0.983050847457627
"LYRM9",1,1,1,NA,0.857142857142857
"SCGB1A1",1,1,1,NA,0.857142857142857
"DYNLRB2",1,1,1,NA,0.909090909090909
"TMOD2",0.25,0.25,0.596573590279973,0.5,0.970588235294118
"C14orf39",0.3125,0.3125,0.675984628064276,0.75,0.975
"NHEJ1",1,1,1,NA,0.96875
"C14orf28",0.6875,0.6875,0.94510174649097,0.6875,0.962962962962963
"ACY1",0.5,0.5,0.846573590279973,0.5,0.983333333333333
"PLEKHO1",1,1,1,NA,0.979166666666667
"TNFRSF14",1,1,1,NA,0.954545454545455
"SEC24B",1,1,1,NA,0.990654205607477
