"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"7667","SLITRK3",0.9376,"NA","696 vs 720","-",NA,"-",NA,"1 vs 1",0.8,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"82 vs 76",1.18,"203 vs 210",1,"410 vs 433",1
"7668","ATP1B4",0.9376,"NA","59 vs 77","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 4",0.88,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"18 vs 17",1.07,"41 vs 56",1,"-",NA
"7669","KPNA4",0.9376,"NA","11 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.84,"-",NA,"-",NA,"5 vs 1",1.42,"-",NA,"-",NA,"4 vs 11",0.78,"-",NA,"-",NA
"7670","PNPLA4",0.9375,"NA","35 vs 48","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 3",0.89,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 17",1.05,"14 vs 28",1,"-",NA
"7671","C12orf77",0.9375,"NA","2 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.9,"-",NA,"-",NA
"7672","ZFYVE9",0.9375,"NA","389 vs 370","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 12",1.79,"-",NA,"-",NA,"116 vs 115",0.96,"253 vs 242",0.99,"-",NA
"7673","HYOU1",0.9374,"NA","203 vs 209","1 vs 1",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"30 vs 21",1.88,"-",NA,"-",NA,"87 vs 88",0.58,"85 vs 99",1,"-",NA
"7674","TANK",0.9374,"NA","199 vs 210","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.19,"-",NA,"-",NA,"29 vs 28",0.79,"162 vs 177",1,"-",NA
"7675","LGALS4",0.9373,"NA","41 vs 37","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 36",0.94,"-",NA,"-",NA
"7676","C17orf64",0.9373,"NA","60 vs 50","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.07,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 23",0.87,"32 vs 26",1,"-",NA
"7677","MYL6",0.9373,"NA","176 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"10 vs 8",0.95,"165 vs 151",1,"-",NA
"7678","RPL10L",0.9372,"NA","62 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 28",0.9,"27 vs 26",1,"-",NA
"7679","CKS2",0.9371,"NA","5 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.88,"-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA
"7680","CCL26",0.9371,"NA","164 vs 162","-",NA,"-",NA,"-",NA,"-",NA,"138 vs 136",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 9",0.99,"13 vs 17",1,"-",NA
"7681","ADI1",0.9371,"NA","71 vs 66","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 46",0.99,"16 vs 18",1,"-",NA
"7682","CASP12",0.9371,"NA","182 vs 156","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 6",0.98,"51 vs 47",1,"119 vs 98",1
"7683","PDLIM1",0.937,"NA","31 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 1",1.28,"-",NA,"-",NA,"25 vs 29",0.68,"-",NA,"-",NA
"7684","SLC25A18",0.9369,"NA","48 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"48 vs 41",1.01,"-",NA,"-",NA
"7685","TM2D3",0.9369,"NA","152 vs 135","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 45",0.91,"6 vs 6",1,"98 vs 84",1
"7686","INHBE",0.9369,"NA","174 vs 164","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"62 vs 60",1.01,"108 vs 100",1,"-",NA
"7687","NCBP2L",0.9368,"NA","22 vs 26","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 6",0.94,"18 vs 20",1,"-",NA
"7688","AANAT",0.9368,"NA","161 vs 173","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 38",0.98,"122 vs 134",1,"-",NA
"7689","MRPL15",0.9368,"NA","194 vs 126","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"50 vs 35",0.89,"143 vs 90",1.07,"-",NA
"7690","C10orf91",0.9367,"NA","3 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.94,"-",NA,"-",NA
"7691","SIRPG",0.9366,"NA","206 vs 227","-",NA,"-",NA,"-",NA,"-",NA,"29 vs 33",0.81,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"92 vs 95",1.17,"85 vs 99",1,"-",NA
"7692","SLC35G2",0.9366,"NA","88 vs 67","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"44 vs 38",0.97,"44 vs 28",1.01,"-",NA
"7693","RANBP9",0.9365,"NA","85 vs 84","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 6",0.97,"29 vs 27",1,"-",NA,"14 vs 15",0.72,"-",NA,"-",NA,"25 vs 16",1.35,"12 vs 20",1,"-",NA
"7694","SPTSSB",0.9365,"NA","15 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 12",0.94,"-",NA,"-",NA
"7695","SLC15A2",0.9362,"NA","75 vs 79","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 4",0.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"57 vs 52",1.04,"16 vs 23",1,"-",NA
"7696","AAGAB",0.9361,"NA","144 vs 151","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"62 vs 63",0.98,"82 vs 87",1,"-",NA
"7697","S100G",0.9361,"NA","26 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 32",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.94,"-",NA,"-",NA
"7698","GAGE12J",0.9361,"NA","1 vs 2","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.94,"-",NA,"-",NA
"7699","PTPN4",0.9361,"NA","611 vs 584","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 19",0.53,"44 vs 36",1,"-",NA,"41 vs 41",0.93,"101 vs 106",1,"404 vs 382",1
"7700","ZBTB14",0.936,"NA","14 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.69,"-",NA,"-",NA,"9 vs 4",1.37,"-",NA,"-",NA,"4 vs 4",0.99,"-",NA,"-",NA
"7701","PYCARD",0.9359,"NA","24 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"3 vs 5",0.62,"-",NA,"-",NA,"9 vs 2",2.41,"7 vs 9",1,"-",NA,"4 vs 15",0.65,"-",NA,"-",NA
"7702","YTHDC1",0.9358,"NA","55 vs 49","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.16,"-",NA,"-",NA,"2 vs 1",1.09,"-",NA,"-",NA,"36 vs 34",0.74,"15 vs 13",1,"-",NA
"7703","SSX1",0.9357,"NA","390 vs 425","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 15",0.87,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 29",1.08,"15 vs 23",1,"326 vs 358",0.99
"7704","NDUFA10",0.9356,"NA","195 vs 196","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"38 vs 30",0.9,"156 vs 166",1,"-",NA
"7705","NEXMIF",0.9354,"3","171 vs 173","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"42 vs 36",0.95,"41 vs 46",1,"87 vs 90",1
"7706","GRIN2A",0.9354,"3","298 vs 291","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 7",0.99,"-",NA,"-",NA,"23 vs 18",1.27,"-",NA,"-",NA,"81 vs 77",0.75,"186 vs 189",1,"-",NA
"7707","SMAP2",0.9354,"NA","58 vs 74","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 12",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 12",0.65,"-",NA,"-",NA,"17 vs 17",1.59,"22 vs 33",1,"-",NA
"7708","MFAP3L",0.9354,"NA","56 vs 55","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"23 vs 14",1.31,"-",NA,"-",NA,"24 vs 26",0.72,"9 vs 15",1,"-",NA
"7709","PCDHA13",0.9353,"4","2 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"7710","ACOT9",0.9353,"NA","246 vs 216","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 21",0.94,"24 vs 32",1,"197 vs 163",1
"7711","CRCT1",0.9353,"NA","115 vs 104","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.98,"-",NA,"112 vs 99",1
"7712","LCN8",0.9351,"NA","69 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"48 vs 41",0.94,"21 vs 23",1,"-",NA
"7713","CCT6B",0.9351,"NA","108 vs 92","-",NA,"-",NA,"-",NA,"-",NA,"61 vs 48",1.09,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 43",0.86,"0 vs 1",1,"-",NA
"7714","TMEM39B",0.935,"NA","38 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 7",1.26,"-",NA,"-",NA,"28 vs 25",0.74,"-",NA,"-",NA
"7715","COX7A2L",0.935,"NA","33 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 17",0.94,"11 vs 12",1,"-",NA
"7716","CIART",0.9349,"NA","116 vs 99","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"70 vs 55",0.94,"46 vs 44",1,"-",NA
"7717","CCDC86",0.9349,"NA","159 vs 159","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 4",1.06,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 17",0.91,"66 vs 66",1,"-",NA,"37 vs 33",0.97,"29 vs 39",1,"-",NA
"7718","NMRK1",0.9348,"NA","235 vs 239","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 10",0.98,"224 vs 228",1,"-",NA
"7719","DENND3",0.9347,"NA","293 vs 260","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"38 vs 32",0.89,"91 vs 85",1,"-",NA,"85 vs 77",1.05,"78 vs 65",1,"-",NA
"7720","ZNF207",0.9347,"NA","30 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 6",0.63,"-",NA,"-",NA,"29 vs 18",1.55,"-",NA,"-",NA
"7721","ZNF766",0.9346,"NA","140 vs 157","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"61 vs 61",0.94,"77 vs 94",1,"-",NA
"7722","CRLF2",0.9346,"NA","368 vs 346","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 31",0.97,"6 vs 1",1.01,"326 vs 312",1
"7723","THBS1",0.9346,"4","120 vs 120","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 44",0.81,"-",NA,"-",NA,"71 vs 73",1.15,"3 vs 3",1,"-",NA
"7724","ZNF391",0.9345,"NA","118 vs 99","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 45",0.99,"64 vs 51",1,"-",NA
"7725","OAZ2",0.9344,"NA","11 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"10 vs 12",0.85,"-",NA,"-",NA
"7726","LIME1",0.9343,"NA","28 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 2",1.61,"-",NA,"-",NA,"8 vs 16",0.61,"13 vs 19",1,"-",NA
"7727","REEP6",0.9343,"NA","59 vs 60","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"37 vs 33",1.08,"22 vs 25",1,"-",NA
"7728","OR1S1",0.9342,"NA","319 vs 272","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"79 vs 68",0.94,"240 vs 204",1,"-",NA
"7729","DGAT2",0.934,"NA","189 vs 209","-",NA,"-",NA,"-",NA,"-",NA,"17 vs 13",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 7",1.15,"-",NA,"-",NA,"37 vs 46",0.78,"63 vs 60",1,"62 vs 83",1
"7730","STAP1",0.9339,"NA","38 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 25",0.93,"10 vs 11",1,"-",NA
"7731","CCL2",0.9338,"NA","19 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"18 vs 14",0.85,"-",NA,"-",NA
"7732","NEUROD6",0.9337,"NA","11 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 8",0.92,"-",NA,"-",NA,"4 vs 4",1.01,"-",NA,"-",NA
"7733","STRC",0.9336,"NA","5 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA
"7734","HNF1A",0.9334,"NA","430 vs 421","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",1.21,"-",NA,"-",NA,"8 vs 9",0.78,"-",NA,"-",NA,"83 vs 69",0.99,"-",NA,"333 vs 338",1
"7735","RALGPS1",0.9333,"NA","225 vs 225","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 17",1.36,"-",NA,"-",NA,"5 vs 11",0.69,"124 vs 110",1,"71 vs 87",1
"7736","SMAD6",0.9333,"NA","50 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"2 vs 1",1.09,"25 vs 27",1,"-",NA,"22 vs 26",0.7,"-",NA,"-",NA
"7737","CBS",0.9332,"6","8 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 5",0.82,"-",NA,"-",NA,"4 vs 1",1.14,"1 vs 3",1,"-",NA
"7738","PTH",0.9332,"NA","5 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"5 vs 4",1.03,"-",NA,"-",NA
"7739","PSORS1C1",0.933,"NA","867 vs 856","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 16",1,"-",NA,"1 vs 2",0.94,"27 vs 15",1.01,"825 vs 823",0.99
"7740","XKR9",0.9329,"NA","485 vs 514","-",NA,"-",NA,"-",NA,"-",NA,"36 vs 31",1.09,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 67",0.86,"375 vs 416",0.99,"-",NA
"7741","FFAR4",0.9329,"NA","346 vs 345","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 12",0.82,"6 vs 4",1,"-",NA,"19 vs 15",1.1,"32 vs 36",1,"275 vs 278",1
"7742","GINM1",0.9328,"NA","543 vs 533","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"27 vs 23",0.86,"24 vs 21",1,"490 vs 488",1
"7743","TACR2",0.9328,"NA","342 vs 307","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 5",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 9",0.6,"-",NA,"-",NA,"48 vs 37",1.71,"172 vs 162",0.99,"117 vs 94",1
"7744","SPATA25",0.9328,"NA","250 vs 228","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 25",0.91,"89 vs 90",1,"132 vs 113",1
"7745","ATP13A4",0.9328,"NA","480 vs 472","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"153 vs 137",0.97,"103 vs 106",0.99,"221 vs 226",1
"7746","TRMO",0.9326,"NA","54 vs 48","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 6",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 42",0.95,"-",NA,"-",NA
"7747","TAS2R42",0.9326,"NA","54 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"30 vs 26",0.94,"21 vs 10",1,"-",NA
"7748","FBXW7",0.9325,"NA","50 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"34 vs 29",1.03,"14 vs 11",1,"-",NA
"7749","FPR2",0.9325,"NA","136 vs 115","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 11",0.69,"77 vs 67",1,"-",NA,"49 vs 37",1.36,"-",NA,"-",NA
"7750","ZNF446",0.9324,"NA","421 vs 426","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",1.01,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"110 vs 109",0.93,"116 vs 134",0.99,"190 vs 179",1
"7751","EBF3",0.9323,NA,"32 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.42,"-",NA,"-",NA,"22 vs 25",0.54,"-",NA,"-",NA,"7 vs 4",1.23,"-",NA,"-",NA
"7752","ZNF784",0.9323,"NA","388 vs 389","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 32",0.76,"54 vs 43",1,"-",NA,"19 vs 12",1.24,"-",NA,"282 vs 302",1
"7753","ZNF639",0.9323,"NA","201 vs 204","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"41 vs 45",0.94,"11 vs 16",1,"149 vs 143",1
"7754","RHOXF2",0.9323,"NA","14 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1.1,"-",NA,"-",NA,"1 vs 3",0.85,"9 vs 7",1,"-",NA,"-",NA,"-",NA,"-",NA
"7755","SLC25A51",0.9322,"NA","43 vs 40","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"2 vs 1",1.21,"-",NA,"-",NA,"35 vs 33",0.78,"-",NA,"-",NA,"5 vs 6",0.95,"-",NA,"-",NA
"7756","ARMC10",0.9321,"NA","72 vs 112","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"3 vs 2",0.99,"19 vs 29",1,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"26 vs 26",0.98,"24 vs 54",1,"-",NA
"7757","SPAG11A",0.9321,"NA","3 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.93,"-",NA,"-",NA
"7758","MAPK8IP1",0.932,"NA","125 vs 116","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 13",1.44,"64 vs 57",1,"-",NA,"22 vs 29",0.65,"18 vs 17",1,"-",NA
"7759","STEAP2",0.932,"NA","393 vs 374","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 7",0.84,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 44",1.12,"55 vs 39",1,"277 vs 284",1
"7760","AKIRIN1",0.9318,"NA","15 vs 11","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 7",1.87,"-",NA,"-",NA,"1 vs 3",0.91,"-",NA,"-",NA
"7761","RALGPS2",0.9318,"NA","139 vs 137","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 20",1,"-",NA,"25 vs 23",0.93,"101 vs 94",1,"-",NA
"7762","S100A7L2",0.9318,"NA","454 vs 455","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 13",0.94,"41 vs 57",1,"400 vs 385",0.99
"7763","MPDU1",0.9318,"NA","76 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.94,"-",NA,"-",NA,"26 vs 22",1.04,"48 vs 38",1,"-",NA
"7764","SPCS3",0.9315,"NA","6 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"-",NA,"4 vs 3",0.95,"-",NA,"-",NA
"7765","RDH16",0.9314,"NA","131 vs 136","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"73 vs 76",0.97,"57 vs 58",1,"-",NA
"7766","RBMXL1",0.9313,"NA","242 vs 236","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 12",0.81,"82 vs 75",1,"-",NA,"35 vs 32",1.11,"112 vs 117",1,"-",NA
"7767","NES",0.9313,"NA","589 vs 659","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"6 vs 4",1.19,"-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"158 vs 167",0.84,"280 vs 348",0.99,"143 vs 137",1
"7768","AC024592.3",0.9312,"NA","3 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.88,"-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"-",NA
"7769","SSBP4",0.9311,"NA","96 vs 98","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 33",0.93,"62 vs 65",1,"-",NA
"7770","ASPRV1",0.931,"NA","111 vs 100","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"72 vs 74",0.9,"38 vs 26",1,"-",NA
