"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"7425","KIAA1324",0.9903,"NA","618 vs 626","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"617 vs 626",0.97
"7426","C7orf65",0.9903,"NA","1 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 4",0.99
"7427","DHTKD1",0.9902,"NA","398 vs 404","-",NA,"-",NA,"11 vs 8",1.08,"-",NA,"-",NA,"387 vs 396",0.92
"7428","TFPI",0.9902,"NA","282 vs 270","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",1.02,"276 vs 265",0.97
"7429","ITGB6",0.9902,"NA","278 vs 294","-",NA,"-",NA,"4 vs 4",1.03,"-",NA,"-",NA,"274 vs 290",0.97
"7430","STARD4",0.9902,"NA","22 vs 27","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"20 vs 26",0.97
"7431","EFTUD2",0.9902,"NA","35 vs 28","-",NA,"-",NA,"-",NA,"4 vs 4",0.81,"15 vs 10",1.23,"16 vs 14",1
"7432","BRIP1",0.9902,"NA","321 vs 290","-",NA,"-",NA,"5 vs 5",0.99,"-",NA,"-",NA,"316 vs 285",1.01
"7433","CCDC160",0.9901,"NA","15 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 13",0.99
"7434","GBA",0.9901,"NA","380 vs 371","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"64 vs 56",1.3,"316 vs 314",0.97
"7435","OR5B3",0.9901,"NA","381 vs 369","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"381 vs 369",0.99
"7436","SFTA3",0.99,"NA","400 vs 362","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"400 vs 362",0.99
"7437","DHRS9",0.99,"NA","215 vs 201","-",NA,"-",NA,"26 vs 20",0.95,"-",NA,"-",NA,"189 vs 181",1.04
"7438","IFNA6",0.99,"NA","143 vs 133","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"142 vs 132",1
"7439","PCDHB16",0.99,"NA","4 vs 7","-",NA,"-",NA,"4 vs 7",0.99,"-",NA,"-",NA,"-",NA
"7440","RAD51D",0.99,"NA","290 vs 291","-",NA,"-",NA,"5 vs 1",1.06,"-",NA,"-",NA,"285 vs 290",0.94
"7441","LYPLAL1",0.99,"NA","111 vs 109","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"110 vs 108",0.99
"7442","ZBTB7B",0.99,"NA","267 vs 247","-",NA,"-",NA,"-",NA,"1 vs 1",0.89,"234 vs 202",1.19,"32 vs 44",0.93
"7443","RNASE10",0.99,"NA","832 vs 912","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"832 vs 912",0.99
"7444","SPCS3",0.99,"NA","6 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.99,"4 vs 3",1
"7445","EMP1",0.99,"NA","824 vs 773","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"824 vs 773",0.99
"7446","HTN3",0.99,"NA","119 vs 156","-",NA,"-",NA,"4 vs 1",1.05,"-",NA,"-",NA,"115 vs 155",0.94
"7447","TXNDC17",0.9899,"NA","167 vs 135","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"167 vs 135",0.99
"7448","CLDND2",0.9899,"NA","181 vs 217","-",NA,"-",NA,"1 vs 3",0.94,"-",NA,"22 vs 36",1.1,"158 vs 178",0.96
"7449","OR52M1",0.9899,"3","40 vs 34","-",NA,"-",NA,"40 vs 34",0.99,"-",NA,"-",NA,"-",NA
"7450","GALNT9",0.9899,"NA","40 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 42",0.99
"7451","ZNF556",0.9899,"NA","619 vs 591","-",NA,"-",NA,"56 vs 61",0.99,"-",NA,"-",NA,"563 vs 530",1
"7452","SPAM1",0.9899,"NA","692 vs 633","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"689 vs 630",0.99
"7453","SMAD9",0.9898,"NA","105 vs 110","-",NA,"-",NA,"2 vs 2",1.01,"-",NA,"-",NA,"103 vs 108",0.98
"7454","HRASLS5",0.9898,"NA","180 vs 178","-",NA,"-",NA,"4 vs 3",0.99,"-",NA,"-",NA,"176 vs 175",1
"7455","HRAS",0.9898,"4","8 vs 8","-",NA,"-",NA,"1 vs 2",0.98,"1 vs 1",0.89,"4 vs 4",1.14,"2 vs 1",1.01
"7456","MTMR10",0.9898,"NA","207 vs 205","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"206 vs 205",0.97
"7457","WFDC12",0.9898,"NA","21 vs 23","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"21 vs 22",1.01
"7458","OR7G2",0.9898,"NA","144 vs 143","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"144 vs 142",1.01
"7459","OR13G1",0.9897,"NA","854 vs 777","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"854 vs 777",0.99
"7460","KDELR2",0.9897,"NA","17 vs 17","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"2 vs 2",1.02,"15 vs 13",1.01
"7461","OR7D4",0.9897,"NA","175 vs 178","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"173 vs 178",0.95
"7462","SPANXN4",0.9896,"NA","35 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 43",0.99
"7463","NRBF2",0.9896,"NA","56 vs 48","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"56 vs 48",0.99
"7464","PIK3C2A",0.9896,"NA","387 vs 370","-",NA,"-",NA,"4 vs 1",1.06,"-",NA,"-",NA,"383 vs 369",0.93
"7465","ULBP1",0.9896,"NA","129 vs 117","-",NA,"-",NA,"2 vs 3",0.96,"-",NA,"-",NA,"127 vs 114",1.03
"7466","KLK4",0.9895,"NA","124 vs 114","-",NA,"-",NA,"0 vs 0",1,"-",NA,"77 vs 59",1,"47 vs 55",0.99
"7467","GTF2IRD1",0.9895,"NA","155 vs 149","-",NA,"-",NA,"-",NA,"-",NA,"24 vs 20",1.01,"131 vs 129",0.98
"7468","CACNG1",0.9895,"NA","67 vs 61","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"9 vs 11",0.93,"55 vs 50",0.99
"7469","ZNF713",0.9895,"4","27 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 23",0.99
"7470","C11orf74",0.9895,"NA","274 vs 272","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"273 vs 271",0.99
"7471","AC116655.1",0.9895,"NA","32 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"32 vs 28",0.99
"7472","KRTAP5-6",0.9895,"NA","22 vs 14","-",NA,"-",NA,"4 vs 4",0.95,"-",NA,"-",NA,"18 vs 10",1.04
"7473","ZSWIM8",0.9894,"NA","119 vs 119","-",NA,"-",NA,"-",NA,"18 vs 13",1.16,"52 vs 59",0.88,"49 vs 47",0.96
"7474","RAET1G",0.9894,"NA","671 vs 760","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"2 vs 0",1.13,"668 vs 758",0.89
"7475","TPRX2P",0.9894,"NA","6 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 9",0.99
"7476","CASTOR1",0.9894,"NA","38 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"11 vs 9",0.99,"27 vs 22",1
"7477","CMTM7",0.9894,"NA","10 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.99,"7 vs 9",1
"7478","IQCF3",0.9894,"NA","95 vs 113","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"95 vs 113",0.99
"7479","AAGAB",0.9893,"NA","144 vs 151","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"144 vs 150",1.01
"7480","OIP5",0.9893,"NA","145 vs 153","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"144 vs 153",0.97
"7481","CST1",0.9893,"NA","260 vs 244","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"258 vs 244",0.95
"7482","CCDC71",0.9893,"NA","70 vs 66","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"68 vs 65",0.98
"7483","FAM8A1",0.9892,"NA","16 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.99,"14 vs 16",0.99
"7484","PRPS2",0.9892,"NA","4 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.99,"-",NA
"7485","FGFBP1",0.9892,"NA","120 vs 115","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"120 vs 115",0.99
"7486","BORCS8-MEF2B",0.9892,"NA","0 vs 2","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.99
"7487","CPLANE1",0.9892,"NA","1391 vs 1389","-",NA,"-",NA,"14 vs 18",0.92,"-",NA,"-",NA,"1377 vs 1371",1.08
"7488","PADI2",0.9891,"NA","374 vs 345","-",NA,"-",NA,"30 vs 37",1.07,"-",NA,"-",NA,"344 vs 308",0.93
"7489","HMGN2",0.9891,"NA","1 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 3",0.99
"7490","CCL13",0.9891,"NA","66 vs 76","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"65 vs 76",0.97
"7491","VBP1",0.9891,"NA","2 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 4",0.99
"7492","CASP6",0.9891,"NA","54 vs 51","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"53 vs 51",0.97
"7493","DCUN1D1",0.9891,"5","10 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.97,"9 vs 6",1.02
"7494","SPHAR",0.9891,"NA","4 vs 9","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 9",0.99
"7495","TAT",0.9891,"NA","43 vs 42","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"1 vs 2",0.95,"41 vs 40",1.02
"7496","COASY",0.9891,"NA","97 vs 95","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"4 vs 3",1.02,"91 vs 92",0.93
"7497","SPINK6",0.9891,"NA","10 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 11",0.99
"7498","OR6C3",0.9891,"NA","164 vs 154","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"162 vs 153",0.97
"7499","DYTN",0.989,"NA","981 vs 1005","-",NA,"-",NA,"13 vs 9",1.02,"-",NA,"-",NA,"968 vs 996",0.97
"7500","COX7C",0.989,"NA","4 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"3 vs 4",0.99
"7501","MORN4",0.989,"NA","12 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 17",0.99
"7502","TGIF2-RAB5IF",0.989,"NA","2 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.99
"7503","AL358113.1",0.989,"NA","6 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 8",0.99
"7504","CALB1",0.989,"NA","14 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",1.02,"11 vs 16",0.97
"7505","GCKR",0.989,"NA","352 vs 336","-",NA,"-",NA,"38 vs 35",1,"-",NA,"-",NA,"314 vs 301",0.99
"7506","PRR15",0.989,"NA","14 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 5",0.95,"9 vs 5",1.04
"7507","YIPF5",0.9889,"NA","461 vs 419","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"461 vs 419",0.99
"7508","CBY1",0.9889,"NA","37 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 36",0.99
"7509","CHN2",0.9889,"NA","55 vs 63","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"9 vs 9",0.95,"45 vs 54",1.02
"7510","HTR6",0.9888,"NA","72 vs 66","-",NA,"-",NA,"-",NA,"2 vs 1",1.08,"17 vs 13",0.95,"53 vs 52",0.96
"7511","GPATCH2L",0.9888,"NA","70 vs 65","-",NA,"4 vs 2",0.88,"-",NA,"-",NA,"6 vs 2",1.16,"60 vs 61",0.97
"7512","LYPD5",0.9888,"NA","22 vs 29","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"20 vs 28",0.97
"7513","EPGN",0.9888,"NA","9 vs 10","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 10",0.99
"7514","GXYLT2",0.9888,"NA","160 vs 162","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"159 vs 162",0.97
"7515","AC005697.1",0.9888,"NA","10 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 16",0.99
"7516","AP1AR",0.9888,"NA","137 vs 143","-",NA,"3 vs 2",0.93,"-",NA,"-",NA,"8 vs 9",1.12,"126 vs 132",0.95
"7517","CFAP300",0.9887,"NA","37 vs 32","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"36 vs 31",0.99
"7518","RANGRF",0.9887,"NA","31 vs 26","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"30 vs 25",0.99
"7519","COQ2",0.9887,"NA","303 vs 320","-",NA,"-",NA,"209 vs 209",1.08,"-",NA,"-",NA,"94 vs 111",0.91
"7520","PCTP",0.9887,"NA","118 vs 152","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"-",NA,"118 vs 150",1.03
"7521","CMPK1",0.9887,"NA","729 vs 780","-",NA,"-",NA,"-",NA,"-",NA,"643 vs 698",0.98,"86 vs 82",1
"7522","ATP2A3",0.9887,"NA","673 vs 667","-",NA,"-",NA,"0 vs 2",0.96,"3 vs 0",1.79,"98 vs 101",0.69,"572 vs 564",0.84
"7523","PCDHB7",0.9886,"NA","1194 vs 1188","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"1191 vs 1188",0.92
"7524","TNFRSF10A",0.9886,"NA","150 vs 150","-",NA,"-",NA,"7 vs 5",0.98,"-",NA,"-",NA,"143 vs 145",1.01
"7525","UBAC1",0.9886,"NA","207 vs 183","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.06,"203 vs 181",0.93
"7526","AQP8",0.9886,"NA","710 vs 749","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"1 vs 0",1.05,"709 vs 748",0.96
"7527","GBP6",0.9886,"NA","389 vs 337","-",NA,"-",NA,"4 vs 2",1.04,"-",NA,"-",NA,"385 vs 335",0.95
"7528","TACC1",0.9886,"NA","764 vs 749","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"762 vs 749",0.95
"7529","CRYGA",0.9886,"NA","207 vs 172","-",NA,"-",NA,"28 vs 27",0.95,"-",NA,"-",NA,"179 vs 145",1.04
"7530","ALG12",0.9886,"NA","221 vs 204","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"-",NA,"219 vs 204",0.94
"7531","RRP15",0.9886,"NA","651 vs 668","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"650 vs 668",0.97
"7532","PGBD2",0.9886,"NA","73 vs 72","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"72 vs 72",0.97
"7533","MCCC2",0.9886,"NA","148 vs 126","-",NA,"-",NA,"3 vs 3",0.97,"-",NA,"-",NA,"145 vs 123",1.01
"7534","CDA",0.9885,"NA","15 vs 19","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 19",0.99
"7535","P2RY12",0.9885,"NA","70 vs 70","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"6 vs 7",0.97,"62 vs 63",0.98
"7536","MLST8",0.9885,"NA","51 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 9",1.02,"39 vs 45",0.97
"7537","CRIP2",0.9885,"NA","22 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"21 vs 44",0.94
"7538","IL2RA",0.9885,"NA","84 vs 97","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"84 vs 97",0.99
"7539","OR6C1",0.9884,"NA","226 vs 235","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"226 vs 234",1.01
"7540","ITGA7",0.9884,"NA","772 vs 800","-",NA,"-",NA,"4 vs 7",0.93,"-",NA,"-",NA,"768 vs 793",1.06
"7541","TM4SF5",0.9884,"NA","59 vs 54","-",NA,"-",NA,"3 vs 4",0.95,"-",NA,"6 vs 4",1.04,"50 vs 46",0.99
"7542","OR5A2",0.9884,"NA","56 vs 53","-",NA,"-",NA,"5 vs 3",0.98,"-",NA,"-",NA,"51 vs 50",1.01
"7543","PLEK2",0.9884,"NA","427 vs 392","-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"2 vs 2",0.99,"423 vs 388",1.02
"7544","C1QTNF12",0.9884,"NA","125 vs 122","-",NA,"-",NA,"7 vs 6",0.95,"-",NA,"-",NA,"118 vs 116",1.04
"7545","SEMA3E",0.9884,"NA","189 vs 172","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"189 vs 172",0.99
"7546","COQ10B",0.9884,"NA","37 vs 41","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"6 vs 5",1,"30 vs 36",0.97
"7547","CD300LD",0.9883,"NA","45 vs 49","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"45 vs 49",0.99
"7548","KIF18A",0.9883,"NA","483 vs 505","-",NA,"-",NA,"4 vs 2",1.04,"-",NA,"-",NA,"479 vs 503",0.95
"7549","KHDC1L",0.9883,"NA","39 vs 33","-",NA,"-",NA,"2 vs 3",0.99,"-",NA,"-",NA,"37 vs 30",1
"7550","BCL7B",0.9883,"NA","7 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 3",1.01,"2 vs 5",0.98
"7551","SFPQ",0.9883,"NA","32 vs 23","-",NA,"-",NA,"-",NA,"2 vs 3",0.71,"16 vs 11",1.32,"14 vs 9",1.04
"7552","RBAK-RBAKDN",0.9883,"NA","27 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 28",0.99
"7553","ENPP4",0.9883,"NA","119 vs 114","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"119 vs 114",0.99
"7554","PDCL2",0.9883,"NA","24 vs 24","-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"-",NA,"22 vs 22",1.01
"7555","NCK2",0.9883,"NA","36 vs 31","-",NA,"-",NA,"-",NA,"1 vs 2",0.75,"15 vs 11",1.35,"20 vs 18",0.98
"7556","PAGE2",0.9882,"NA","52 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"52 vs 52",0.99
"7557","LRRC71",0.9882,"NA","298 vs 264","-",NA,"-",NA,"19 vs 33",0.95,"-",NA,"-",NA,"279 vs 231",1.04
"7558","BLOC1S6",0.9882,"NA","12 vs 11","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"6 vs 5",0.96,"4 vs 6",0.99
"7559","C6orf48",0.9882,"NA","23 vs 21","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"22 vs 20",1
"7560","SRMS",0.9882,"NA","920 vs 926","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"918 vs 926",0.95
"7561","LRIF1",0.9882,"NA","170 vs 157","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"169 vs 156",0.99
"7562","BPIFA1",0.9882,"NA","27 vs 25","-",NA,"-",NA,"3 vs 2",0.99,"-",NA,"-",NA,"24 vs 23",1
"7563","TNFSF15",0.9882,"NA","80 vs 97","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"79 vs 97",0.97
"7564","ANKRD6",0.9881,"NA","529 vs 585","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"526 vs 585",0.93
"7565","RNF219",0.9881,"NA","95 vs 98","-",NA,"-",NA,"6 vs 1",1.08,"-",NA,"-",NA,"89 vs 97",0.91
"7566","C10orf113",0.988,"NA","177 vs 155","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"177 vs 155",0.99
"7567","TVP23C-CDRT4",0.988,"NA","14 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 11",0.99
"7568","RNASE4",0.988,"NA","93 vs 104","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"90 vs 104",0.92
"7569","GLB1L2",0.988,"NA","703 vs 778","-",NA,"-",NA,"11 vs 10",1.05,"-",NA,"-",NA,"692 vs 768",0.94
"7570","PPM1M",0.9879,"NA","233 vs 211","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"2 vs 1",1.01,"230 vs 210",0.96
"7571","GPM6A",0.9879,"NA","8 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",0.97,"4 vs 2",1.02
"7572","SEMA6B",0.9879,"NA","120 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"73 vs 60",0.92,"47 vs 35",1.07
"7573","SOX7",0.9879,"NA","106 vs 120","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"106 vs 120",0.99
"7574","NPPA",0.9879,"NA","76 vs 73","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"76 vs 73",0.99
"7575","IQCF1",0.9878,"NA","726 vs 736","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"725 vs 736",0.97
"7576","LSMEM1",0.9878,"NA","28 vs 27","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"-",NA,"26 vs 26",0.98
"7577","CALHM4",0.9878,"NA","35 vs 35","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"35 vs 34",1.01
"7578","MC5R",0.9878,"NA","144 vs 163","-",NA,"-",NA,"2 vs 2",1,"-",NA,"3 vs 3",0.97,"139 vs 158",1.03
"7579","POLM",0.9877,"NA","156 vs 169","-",NA,"-",NA,"4 vs 4",1.01,"-",NA,"-",NA,"152 vs 165",0.98
"7580","SLC25A30",0.9877,"NA","105 vs 108","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"16 vs 19",0.89,"86 vs 89",1.03
"7581","COA6",0.9877,"NA","3 vs 2","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"0 vs 1",0.95,"1 vs 1",1
"7582","S100A10",0.9877,"NA","49 vs 43","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"49 vs 43",0.99
"7583","PMAIP1",0.9877,"NA","5 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 6",0.99
"7584","CCDC85A",0.9876,"NA","54 vs 53","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"52 vs 52",0.97
"7585","HSDL1",0.9876,"NA","39 vs 34","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"-",NA,"39 vs 32",1.03
"7586","TYW3",0.9876,"NA","132 vs 114","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"132 vs 114",0.99
"7587","PMF1-BGLAP",0.9876,"NA","2 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 4",0.99
"7588","NOL12",0.9876,"NA","78 vs 78","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"78 vs 77",1.01
"7589","DMAC1",0.9876,"NA","29 vs 26","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"29 vs 26",0.99
"7590","SHMT1",0.9876,"NA","143 vs 121","-",NA,"-",NA,"4 vs 3",1,"-",NA,"-",NA,"139 vs 118",0.98
"7591","CFD",0.9876,"NA","57 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.92,"56 vs 50",1.07
"7592","RAB20",0.9876,"NA","133 vs 129","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 13",1.02,"124 vs 116",0.97
"7593","KRTAP20-1",0.9875,"NA","636 vs 645","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"636 vs 645",0.99
"7594","RAB3A",0.9875,"NA","7 vs 9","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"3 vs 6",0.81,"3 vs 3",1
"7595","SKA2",0.9875,"NA","6 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 8",0.99
"7596","EPDR1",0.9875,"NA","119 vs 94","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"118 vs 93",0.99
"7597","RNU7-104P",0.9875,"NA","47 vs 45","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 45",0.99
"7598","TIMM10B",0.9874,"NA","25 vs 32","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"24 vs 32",0.97
"7599","RAVER2",0.9874,"NA","118 vs 97","-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"117 vs 95",1.02
"7600","DNAI2",0.9874,"NA","184 vs 175","-",NA,"-",NA,"11 vs 5",1.04,"-",NA,"-",NA,"173 vs 170",0.95
"7601","ARL14EP",0.9874,"NA","14 vs 17","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"13 vs 16",0.99
"7602","ZNF586",0.9873,"NA","233 vs 218","-",NA,"-",NA,"9 vs 11",0.98,"-",NA,"-",NA,"224 vs 207",1.01
"7603","C6orf15",0.9873,"NA","353 vs 399","-",NA,"-",NA,"1 vs 1",1,"-",NA,"3 vs 4",0.92,"349 vs 394",1.08
"7604","RPAIN",0.9873,"NA","72 vs 81","-",NA,"-",NA,"4 vs 2",1.02,"-",NA,"-",NA,"68 vs 79",0.97
"7605","SPINK7",0.9872,"NA","33 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"33 vs 34",0.99
"7606","CGREF1",0.9872,"NA","392 vs 351","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"391 vs 351",0.97
"7607","AC026464.6",0.9872,"NA","12 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 13",0.99
"7608","ASCL4",0.9872,"NA","64 vs 54","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"47 vs 38",0.98,"16 vs 16",0.98
"7609","LAS1L",0.9872,"NA","17 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.95,"17 vs 13",1.04
"7610","WISP2",0.9872,"NA","258 vs 244","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"257 vs 243",0.99
"7611","CANX",0.9872,"NA","76 vs 77","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 8",1.04,"67 vs 69",0.95
"7612","APEX1",0.9872,"NA","499 vs 535","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"497 vs 534",0.95
"7613","S100A8",0.9872,"NA","3 vs 3","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"3 vs 2",1.01
"7614","ATP5MD",0.9872,"NA","7 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",0.99
"7615","DNAJC11",0.9872,"NA","268 vs 227","-",NA,"-",NA,"-",NA,"-",NA,"42 vs 32",0.93,"226 vs 195",1.06
"7616","CCDC13",0.9872,"NA","364 vs 388","-",NA,"-",NA,"4 vs 4",1,"-",NA,"-",NA,"360 vs 384",0.99
