"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"3641","LYPD1",1.1012,"NA","19 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.1,"16 vs 14",1
"3642","UTP6",1.1012,"NA","253 vs 208","-",NA,"-",NA,"3 vs 1",1.03,"-",NA,"-",NA,"250 vs 207",1.07
"3643","ALKBH6",1.1012,"NA","51 vs 62","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.16,"48 vs 62",0.95
"3644","LAT",1.1011,"5","98 vs 65","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"27 vs 23",0.95,"69 vs 42",1.09
"3645","ARHGAP9",1.101,"NA","265 vs 255","-",NA,"-",NA,"4 vs 4",1,"1 vs 0",1.21,"55 vs 69",0.79,"205 vs 182",1.15
"3646","GTF3C5",1.1009,"NA","148 vs 120","-",NA,"-",NA,"2 vs 1",1.01,"-",NA,"29 vs 22",1.06,"117 vs 97",1.03
"3647","PFDN2",1.1009,"NA","16 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.12,"12 vs 15",0.98
"3648","RCN2",1.1008,"NA","30 vs 19","-",NA,"-",NA,"9 vs 5",0.98,"-",NA,"14 vs 9",1.11,"7 vs 5",1.01
"3649","SH3BGRL",1.1008,"NA","4 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.11,"2 vs 3",0.99
"3650","SLC22A14",1.1008,"NA","314 vs 304","-",NA,"-",NA,"5 vs 4",0.99,"-",NA,"-",NA,"309 vs 300",1.11
"3651","IL12A",1.1006,"NA","71 vs 93","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.1,"68 vs 92",1
"3652","TUBA3E",1.1006,"NA","4 vs 0","-",NA,"-",NA,"4 vs 0",1.1,"-",NA,"-",NA,"-",NA
"3653","ZFP82",1.1005,"NA","24 vs 23","-",NA,"-",NA,"1 vs 3",0.96,"-",NA,"15 vs 11",1.16,"8 vs 9",0.99
"3654","SLC23A2",1.1005,"NA","41 vs 32","-",NA,"-",NA,"-",NA,"4 vs 3",0.95,"13 vs 12",1.15,"24 vs 17",1
"3655","IL20RA",1.1004,"NA","186 vs 185","-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"6 vs 3",1.12,"178 vs 180",1
"3656","ANP32D",1.1004,"NA","61 vs 41","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"59 vs 40",1.11
"3657","PKHD1L1",1.1003,"NA","4270 vs 4332","-",NA,"-",NA,"218 vs 186",0.96,"-",NA,"-",NA,"4052 vs 4146",1.15
"3658","ZNF414",1.1002,"NA","28 vs 21","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"27 vs 21",1.05
"3659","NGLY1",1.1002,"NA","74 vs 68","-",NA,"-",NA,"6 vs 1",1.1,"-",NA,"-",NA,"68 vs 67",1
"3660","ACY3",1.1001,"NA","151 vs 115","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"148 vs 115",1.03
"3661","RIOX2",1.1001,"NA","605 vs 541","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"-",NA,"605 vs 539",1.15
"3662","DENND6A",1.1,"NA","88 vs 86","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"71 vs 62",0.71,"16 vs 24",0.98
"3663","RAD52",1.1,"NA","606 vs 607","-",NA,"-",NA,"512 vs 527",1.05,"-",NA,"-",NA,"94 vs 80",1.05
"3664","DRGX",1.0999,"NA","98 vs 81","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"97 vs 81",1.08
"3665","SEMA5B",1.0999,"NA","462 vs 472","-",NA,"-",NA,"3 vs 1",1.04,"0 vs 2",0.62,"178 vs 157",1.68,"281 vs 312",1.02
"3666","ZNF302",1.0998,"NA","879 vs 883","-",NA,"-",NA,"6 vs 2",1.14,"-",NA,"-",NA,"873 vs 881",0.97
"3667","DMRTA1",1.0998,"NA","282 vs 281","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"280 vs 281",1.06
"3668","TFCP2L1",1.0997,"NA","150 vs 143","-",NA,"-",NA,"-",NA,"-",NA,"82 vs 72",1.15,"68 vs 71",0.95
"3669","RGS17",1.0997,"NA","18 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.11,"16 vs 14",0.99
"3670","PCDHB12",1.0996,"NA","601 vs 618","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"2 vs 0",1.13,"598 vs 616",0.99
"3671","OSCAR",1.0996,"NA","98 vs 118","-",NA,"-",NA,"-",NA,"-",NA,"17 vs 10",1.1,"81 vs 108",1
"3672","KIFC3",1.0995,"NA","87 vs 73","-",NA,"-",NA,"1 vs 1",1,"-",NA,"32 vs 24",1.14,"54 vs 48",0.97
"3673","UBE3B",1.0994,"5","469 vs 469","-",NA,"-",NA,"1 vs 4",0.95,"-",NA,"13 vs 8",1.16,"455 vs 457",1
"3674","CEP41",1.0994,"2","106 vs 98","-",NA,"-",NA,"4 vs 0",1.1,"-",NA,"-",NA,"102 vs 98",1
"3675","GUCY1A2",1.0994,"4","33 vs 31","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"14 vs 7",1.15,"19 vs 23",0.98
"3676","TM7SF3",1.0994,"NA","147 vs 119","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"-",NA,"146 vs 117",1.12
"3677","LIG4",1.0993,"NA","210 vs 193","-",NA,"-",NA,"4 vs 3",1.02,"-",NA,"-",NA,"206 vs 190",1.08
"3678","SLC25A26",1.0992,"NA","30 vs 22","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"27 vs 22",1.02
"3679","PDZD11",1.0991,"NA","3 vs 3","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"2 vs 3",0.9,"-",NA
"3680","CISH",1.0991,"NA","106 vs 84","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"9 vs 9",1.1,"97 vs 74",1.02
"3681","HMMR",1.099,"NA","960 vs 980","-",NA,"-",NA,"20 vs 24",0.99,"-",NA,"-",NA,"940 vs 956",1.11
"3682","BUB3",1.099,"NA","20 vs 16","-",NA,"-",NA,"-",NA,"3 vs 1",1.31,"3 vs 6",0.82,"14 vs 9",1.02
"3683","CT55",1.0989,"NA","16 vs 7","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"16 vs 7",1.1
"3684","ANKRD35",1.0989,"NA","30 vs 31","-",NA,"-",NA,"30 vs 31",1.1,"-",NA,"-",NA,"-",NA
"3685","ENTPD3",1.0989,"NA","276 vs 277","-",NA,"-",NA,"11 vs 5",1.12,"-",NA,"-",NA,"265 vs 272",0.98
"3686","FNDC11",1.0989,"NA","100 vs 94","-",NA,"-",NA,"2 vs 3",0.96,"-",NA,"4 vs 2",1.02,"94 vs 89",1.12
"3687","RGS10",1.0988,"NA","18 vs 16","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"11 vs 10",0.91,"6 vs 6",0.99
"3688","LOXL4",1.0988,"NA","272 vs 266","-",NA,"-",NA,"5 vs 0",1.18,"-",NA,"-",NA,"267 vs 266",0.93
"3689","TMEM255B",1.0987,"NA","532 vs 537","-",NA,"-",NA,"4 vs 6",0.97,"-",NA,"-",NA,"528 vs 531",1.13
"3690","ARHGAP27",1.0987,"NA","133 vs 110","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"61 vs 58",0.93,"72 vs 51",1.21
"3691","FCHO2",1.0986,"NA","99 vs 87","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"98 vs 87",1.04
"3692","PHF1",1.0985,"NA","102 vs 103","-",NA,"-",NA,"-",NA,"3 vs 2",1.11,"68 vs 72",1.02,"31 vs 29",0.98
