"","Gene","BF"
"78","WNT8B",0.879974461854517
"79","PITX3",1
"80","FBXL15",0.937574777835812
"81","TRIM8",0.830967362628008
"82","INA",0.641780883576842
"83","CELF2",1.17350436884814
"84","SMC3",0.782423145410187
"85","TCF7L2",0.963999002027365
"86","PDZD8",1
"87","PRLHR",1
"88","EIF3A",1
"89","EBF3",1.18717524028779
"90","ZMYND11",0.991232447295914
"91","DIP2C",1.0167435856705
"92","ANXA8L1",0.90574480066827
"93","TUBB8",0.574205799940334
"94","ASAH2",0.167615632833073
"95","EGR2",0.889932094700739
"96","HK1",0.62676621650519
"97","PPP3CB",1.06066392190088
"98","ZNF503",1
"99","KCNMA1",1.20768351062792
"100","ZMIZ1",4.17386271001725
"101","GATA3",1
"102","GLUD1",1.0658502465777
"103","ACTA2",0.973927277867393
"104","PANK1",1.09438381160407
"105","BTAF1",0.813180974777338
"106","TM9SF3",0.897803635391959
"107","SLIT1",1.65225012024088
"108","CTR9",0.901714641064195
"109","CUL5",0.685922801003614
"110","ZBTB16",0.945855390877351
"111","DSCAML1",1.09438381160407
"112","BCL9L",1
"113","ABCG4",0.90574480066827
"114","STT3A",0.893448065292995
"115","PRDM10",1.30678587817431
"116","ADAMTS15",1.06258625410254
"117","IGSF9B",1.09338124647032
"118","B3GAT1",0.992352881526787
"119","BRSK2",0.925430341577901
"120","MYOD1",1
"121","KCNC1",0.857904836388237
"122","PAX6",1.40671965741662
"123","CSTF3",1.32164320366501
"124","CAPRIN1",2.76195344466296
"125","B4GALNT4",1
"126","CHST1",1.48283514386544
"127","DGKZ",0.862957190928181
"128","LRP4",1.09438381160407
"129","RTN4RL2",0.689208054801068
"130","DDB1",2.20489656644653
"131","DAGLA",0.870630049312055
"132","EML3",0.867290044607058
"133","MARK2",1.43370367073136
"134","PLCB3",0.774366159510209
"135","RPS6KA4",1.02934843833282
"136","TRIM3",2.22894669853699
"137","NRXN2",1.29650637313192
"138","SF1",0.770758583815625
"139","MEN1",0.648783779054961
"140","LTBP3",1.65225012024088
"141","PACS1",1.60856287306131
"142","RBM14",1.05302235657439
"143","SPTBN2",1.22065001649637
"144","PC",0.973927277867393
"145","KDM2A",0.982541764572246
"146","PPP1CA",1.29922536450813
"147","PITPNM1",0.673012915667462
"148","PDE2A",1.61210425350692
"149","CREBZF",0.819193021476715
"150","GRM5",0.94820445899536
"151","IPO7",1
"152","FUT4",1.19994595616896
"153","HCFC2",0.715305019568056
"154","ATP2A2",1.57273644599133
"155","CUX2",1.09438381160407
"156","MED13L",0.965388319128744
"157","NOS1",1.08932891543772
"158","KSR2",0.708335878894353
"159","CIT",1.62348661449019
"160","KDM2B",1.93920929358472
"161","PITPNM2",2.269240177525
"162","UBC",0.87439545067674
"163","EP400",1.18069988958376
"164","ZNF605",1
"165","GRIN2B",0.518702057890765
"166","FBXL14",1.56981437320319
"167","CACNA1C",1.67491414613912
"168","ITPR2",1.2099479031435
"169","KCNA6",1.08629562607711
"170","DDX23",0.810277922677225
"171","WNT1",1
"172","DDN",1
"173","DHH",0.54367730105154
"174","KCNA1",0.973927277867393
"175","TUBA1B",1.09438381160407
"176","KCNH3",0.636614448503892
"177","FMNL3",1
"178","ASIC1",0.991232447295914
"179","SLC4A8",1.48283514386544
"180","SCN8A",0.700842719885515
"181","ACVR1B",0.99262231192577
"182","ESPL1",0.854107830014467
"183","MAP3K12",1.3171269484685
"184","GDF11",0.90574480066827
"185","SMARCC2",1.19767592710106
"186","ANKRD52",1
"187","LRP1",1.28539881758187
"188","KIF5A",1.08478874385734
"189","AGAP2",1.12578574782294
"190","CHD4",1.33187842109676
"191","CAND1",0.90574480066827
"192","CPSF6",1.09438381160407
"193","WNK1",0.918547514929974
"194","PPFIA2",0.982541764572246
"195","ATP2B1",0.679908936694881
"196","PLXNC1",1.4723336959428
"197","NALCN",0.685723246540834
"198","ARGLU1",0.772123487045614
"199","ARHGEF7",1.09438381160407
"200","PSPC1",0.806051367723017
"201","XPO4",1.3107171461673
"202","CDK8",1.13131589695109
"203","FRY",1.16008695294188
"204","PDS5B",1.8081957843125
"205","NBEA",0.982541764572246
"206","DCLK1",0.748455703215934
"207","KBTBD6",0.720492982604302
"208","PCDH17",1
"209","MYCBP2",0.997978097290749
"210","IPO5",1
"211","YY1",1
"212","DYNC1H1",3.14964286237241
"213","AKT1",0.92311900144248
"214","MTA1",1.61789944405729
"215","ZNF219",0.680181747572453
"216","SUPT16H",0.604241320352666
"217","CHD8",0.625782114614818
"218","METTL3",0.775954833652079
"219","MYH7",1.85325334107229
"220","NYNRIN",1
"221","HECTD1",1
"222","BAZ1A",0.897803635391959
"223","RALGAPA1",0.868854164801067
"224","SSTR1",0.897803635391959
"225","TRIM9",0.864281233739176
"226","TMEM30B",1
"227","KCNH5",1
"228","GPHN",0.799501331036228
"229","ZFP36L1",1.40125988287042
"230","ACTN1",0.991232447295914
