"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"15866","PDE7A",0.6189,0.6171,"NA","767 vs 760","-",NA,"-",NA,"-",NA,"-",NA,"11 vs 18",0.62,"756 vs 742",1
"15638","ACACB",0.6573,0.6168,"NA","3038 vs 2820","-",NA,"-",NA,"7 vs 7",0.98,"-",NA,"12 vs 20",0.62,"3019 vs 2793",1.08
"15692","PSMD11",0.65,0.6168,"NA","18 vs 14","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"10 vs 7",1.04,"8 vs 5",1.02
"15697","DCAF7",0.649,0.6168,"NA","1 vs 2","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"1 vs 0",1.05,"-",NA
"15698","PRPS1",0.649,0.6168,"NA","1 vs 2","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"1 vs 0",1.05,"-",NA
"15707","ZMAT2",0.6472,0.6168,"NA","2 vs 3","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"2 vs 1",1.05,"-",NA
"15799","SMU1",0.6298,0.6168,"NA","3 vs 4","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"3 vs 2",1.02,"-",NA
"15834","GRAMD1B",0.6238,0.6168,"NA","126 vs 118","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"15 vs 13",1.04,"111 vs 103",0.97
"15877","PGRMC2",0.6168,0.6168,"NA","32 vs 54","-",NA,"-",NA,"-",NA,"-",NA,"18 vs 34",0.63,"14 vs 20",0.97
"15880","PPARD",0.6165,0.6168,"NA","18 vs 19","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"5 vs 5",0.99,"13 vs 12",1.01
"15888","HIST2H2AC",0.6152,0.6168,"NA","1 vs 3","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"1 vs 1",1,"-",NA
"15910","HTR2A",0.6108,0.6168,"5","398 vs 384","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"47 vs 32",0.99,"351 vs 350",1
"15982","RACK1",0.6003,0.6168,"NA","1 vs 3","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"1 vs 1",0.97,"-",NA
