"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"4997","RGMB",1.0419,1,"NA","79 vs 73","-",NA,"-",NA,"6 vs 3",0.99,"-",NA,"3 vs 2",1.04,"70 vs 68",1.02
"4998","HPS5",1.0418,1,"NA","944 vs 934","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"944 vs 934",1.04
"5000","GSTA4",1.0418,1,"NA","56 vs 42","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"54 vs 42",1
"5003","C1orf210",1.0418,1,"NA","239 vs 199","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"237 vs 198",1.02
"5007","SELPLG",1.0417,1,"NA","432 vs 417","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"432 vs 417",1.04
"5008","PDIA5",1.0416,1,"NA","85 vs 82","-",NA,"-",NA,"5 vs 3",1.08,"-",NA,"-",NA,"80 vs 79",0.97
"5009","HBM",1.0415,1,"NA","45 vs 26","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 8",1.01,"32 vs 18",1.03
"5010","PPCDC",1.0414,1,"NA","37 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 29",1.04
"5011","SQOR",1.0414,1,"NA","173 vs 146","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"170 vs 145",0.99
"5012","MOV10",1.0413,1,"NA","143 vs 133","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 6",1.09,"135 vs 127",0.96
"5017","TUBGCP5",1.0411,1,"4","4 vs 2","-",NA,"-",NA,"4 vs 2",1.04,"-",NA,"-",NA,"-",NA
"5018","HYLS1",1.0411,1,"NA","69 vs 59","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"66 vs 58",1
"5019","ECH1",1.0411,1,"NA","144 vs 138","-",NA,"-",NA,"8 vs 3",1.06,"-",NA,"-",NA,"136 vs 135",0.98
"5023","MRPL21",1.041,1,"NA","88 vs 80","-",NA,"-",NA,"3 vs 2",1.03,"-",NA,"-",NA,"85 vs 78",1.01
"5025","TOX",1.041,1,"NA","441 vs 432","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 3",1.06,"436 vs 429",0.98
"5026","EOGT",1.0409,1,"NA","116 vs 109","-",NA,"-",NA,"25 vs 20",1.01,"-",NA,"-",NA,"91 vs 89",1.03
"5028","CST11",1.0409,1,"NA","42 vs 30","-",NA,"-",NA,"7 vs 4",1,"-",NA,"-",NA,"35 vs 26",1.04
"5029","DPH7",1.0408,1,"NA","299 vs 279","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"296 vs 279",0.98
"5032","SLC24A1",1.0408,1,"NA","281 vs 262","-",NA,"-",NA,"3 vs 3",0.98,"-",NA,"1 vs 0",1.05,"277 vs 259",1.01
"5034","NKAIN4",1.0408,1,"NA","54 vs 47","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"53 vs 47",1.02
"5035","DPYS",1.0407,1,"NA","145 vs 137","-",NA,"-",NA,"14 vs 8",1.07,"-",NA,"-",NA,"131 vs 129",0.97
"5037","SLC3A1",1.0407,1,"NA","320 vs 314","-",NA,"-",NA,"7 vs 7",0.99,"-",NA,"-",NA,"313 vs 307",1.05
"5039","ADSSL1",1.0407,1,"NA","148 vs 129","-",NA,"-",NA,"7 vs 5",1.02,"-",NA,"-",NA,"141 vs 124",1.02
"5042","CENPU",1.0406,1,"NA","95 vs 86","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"92 vs 86",0.98
"5043","TAF9",1.0406,1,"NA","220 vs 194","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"1 vs 1",1,"217 vs 192",1.02
"5044","BMP6",1.0406,1,"NA","170 vs 161","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"170 vs 161",1.04
"5045","SPANXN2",1.0406,1,"NA","77 vs 55","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"76 vs 55",1.02
"5046","BEND3",1.0406,1,"NA","102 vs 81","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"29 vs 24",0.98,"72 vs 57",1.04
"5049","POLE4",1.0404,1,"NA","14 vs 13","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"2 vs 2",0.98,"10 vs 10",1.02
"5050","SLC25A19",1.0404,1,"NA","47 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 34",1.04
"5051","C17orf49",1.0404,1,"NA","23 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 4",1.02,"18 vs 14",1.02
"5052","MKRN2",1.0404,1,"NA","51 vs 46","-",NA,"-",NA,"3 vs 1",1.03,"-",NA,"1 vs 0",1.05,"47 vs 45",0.96
"5053","CCDC34",1.0404,1,"NA","1430 vs 1235","-",NA,"-",NA,"3 vs 1",1.03,"-",NA,"-",NA,"1427 vs 1234",1.01
"5054","SNX5",1.0404,1,"3","74 vs 68","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 68",1.04
"5057","PDK3",1.0403,1,"NA","32 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"30 vs 22",1.04,"2 vs 2",1
"5059","GOLGA6L6",1.0403,1,"NA","6 vs 1","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"1 vs 1",1,"4 vs 0",1.02
"5062","PRDX6",1.0403,1,"NA","19 vs 14","-",NA,"-",NA,"4 vs 2",0.99,"-",NA,"4 vs 3",1.03,"11 vs 9",1.01
"5065","NUP37",1.0402,1,"NA","25 vs 17","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"24 vs 16",1.04
"5066","HOGA1",1.0401,1,"NA","63 vs 57","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"62 vs 57",1.02
"5067","SRGN",1.0401,1,"NA","200 vs 180","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"200 vs 180",1.04
"5068","XAGE5",1.0401,1,"NA","9 vs 6","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"7 vs 6",1
"5070","CSGALNACT2",1.0401,1,"NA","55 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"55 vs 42",1.04
"5071","IL23A",1.0401,1,"NA","11 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 4",1.04
"5072","CCDC70",1.04,1,"NA","333 vs 284","-",NA,"-",NA,"4 vs 2",1.03,"-",NA,"-",NA,"329 vs 282",1.01
"5073","GINS3",1.04,1,"NA","42 vs 33","-",NA,"-",NA,"1 vs 1",1,"-",NA,"3 vs 2",1,"38 vs 30",1.04
"5076","EFEMP2",1.0399,1,"NA","138 vs 115","-",NA,"-",NA,"-",NA,"-",NA,"24 vs 19",1.04,"114 vs 96",1
"5078","ERRFI1",1.0399,1,"NA","340 vs 315","-",NA,"-",NA,"32 vs 29",0.97,"-",NA,"-",NA,"308 vs 286",1.07
"5080","SH3D21",1.0399,1,"NA","193 vs 171","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"192 vs 170",1.04
"5083","NSMCE3",1.0397,1,"4","112 vs 96","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.99,"109 vs 93",1.05
"5084","MIPEP",1.0397,1,"NA","203 vs 199","-",NA,"-",NA,"4 vs 1",1.06,"-",NA,"-",NA,"199 vs 198",0.98
"5085","MAP4K5",1.0396,1,"NA","993 vs 990","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"992 vs 989",1.04
"5086","KCTD16",1.0396,1,"NA","147 vs 121","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.05,"145 vs 120",0.99
"5088","SRPX2",1.0395,1,"NA","37 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 29",1.04
"5090","DCT",1.0394,1,"NA","131 vs 94","-",NA,"-",NA,"11 vs 11",0.96,"-",NA,"-",NA,"120 vs 83",1.08
"5092","ABHD6",1.0394,1,"NA","58 vs 54","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"57 vs 54",1.02
"5094","WFDC3",1.0393,1,"NA","907 vs 873","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"906 vs 873",1.02
"5095","CADM2",1.0393,1,"4","24 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 6",1.04,"17 vs 17",1
"5096","MNDA",1.0393,1,"NA","209 vs 204","-",NA,"-",NA,"14 vs 10",1.02,"-",NA,"-",NA,"195 vs 194",1.02
"5101","ACYP1",1.0392,1,"NA","22 vs 14","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"21 vs 14",1.02
"5102","MTX2",1.0392,1,"5","71 vs 68","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"70 vs 68",1.02
"5104","CCDC62",1.0392,1,"NA","638 vs 623","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"2 vs 2",0.99,"633 vs 620",1
"5105","PPP2R3C",1.039,1,"NA","28 vs 26","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"7 vs 6",0.99,"20 vs 20",1.02
"5107","CCDC155",1.0389,1,"NA","221 vs 213","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"219 vs 212",1
"5108","TSPAN6",1.0389,1,"NA","15 vs 8","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"15 vs 8",1.04
"5110","DNAJB4",1.0389,1,"NA","24 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 16",1.04
"5111","CCT6B",1.0389,1,"NA","108 vs 92","-",NA,"-",NA,"61 vs 48",1.05,"-",NA,"-",NA,"47 vs 44",0.99
"5113","TMED10",1.0388,1,"NA","10 vs 8","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"8 vs 7",1.08,"1 vs 0",1.01
"5114","TCHP",1.0388,1,"NA","110 vs 92","-",NA,"-",NA,"21 vs 13",1,"-",NA,"-",NA,"89 vs 79",1.04
"5117","HCFC1R1",1.0388,1,"NA","24 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 18",1.04
"5119","MED21",1.0386,1,"NA","12 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 6",1.04
"5122","GTPBP3",1.0385,1,"NA","83 vs 66","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"10 vs 9",0.92,"71 vs 57",1.08
"5123","GLRX2",1.0385,1,"NA","36 vs 26","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"35 vs 26",1.02
"5125","ATP8B3",1.0384,1,"NA","964 vs 942","-",NA,"-",NA,"60 vs 54",0.95,"-",NA,"-",NA,"904 vs 888",1.09
"5126","MTCH2",1.0384,1,"NA","66 vs 62","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"65 vs 62",1.02
"5127","RABGGTA",1.0384,1,"NA","175 vs 165","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"173 vs 165",1
"5128","PDK4",1.0383,1,"NA","186 vs 177","-",NA,"-",NA,"3 vs 0",1.08,"-",NA,"-",NA,"183 vs 177",0.96
"5130","C11orf24",1.0382,1,"NA","196 vs 180","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"196 vs 180",1.04
"5132","EEPD1",1.0382,1,"NA","180 vs 164","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"19 vs 19",1.09,"160 vs 145",0.93
"5134","ABHD3",1.0381,1,"NA","58 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 51",1.04
"5137","DKK3",1.0379,1,"NA","192 vs 173","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"12 vs 9",1.02,"178 vs 164",0.97
"5138","MIPOL1",1.0379,1,"NA","72 vs 58","-",NA,"-",NA,"3 vs 2",1.02,"-",NA,"-",NA,"69 vs 56",1.02
"5139","APRT",1.0379,1,"NA","26 vs 18","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"25 vs 17",1.04
"5141","CCL2",1.0378,1,"NA","19 vs 14","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"18 vs 14",0.99
"5144","OR6C4",1.0378,1,"NA","161 vs 147","-",NA,"-",NA,"7 vs 4",1.02,"-",NA,"-",NA,"154 vs 143",1.02
"5147","PPIL3",1.0377,1,"NA","16 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"15 vs 15",0.99
"5150","SLC16A1",1.0376,1,"NA","57 vs 47","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 4",1.02,"53 vs 43",1.02
"5151","DNAJB2",1.0376,1,"NA","63 vs 47","-",NA,"-",NA,"6 vs 3",1.04,"-",NA,"-",NA,"57 vs 44",1
"5154","RANBP6",1.0375,1,"NA","235 vs 200","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"235 vs 200",1.04
"5156","SP100",1.0375,1,"NA","280 vs 251","-",NA,"-",NA,"52 vs 41",1,"-",NA,"-",NA,"228 vs 210",1.03
"5159","CCND1",1.0374,1,"NA","11 vs 8","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"4 vs 3",1.02,"6 vs 5",1
"5160","FAM104B",1.0374,1,"NA","10 vs 4","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 4",1.04
"5161","GP9",1.0373,1,"NA","50 vs 37","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"50 vs 37",1.04
"5166","GLRA3",1.0372,1,"NA","64 vs 53","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 53",1.04
"5167","KRTAP22-1",1.0372,1,"NA","639 vs 573","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"639 vs 573",1.04
"5168","FSHB",1.0372,1,"NA","79 vs 64","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"79 vs 64",1.04
"5169","CARF",1.0372,1,"NA","318 vs 272","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"318 vs 272",1.04
"5170","SSX3",1.0371,1,"NA","111 vs 110","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"110 vs 110",1.02
"5171","EDEM3",1.0371,1,"NA","444 vs 425","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"444 vs 425",1.04
"5174","PDC",1.0369,1,"NA","31 vs 22","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"30 vs 22",1.02
"5177","F13A1",1.0368,1,"5","558 vs 530","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"3 vs 2",1.07,"554 vs 527",0.98
"5178","RAB37",1.0368,1,"NA","50 vs 41","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"48 vs 41",0.99
"5183","HNF4G",1.0367,1,"NA","34 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 28",1.04
"5185","DCUN1D4",1.0367,1,"NA","22 vs 20","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 20",1.04
"5186","UCHL1",1.0366,1,"NA","32 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 11",1.01,"20 vs 18",1.02
"5191","REC114",1.0364,1,"NA","39 vs 29","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"38 vs 28",1.04
"5193","ZDHHC12",1.0363,1,"NA","150 vs 142","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"150 vs 142",1.04
"5196","GNAT2",1.0363,1,"NA","152 vs 134","-",NA,"-",NA,"4 vs 1",1.06,"-",NA,"16 vs 16",1.02,"132 vs 117",0.96
"5198","MMD2",1.0362,1,"NA","28 vs 21","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"27 vs 21",1.02
"5199","VGLL4",1.0362,1,"NA","30 vs 27","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"29 vs 27",1.02
"5204","TP53I3",1.036,1,"NA","86 vs 76","-",NA,"-",NA,"41 vs 33",1.07,"-",NA,"3 vs 3",0.97,"42 vs 40",1
"5205","DDX24",1.036,1,"NA","334 vs 333","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"333 vs 333",1.01
"5206","JAM3",1.036,1,"NA","73 vs 57","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"72 vs 57",1.01
"5207","ST3GAL4",1.036,1,"NA","73 vs 64","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"27 vs 21",1.03,"45 vs 43",0.98
"5208","OR52N4",1.036,1,"NA","790 vs 765","-",NA,"-",NA,"8 vs 7",0.97,"-",NA,"-",NA,"782 vs 758",1.07
"5210","AIM2",1.0359,1,"NA","162 vs 151","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"159 vs 150",0.98
"5212","BEX2",1.0359,1,"NA","47 vs 37","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 37",1.04
"5213","RSPO3",1.0358,1,"NA","33 vs 27","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"3 vs 3",1.01,"29 vs 24",1
"5216","CDK10",1.0358,1,"NA","223 vs 200","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"-",NA,"222 vs 199",1.05
"5217","MRPL12",1.0358,1,"NA","177 vs 153","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"176 vs 153",1.01
"5218","RNF32",1.0357,1,"NA","600 vs 569","-",NA,"-",NA,"3 vs 2",1.02,"-",NA,"-",NA,"597 vs 567",1.02
"5221","SPART",1.0357,1,"NA","89 vs 74","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"87 vs 73",1.02
"5223","AC092647.5",1.0355,1,"NA","8 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.04
"5224","MCFD2",1.0355,1,"NA","13 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 13",1.04
"5230","ADGRL4",1.0354,1,"NA","900 vs 843","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"898 vs 843",0.99
"5234","OR7C2",1.0353,1,"NA","621 vs 556","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"621 vs 556",1.04
"5238","DTWD2",1.035,1,"NA","141 vs 134","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"139 vs 133",1.04
"5242","PDHB",1.0349,1,"NA","22 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",1.01,"19 vs 14",1.02
"5246","MLN",1.0349,1,"NA","92 vs 87","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"92 vs 87",1.03
"5248","GATA3",1.0348,1,"NA","35 vs 26","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 10",1.01,"23 vs 16",1.02
"5249","GPR143",1.0348,1,"NA","30 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"30 vs 25",1.03
"5250","RGS11",1.0348,1,"NA","299 vs 275","-",NA,"-",NA,"90 vs 92",1.12,"-",NA,"-",NA,"209 vs 183",0.92
"5251","ZMAT1",1.0348,1,"NA","34 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"34 vs 25",1.03
"5252","OSGEPL1",1.0348,1,"NA","566 vs 545","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"565 vs 544",1.04
"5253","OSCP1",1.0347,1,"NA","282 vs 263","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"282 vs 263",1.03
"5254","ODR4",1.0347,1,"NA","415 vs 397","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"414 vs 397",1.01
"5256","SEC14L1",1.0347,1,"NA","153 vs 132","-",NA,"-",NA,"4 vs 2",1.02,"-",NA,"41 vs 31",1.03,"108 vs 99",0.98
"5258","CGA",1.0346,1,"NA","6 vs 2","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"1 vs 1",1,"4 vs 1",1.02
"5259","UPF3A",1.0346,1,"NA","101 vs 93","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"99 vs 93",0.99
"5260","CYP27B1",1.0346,1,"NA","80 vs 74","-",NA,"-",NA,"-",NA,"-",NA,"20 vs 16",1.09,"60 vs 58",0.95
"5262","SLC25A16",1.0345,1,"NA","29 vs 25","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"26 vs 24",0.99
"5265","ACAT2",1.0345,1,"NA","36 vs 35","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"35 vs 35",1.01
"5271","FAM180B",1.0343,1,"NA","2 vs 1","-",NA,"-",NA,"2 vs 1",1.03,"-",NA,"-",NA,"-",NA
"5274","TMIGD3",1.0342,1,"NA","61 vs 61","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"61 vs 61",1.03
"5279","BRINP3",1.0341,1,"NA","77 vs 73","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"-",NA,"75 vs 73",0.98
"5280","CREB3",1.0341,1,"NA","139 vs 114","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"139 vs 114",1.03
"5281","KDELC1",1.0341,1,"NA","101 vs 82","-",NA,"-",NA,"2 vs 2",1,"-",NA,"-",NA,"99 vs 80",1.03
"5283","SEC14L4",1.034,1,"NA","634 vs 607","-",NA,"-",NA,"66 vs 56",1.03,"-",NA,"-",NA,"568 vs 551",1
"5284","DPH5",1.034,1,"NA","49 vs 39","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"48 vs 38",1.03
"5285","ANAPC13",1.034,1,"NA","9 vs 4","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"8 vs 3",1.03
"5287","ADH1A",1.0339,1,"NA","50 vs 36","-",NA,"-",NA,"15 vs 13",0.95,"-",NA,"-",NA,"35 vs 23",1.09
"5288","PSMG2",1.0338,1,"NA","93 vs 81","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"93 vs 81",1.03
"5289","CYREN",1.0338,1,"NA","20 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 15",1.03
"5292","MFF",1.0337,1,"NA","35 vs 28","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"3 vs 3",0.98,"30 vs 25",1.01
"5297","TMEM179B",1.0335,1,"NA","20 vs 15","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"19 vs 15",1.01
"5299","PMF1",1.0335,1,"NA","60 vs 47","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"58 vs 47",0.99
"5301","BLZF1",1.0332,1,"NA","245 vs 199","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"242 vs 198",0.98
"5303","C12orf60",1.0332,1,"NA","113 vs 99","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"112 vs 99",1.01
"5304","MAP1S",1.0331,1,"NA","313 vs 270","-",NA,"-",NA,"-",NA,"-",NA,"121 vs 99",1.04,"192 vs 171",0.99
"5307","C11orf94",1.033,1,"NA","26 vs 23","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"25 vs 23",1.01
"5308","TRAF3IP3",1.033,1,"NA","191 vs 184","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"188 vs 183",0.99
"5312","TTC30B",1.0329,1,"NA","337 vs 320","-",NA,"-",NA,"-",NA,"-",NA,"31 vs 31",1.06,"306 vs 289",0.97
"5313","TAS2R42",1.0329,1,"NA","54 vs 39","-",NA,"-",NA,"3 vs 3",0.99,"-",NA,"-",NA,"51 vs 36",1.04
"5314","ALG13",1.0328,1,"NA","64 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"64 vs 52",1.03
"5318","GBP5",1.0328,1,"NA","234 vs 231","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"232 vs 230",1.01
"5320","FANCA",1.0327,1,"NA","9 vs 8","-",NA,"-",NA,"9 vs 8",1.03,"-",NA,"-",NA,"-",NA
"5321","SH2D2A",1.0327,1,"NA","93 vs 79","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.06,"90 vs 78",0.97
"5323","OTOL1",1.0326,1,"NA","93 vs 78","-",NA,"-",NA,"5 vs 2",1.05,"-",NA,"-",NA,"88 vs 76",0.98
"5325","PCSK9",1.0326,1,"NA","322 vs 298","-",NA,"-",NA,"6 vs 5",0.98,"-",NA,"-",NA,"316 vs 293",1.06
"5326","FAM124B",1.0325,1,"NA","628 vs 624","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"627 vs 624",1.01
"5327","SHISA5",1.0325,1,"NA","84 vs 78","-",NA,"-",NA,"7 vs 4",1.06,"-",NA,"-",NA,"77 vs 74",0.97
"5328","GPR34",1.0324,1,"NA","30 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.05,"29 vs 23",0.98
"5330","NEK11",1.0324,1,"NA","219 vs 215","-",NA,"-",NA,"6 vs 3",1.04,"-",NA,"-",NA,"213 vs 212",1
"5332","TEX14",1.0324,1,"NA","982 vs 931","-",NA,"-",NA,"41 vs 31",1.02,"-",NA,"-",NA,"941 vs 900",1.01
"5333","RNF144B",1.0323,1,"NA","72 vs 52","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"71 vs 51",1.03
"5334","MAP2K3",1.0323,1,"NA","8 vs 2","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 2",1.03
"5336","WIPF2",1.0322,1,"NA","130 vs 121","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"130 vs 121",1.03
"5338","PSG6",1.0322,1,"NA","11 vs 5","-",NA,"-",NA,"11 vs 5",1.03,"-",NA,"-",NA,"-",NA
"5339","PLN",1.0322,1,"4","6 vs 4","-",NA,"-",NA,"1 vs 1",0.99,"-",NA,"3 vs 2",1.05,"2 vs 1",1
"5342","SAA1",1.0321,1,"NA","304 vs 269","-",NA,"-",NA,"2 vs 1",1.03,"3 vs 2",1,"1 vs 0",1.05,"298 vs 266",0.95
"5347","SH2D5",1.032,1,"NA","100 vs 78","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"99 vs 78",1.01
"5349","MIF4GD",1.0319,1,"NA","21 vs 17","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"20 vs 17",1.01
"5350","HACD4",1.0319,1,"NA","127 vs 124","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"124 vs 123",0.98
"5352","DPH3",1.0318,1,"NA","8 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 5",1.03
"5354","DNAJA3",1.0318,1,"NA","94 vs 93","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"94 vs 93",1.03
"5355","SDHAF2",1.0318,1,"NA","33 vs 23","-",NA,"-",NA,"0 vs 0",1,"-",NA,"-",NA,"33 vs 23",1.03
"5357","DDX47",1.0317,1,"NA","63 vs 53","-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"-",NA,"60 vs 51",1.03
"5360","AC005837.2",1.0316,1,"NA","24 vs 13","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"24 vs 13",1.03
"5361","BCAP29",1.0316,1,"NA","149 vs 130","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"148 vs 130",1.01
