"","Gene","BF","post.prob"
"15408","DNAJC2",0.998952195672684,0.150179343673152
"15409","CBLL1",1.05947620613139,0.157842129820459
"15410","GPR85",0.981396982064519,0.147930565584759
"15411","CAV2",0.983572085985421,0.148209836579092
"15412","GPR37",0.941868556166048,0.142823245167539
"15413","LEP",1.01057578573084,0.151661775794837
"15414","ATP6V1F",1.00084163274358,0.150420668424082
"15415","UBE2H",0.988652328561508,0.148861398313874
"15416","CHRM2",1.00521748568967,0.150979039974174
"15417","TRIM24",0.942438123436696,0.142897271545644
"15418","TMEM213",0.98655693978281,0.14859277701505
"15419","C7orf55",0.983528680733253,0.148204265381288
"15420","ARHGEF35",1,0.150313189415511
"15421","TMEM176A",1.02296493943504,0.15323616169874
"15422","TMUB1",1.00030812188472,0.150352540653405
"15423","RHEB",1.02257221160604,0.153186344414847
"15424","PAXIP1",1.04719757719725,0.156298758991095
"15425","RBM33",1.03295608408362,0.15450156385795
"15426","CNOT7",0.943922148188143,0.143090089468805
"15427","CHMP7",1.00044168876764,0.15036959777759
"15428","SCARA5",1.00673387285776,0.151172364180734
"15429","PNOC",1.0010005814983,0.150440963601161
"15430","ZNF395",0.99512781454979,0.149690462049959
"15431","DUSP26",1.06481912013309,0.158511949436304
"15432","EIF4EBP1",0.987839029023661,0.148757156370346
"15433","ADAM9",0.978207949107213,0.147520780630981
"15434","NKX6-3",0.988651924959518,0.148861346589873
"15435","VDAC3",0.997657979622433,0.150013963261356
"15436","THAP1",1.0114064692477,0.151767520283087
"15437","RNF170",0.992572691997237,0.149363519833358
"15438","HOOK3",1.05467710348713,0.157239575927762
"15439","SNAI2",0.981338033000478,0.147922994310833
"15440","NPBWR1",0.989916096001303,0.149023326823193
"15441","RGS20",1.00336489033949,0.150742733039617
"15442","LYPLA1",0.997174166403566,0.149952123027744
"15443","TMEM68",1.01231246162296,0.151882821399855
"15444","RPS20",1,0.150313189415511
"15445","PLAG1",0.96741857606783,0.146131438368219
"15446","FAM110B",0.963193551595182,0.145586149357273
"15447","TOX",1.00273860257689,0.150662817442671
"15448","YTHDF3",1.03413205888433,0.154650255125339
"15449","PDE7A",0.943443871391742,0.143027956894977
"15450","VCPIP1",1.01524803157441,0.152256201465813
"15451","EYA1",0.977232088511486,0.14739530554102
"15452","RP11-383H13.1",1.01186922964964,0.151826417400864
"15453","KCNB2",0.922199497092768,0.140258998368945
"15454","RPL7",1.00228504389903,0.150604933038763
"15455","STAU2",1.00036121239676,0.150359320645502
"15456","HEY1",0.989282395041944,0.148942137425151
"15457","OSGIN2",0.945724119593525,0.14332410130409
"15458","NECAB1",0.990040800123592,0.149039302018668
"15459","PDP1",1.09161331666952,0.161855023906764
"15460","RPL30",1.02244340987372,0.153170004717706
"15461","POLR2K",1.00464612681047,0.150906174585029
"15462","GRHL2",0.99146570994123,0.149221797219844
"15463","AZIN1",0.979232873814612,0.147652524573536
"15464","SYBU",0.984748769468288,0.14836083976626
"15465","TRPS1",0.976968371577868,0.147361390765686
"15466","MED30",0.971393976804165,0.146643875345082
"15467","TNFRSF11B",1.00132486377401,0.15048236617944
"15468","MAL2",0.990672036284854,0.149120157193596
"15469","HAS2",0.994890638856159,0.149660124675782
"15470","FBXO32",0.92887041210711,0.141130400245546
"15471","MTSS1",1.01686816055408,0.152462127634218
"15472","NSMCE2",1.00046863983178,0.150373039473217
"15473","TRIB1",0.995760789047835,0.149771415838552
"15474","SLC45A4",0.997478623573908,0.149991039306969
"15475","C8orf31",1.02589313821021,0.153607417218525
"15476","LY6H",0.956661282622069,0.144741711210685
"15477","ZNF696",1.01057702338755,0.151661933365878
"15478","FAM83H",1.05667535701656,0.157490572450015
"15479","LRRC24",1.02191843999528,0.153103400885218
"15480","ZNF250",1.02170017784412,0.153075706506701
"15481","PPAPDC2",0.991693570600861,0.149250973194894
"15482","MLANA",0.998410306121883,0.150110106562228
"15483","SH3GL2",1.03860347754558,0.155215147993601
"15484","IFNA13",0.988776873481406,0.148877359187598
"15485","CDKN2A",0.999999591765499,0.150313137276151
"15486","CDKN2B",0.999874041431148,0.150297101791523
"15487","TMEM215",1.01267785308839,0.151929314073736
"15488","NUDT2",0.969676270087804,0.146422535053586
"15489","CNTFR",0.989534705550252,0.148974465156706
"15490","RPP25L",1.00056328503246,0.150385125601559
"15491","CCL19",0.985917772230453,0.148510804283967
"15492","FAM214B",0.998964037250725,0.150180856543071
"15493","TMEM8B",0.868195876320073,0.133139028078936
"15494","TOMM5",0.97755655839516,0.147437029623149
"15495","ANKRD18A",0.989102160630356,0.148919043067477
"15496","PTAR1",1.00963876764157,0.151542463462452
"15497","C9orf40",0.999874041431148,0.150297101791523
"15498","NXNL2",0.989408634976082,0.148958312447702
"15499","CKS2",1.00051289326501,0.150378690649618
"15500","NFIL3",1.01225808993388,0.151875902671166
"15501","OGN",0.94434319185834,0.143144779474493
"15502","WNK2",0.954615531635196,0.144476909973616
"15503","FAM120AOS",0.986016494316163,0.148523466343771
"15504","PTCH1",1.02249643293462,0.153176731262267
"15505","HABP4",0.983208208628356,0.148163129544057
"15506","TMOD1",0.983789606622865,0.148237754925176
"15507","ANP32B",0.999109327362858,0.150199418245503
"15508","SEC61B",1,0.150313189415511
"15509","ERP44",1.02212378197071,0.15312945422275
"15510","TMEM246",1.02778055930458,0.153846543879202
"15511","SLC44A1",1.05324105249272,0.157059104134985
"15512","RAD23B",0.964930246421157,0.145810374493161
"15513","TXN",0.988144305197042,0.148796287114357
"15514","KIAA1958",0.990728180454568,0.149127347968223
"15515","SNX30",1.02324008410855,0.153271060139969
"15516","SLC31A1",1.05471820520561,0.157244740136618
"15517","BRINP1",0.925406816561352,0.140678181610104
"15518","PDCL",0.996547990965326,0.149872072921682
"15519","ZBTB26",0.990219493845822,0.149062192495042
"15520","RABGAP1",0.981302883022877,0.147918479669454
"15521","PSMB7",0.978564831500299,0.147566658957129
"15522","NR5A1",1.00903140294731,0.151465108608084
"15523","RPL35",1.03391842162083,0.154623246533196
"15524","ARPC5L",1.00082199032333,0.150418160338391
"15525","ZBTB43",1.02848643268172,0.153935939736826
"15526","ZBTB34",0.977401950520359,0.147417148867731
"15527","RALGPS1",0.922071492662414,0.140242260238524
"15528","RPL12",0.953116623129706,0.144282787713029
"15529","PPP2R4",1.01617996628642,0.152374667063757
"15530","IER5L",1,0.150313189415511
"15531","NTMT1",1.04525576350185,0.156054163168272
"15532","PTGES",1.02173371788187,0.153079962380673
"15533","TOR1B",0.998925345242125,0.150175913265072
"15534","RPL7A",1.00832793484034,0.151375496251472
"15535","ADAMTSL2",0.963149346770579,0.145580440524173
"15536","WDR5",1.01024292743447,0.15161939614483
"15537","COL5A1",1.05064696755264,0.156732903588128
"15538","INPP5E",0.971429355257354,0.146648432936137
"15539","ANAPC2",1.04007548094716,0.155400947148621
"15540","RNF208",1.00063852381753,0.150394733298382
"15541","CALML5",0.987512450233275,0.148715291042591
"15542","GDI2",1.02288478301841,0.153225994382605
"15543","PROSER2",1.0264981861991,0.153684088441332
"15544","CAMK1D",0.997956985114251,0.150052177167731
"15545","VIM",0.971335438656857,0.146636334124506
"15546","CACNB2",1.00077816837511,0.150412564783044
"15547","BMI1",1.01275664772275,0.151939339291786
"15548","ABI1",1.04413049749723,0.155912356867035
"15549","ZNF487",1.01122312651859,0.151744183357086
"15550","ZNF32",1.01275451959312,0.151939068528194
"15551","GDF10",0.966339768446917,0.145992271759815
"15552","MSMB",1.02745178935359,0.153804900115956
"15553","PRKG1",1.01807719136968,0.152615736078932
"15554","CISD1",0.988652328561508,0.148861398313874
"15555","TFAM",0.997178098730219,0.149952625687732
"15556","NEUROG3",0.968349129916953,0.146251443751645
"15557","SAR1A",0.997409887414835,0.149982253635275
"15558","NODAL",0.963250068819945,0.14559344816446
"15559","C10orf54",0.995471047556918,0.149734361485628
"15560","ANAPC16",1.00115133587242,0.150460211592859
"15561","DDIT4",0.961050309613728,0.145309272476951
"15562","DNAJB12",0.977856762470532,0.147475629690744
"15563","MCU",0.951348266116829,0.144053656121853
"15564","SEC24C",0.993074654677414,0.149427768607618
"15565","VDAC2",0.978661554584743,0.147579092155755
"15566","ZNF503",0.987513351007702,0.148715406521817
"15567","CH25H",0.947188423317329,0.143514168038026
"15568","HTR7",1.02001772839191,0.152862166669887
"15569","FRAT1",1.01122312651859,0.151744183357086
"15570","GOLGA7B",0.993464997885896,0.149477723926268
"15571","BLOC1S2",0.988776066175905,0.148877255730459
"15572","NDUFB8",1.00639425904704,0.151129074465831
"15573","LZTS2",1.0112189983645,0.151743657886906
"15574","FBXW4",0.972977307883807,0.146847798609794
"15575","NPM3",0.993443878004844,0.149475021197611
"15576","ELOVL3",0.951071721155657,0.144017812223958
"15577","CUEDC2",0.982612756469447,0.148086686684188
"15578","ARL3",1.07975890807523,0.160379248001015
"15579","SMNDC1",0.995352695997102,0.149719224855899
"15580","GFRA1",1.06777502473085,0.158882061698948
"15581","VAX1",1.03470935601893,0.154723229935644
"15582","CACUL1",0.985516370437259,0.14845931675317
"15583","RGS10",0.988144708591803,0.148796338819704
"15584","ARMS2",0.972310307554949,0.14676190496849
"15585","HTRA1",0.926755424750498,0.140854317012764
"15586","IKZF5",0.994675648959257,0.149632623237946
"15587","HMX3",0.988020646642605,0.148780436814452
"15588","FAM53B",1.00064628914399,0.150395724887647
"15589","EDRF1",1.08939097996546,0.16157875660121
"15590","JAKMIP3",1.01326674427945,0.152004234287278
"15591","INPP5A",0.92167925428413,0.140190966258816
"15592","CALY",0.988776873481406,0.148877359187598
"15593","PSMD13",0.985799593705962,0.148495646252965
"15594","IFITM2",0.991610451427882,0.149240330593872
"15595","PNPLA2",1.01112409794411,0.151731577891618
"15596","MOB2",0.953956067914113,0.144391514285899
"15597","INS-IGF2",1.00032772916437,0.150355044638863
"15598","INS",0.988144305197042,0.148796287114357
"15599","CD81",1.00318620687762,0.15071993419843
"15600","NAP1L4",1.00615861524096,0.151099034950033
"15601","STIM1",0.959151972151984,0.145063883930848
"15602","HBG2",0.988776873481406,0.148877359187598
"15603","PRKCDBP",1.01024375226701,0.151619501168068
"15604","TAF10",1.04485334785624,0.156003456121932
"15605","RBMXL2",1.01727568778602,0.152513910554654
"15606","SYT9",1.13460449848611,0.16716382342422
"15607","EIF3F",1.02692331121714,0.153737951653266
"15608","LMO1",0.99428242830134,0.149582317976461
"15609","TMEM9B",0.996935071112583,0.149921558926829
"15610","ADM",0.966387221116372,0.145998394126681
"15611","GALNT18",1.00944739420746,0.151518091384324
"15612","PSMA1",0.990524055348802,0.149101203662683
"15613","RPS13",1.0109683981266,0.151711757918363
"15614","MYOD1",0.988652328561508,0.148861398313874
"15615","TMEM86A",1.03991678218723,0.155380919810762
"15616","GAS2",1.00774444257787,0.151301152838584
"15617","LIN7C",1.00664922863852,0.151161575208934
"15618","BDNF",0.976080105476122,0.147247137273737
"15619","KCNA4",0.998526709440888,0.150124980340588
"15620","FSHB",0.991805721822468,0.149265332645139
"15621","PRRG4",1.00051207637741,0.150378586333513
"15622","EHF",0.965103364113473,0.145832719314744
"15623","COMMD9",0.990761329973044,0.149131593600739
"15624","PRR5L",0.961756575370296,0.145400531953519
"15625","SLC35C1",1.00312501674899,0.150712126456811
"15626","MAPK8IP1",0.981346850406397,0.147924126805489
"15627","F2",1.02239636395452,0.153164036348271
"15628","SPI1",0.974528100409589,0.147047436654068
"15629","TIMM10",1.0092860553102,0.151497543221987
"15630","SERPING1",0.966063738660087,0.145956656519755
"15631","MED19",0.961252785272498,0.145335437174757
"15632","PATL1",1.10358909065412,0.163340650343176
"15633","TMEM132A",0.970914591706891,0.146582114277812
"15634","PGA5",1.03433884484137,0.154676395913473
"15635","RP11-831H9.11",0.998214059644827,0.150085029409431
"15636","GNG3",0.999544299972086,0.150254983815402
"15637","HNRNPUL2",1.01099426557736,0.151715050807073
"15638","C11orf84",0.995479004033414,0.149735379063688
"15639","ESRRA",0.961680451730633,0.145390696644894
"15640","RASGRP2",1.09150129605571,0.16184110254668
"15641","CDC42EP2",0.978222011384689,0.147522588473338
"15642","EFEMP2",0.987929401264718,0.148768740790554
"15643","CD248",1.01882201473149,0.152710338838512
"15644","NPAS4",0.960890822404288,0.145288661787018
"15645","POLD4",1,0.150313189415511
"15646","CORO1B",1.05846788862387,0.15771560148666
"15647","UNC93B1",0.998125896462724,0.15007376308677
"15648","FGF19",1.00966975609042,0.151546409818397
"15649","FGF3",1.0003659157144,0.150359921283511
"15650","ANO1",1.0066432768153,0.151160816563783
"15651","PPFIA1",0.969352773307602,0.146380837049032
"15652","FAM86C1",0.992144243111255,0.149308672787598
"15653","LAMTOR1",1.01130487120498,0.151754588453542
"15654","PPME1",0.99941595082263,0.150238588610844
"15655","UVRAG",1.0050369903795,0.150956022761385
"15656","PRKRIR",1.04565350107686,0.156104274759882
"15657","C11orf30",0.955148666453271,0.144545934540383
"15658","TSKU",1.07450843594661,0.159723945656136
"15659","NDUFC2",0.973087114123235,0.146861937361426
"15660","TENM4",1.02933414339779,0.154043273728633
"15661","PCF11",0.99450210124211,0.14961042177268
"15662","SESN3",1.07043379811703,0.15921469179822
"15663","YAP1",1.0117086374111,0.151805979197634
"15664","C11orf87",0.970488417852398,0.146527201117286
"15665","POU2AF1",1.01088716624658,0.151701417052455
"15666","CRYAB",1.00020050436516,0.150338796887724
"15667","HSPB2",1.06127292185921,0.158067495807037
"15668","IL18",0.988144708591803,0.148796338819704
"15669","REXO2",1.02419398131992,0.153392027039612
"15670","FXYD6",0.970774114410677,0.146564014341595
"15671","IL10RA",1.01681030114608,0.152454775148424
"15672","SCN2B",1.0089812420044,0.151458719406585
"15673","CD3G",0.964501961698547,0.145755089470947
"15674","ARCN1",1.03504925429653,0.154766189806951
"15675","HMBS",1.00350590775779,0.150760725075773
"15676","H2AFX",0.988776873481406,0.148877359187598
"15677","C2CD2L",1.09640456636807,0.162450023809572
"15678","RNF26",0.979162808570538,0.147643519675516
"15679","BSX",0.998470964129526,0.150117857383517
"15680","SCN3B",1.04444987261967,0.155952609442337
"15681","ZBTB44",1.07862294983897,0.160237557678408
"15682","WNK1",1.02241619466221,0.153166552134428
"15683","LRTM2",0.956060272685821,0.144663933717408
"15684","TSPAN9",0.950054792547233,0.143885978956682
"15685","FGF23",0.990670823005838,0.149120001799165
"15686","CD9",0.984183361894998,0.148288287985463
"15687","VAMP1",0.986339640677898,0.148564910348223
"15688","LPAR5",0.940993831835188,0.142709532774393
"15689","ZNF384",1.1382994092215,0.167616955672206
"15690","PIANP",0.98592629426876,0.148511897332437
"15691","MLF2",1.00212095633991,0.150583989790316
"15692","CLSTN3",1.0133590537478,0.152015976929159
"15693","NANOG",0.999874041431148,0.150297101791523
"15694","CLEC4A",0.99728270546161,0.14996599709984
"15695","ZNF705A",0.983222669151972,0.14816498578417
"15696","GABARAPL1",0.987389368325692,0.148699511654901
"15697","KLRC4",1.01729782696059,0.152516723513338
"15698","CREBL2",1.00051289326501,0.150378690649618
"15699","LMO3",1.02805864924631,0.153881765041339
"15700","AEBP2",1.01604937752355,0.152358068887164
"15701","GOLT1B",1.01122312651859,0.151744183357086
"15702","LDHB",0.976818978044466,0.14734217711956
"15703","SSPN",0.995712028156025,0.149765180149631
"15704","PTHLH",1.01669856430232,0.152440575825002
"15705","AMN1",1.07314224202849,0.15955326561367
"15706","H3F3C",1.06352932215043,0.158350350236231
"15707","YAF2",1.01109575430079,0.151727969926462
"15708","ZCRB1",1.00147944236313,0.150502100503686
"15709","TWF1",1.01748351719592,0.15254031620345
"15710","SLC38A1",0.952693183376313,0.144227932460869
"15711","PCED1B",1.03166213617722,0.154337895515721
"15712","CACNB3",1.05124538105088,0.156808175186163
"15713","RND1",0.930178433623024,0.14130105612709
"15714","RP11-302B13.5",1.00160764762378,0.150518467173104
"15715","DDN",1.06933660573166,0.159077457676621
"15716","MCRS1",1.00272792633773,0.150661455002381
"15717","AQP2",1.01932263057051,0.15277391203178
"15718","AQP5",0.999919504403149,0.150302908463155
"15719","ATF1",1.01171562231163,0.151806868170279
"15720","DAZAP2",1.03644545226078,0.1549426099941
"15721","NR4A1",1.03073498211879,0.154220583067525
"15722","C12orf44",0.98353189797102,0.148204678326165
"15723","KRT81",0.944731788254704,0.143195248659911
"15724","KRT18",0.965203941827184,0.145845700646081
"15725","ZNF740",0.999315965209575,0.150225816100432
"15726","SP7",1.05225650171803,0.156935328732768
"15727","NPFF",0.99770153023881,0.150019529390234
"15728","HOXC8",1.01360603964287,0.152047394283776
"15729","HOXC4",1.00310866234059,0.150710039641738
"15730","NFE2",0.97278734228402,0.14682333735905
"15731","COPZ1",1.04265017651609,0.155725733851699
"15732","GTSF1",0.999998775296998,0.150313032997475
"15733","PPP1R1A",0.993614617070289,0.149496870325256
"15734","CD63",0.988807109126372,0.14888123390256
"15735","SARNP",0.966406851035459,0.146000926762876
"15736","RAB5B",1.06521962945421,0.158562116750998
"15737","RPS26",0.977679705531664,0.147452864234063
"15738","MYL6",1.00018212450527,0.150336449562933
"15739","COQ10A",0.996045748239191,0.14980785544453
"15740","PTGES3",0.986758493352894,0.148618622827276
"15741","TAC3",0.978661554584743,0.147579092155755
"15742","STAT6",0.931896528508518,0.141525110736639
"15743","TSPAN31",1.0508915793264,0.156763673767805
"15744","FAM19A2",0.988904460217015,0.1488937092601
"15745","C12orf61",0.995478084992012,0.149735261524803
"15746","XPOT",0.975472123092555,0.147168917705379
"15747","GNS",0.963332039160223,0.145604033843215
"15748","FRS2",1.06460236239637,0.158484796128616
"15749","CCT2",0.954100675101885,0.144410241309336
"15750","CNOT2",1.03967630104026,0.155350569955166
"15751","RAB21",1.0237153785749,0.153331338143547
"15752","ATXN7L3B",1,0.150313189415511
"15753","NAP1L1",0.989800440363809,0.149008510245854
"15754","ZDHHC17",1.00240522166331,0.150620271223343
"15755","PAWR",0.994131454633833,0.149563002125511
"15756","MYF6",1.02080169450186,0.152961682606961
"15757","UBE2N",1.01122312651859,0.151744183357086
"15758","SOCS2",0.967005735640097,0.146078187148034
"15759","SLC25A3",1.01527529620345,0.152259667758838
"15760","ASCL1",0.988776873481406,0.148877359187598
