"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"LYPD2",0.63671875,0.63671875,0.924150940307291,0.5,0.96551724137931
"LYNX1",0.875,0.875,0.991839968546457,0.5,0.916666666666667
"LY6D",1,1,1,1,0.954545454545455
"GML",1,1,1,1,0.971428571428571
"CYP11B1",0.5,0.5,0.846573590279973,0.5,0.979166666666667
"CYP11B2",0.75,0.75,0.965761554338836,0.5,0.980392156862745
"LY6E",1,1,1,NA,0.956521739130435
"LY6H",0.5,0.5,0.846573590279973,0.5,0.962962962962963
"GPIHBP1",1,1,1,NA,0.977272727272727
"ZFP41",0.5,0.5,0.846573590279973,0.75,0.982142857142857
"GLI4",0.2265625,0.2265625,0.562947645187978,0.833333333333333,0.98876404494382
"ZNF696",0.65625,0.65625,0.932671336456324,0.666666666666667,0.986842105263158
"TOP1MT",0.682346178956166,0.682346178956166,0.94315127732832,0.947368421052632,0.993464052287582
"RHPN1",0.691140341485152,0.691140341485152,0.946456137684466,0.888888888888889,0.99390243902439
"ZC3H3",0.65625,0.65625,0.932671336456324,0.8,NA
"GSDMD",0.74609375,0.74609375,0.964627606010508,0.5,0.99
"MROH6",0.929552288200759,0.944992200507433,0.966162659435424,0.95,0.995283018867924
"EEF1D",0.8125,0.8125,0.981206983882324,0.8,0.993288590604027
"TIGD5",0.5,0.649445980787277,0.732551492531246,0.666666666666667,0.989130434782609
"TSTA3",0.3125,0.3125,0.675984628064276,0.75,0.986666666666667
"ZNF623",0.5,0.5,0.846573590279973,0.647583617650433,0.988636363636364
"ZNF707",0.5,0.5,0.846573590279973,0.5,0.987012987012987
"MAPK15",0.843836596263365,0.843836596263365,0.987117020474204,0.923076923076923,0.994047619047619
"FAM83H",1,1,1,1,0.996688741721854
"SCRIB",0.5,0.5,0.846573590279973,0.833333333333333,NA
"PUF60",1,0.9375,0.998004863566473,NA,0.966666666666667
"NRBP2",0.65625,0.65625,0.932671336456324,0.75,0.989130434782609
"EPPK1",0.6875,0.6875,0.94510174649097,0.6875,0.998402555910543
"PLEC",0.314529418945313,0.314529418945313,0.678338572906542,0.909090909090909,NA
"PARP10",0.08984375,0.08984375,0.306338727565076,0.284305833683915,0.995238095238095
"GRINA",1,0.25,0.596573590279973,NA,0.981818181818182
"SPATC1",0.377614328752315,0.377614328752315,0.745366088147162,0.909090909090909,0.993589743589744
"OPLAH",0.808344841003418,0.878507522982545,0.944682176371301,0.95,0.996875
"EXOSC4",0.34375,0.34375,0.710820216562966,0.8,0.981132075471698
"GPAA1",0.98455810546875,0.98455810546875,0.999880155471954,0.888888888888889,0.990740740740741
"CYC1",0.7734375,0.7734375,0.972141648161857,0.8,0.984615384615385
"SHARPIN",0.75,0.75,0.965761554338836,0.75,0.989247311827957
"MAF1",0.5,0.08984375,0.262136813200441,0.5,0.952380952380952
"MROH1",0.729371905326843,0.729371905326843,0.959540905305555,0.944444444444444,0.996428571428571
"BOP1",1,1,1,1,0.995475113122172
"HSF1",1,1,1,1,0.988888888888889
"DGAT1",0.5,0.5,0.846573590279973,0.9,0.98936170212766
"TMEM249",1,0.5,0.596573590279973,1,0.976190476190476
"FBXL6",0.837995699956082,0.831608182405034,0.920386001447572,0.933333333333333,0.991596638655462
"SLC52A2",0.3125,0.3125,0.675984628064276,0.75,0.990909090909091
"ADCK5",0.34375,0.34375,0.710820216562966,0.647583617650433,0.990476190476191
"CPSF1",0.809153301168393,0.809153301168393,0.980505175430203,0.888888888888889,0.996078431372549
"SLC39A4",0.5,0.5,0.846573590279973,0.9,0.994082840236686
"VPS28",0.36328125,0.5,0.682186124468745,0.8,0.976744186046512
"TONSL",0.668188095092773,0.668188095092773,0.937591890140844,0.9375,0.996875
"CYHR1",0.5,0.5,0.846573590279973,0.5,0.941176470588235
"KIFC2",0.74609375,0.74609375,0.964627606010508,0.875,NA
"FOXH1",0.5,0.5,0.846573590279973,0.5,0.989247311827957
"PPP1R16A",0.3125,0.3125,0.675984628064276,0.5,0.990566037735849
"GPT",0.769304408931617,0.769304408931617,0.971068751107,0.916666666666667,0.993103448275862
"MFSD3",0.584094047546386,0.500000000000001,0.651510313748528,0.928571428571429,0.989795918367347
"RECQL4",0.374629312380421,0.374629312380421,0.742447205345571,0.941176470588235,NA
"LRRC14",0.9921875,0.9921875,0.999969402637112,0.666666666666667,0.988636363636364
"LRRC24",0.75,0.75,0.965761554338836,0.75,0.991379310344828
"C8orf82",0.5,0.556137586329607,0.67130871862752,0.666666666666667,0.976190476190476
"ARHGAP39",0.623046875,0.654981017112732,0.796162416141073,0.833333333333333,0.994652406417112
"ZNF251",1,1,1,NA,0.991228070175439
"ZNF34",0.75,0.75,0.965761554338836,0.75,0.987951807228916
"RPL8",1,0.9375,0.991839968546457,1,0.96551724137931
"ZNF517",0.7734375,0.7734375,0.972141648161857,0.852994436592333,0.988888888888889
"ZNF7",1,1,1,NA,0.989795918367347
"COMMD5",0.125,0.125,0.38493019270998,0.5,0.954545454545455
"ZNF250",1,1,1,1,0.985294117647059
"ZNF16",1,1,1,0.666666666666667,0.992063492063492
"C8orf33",1,1,1,1,0.977272727272727
"DLGAP2",0.6875,0.6875,0.94510174649097,0.666666666666667,0.996168582375479
"TUSC3",0.2265625,0.2265625,0.562947645187978,0.75,0.983333333333333
"MSR1",0.360050065908582,0.360050065908582,0.727845595528254,0.909090909090909,0.991803278688525
"FGF20",1,0.890625,0.846573590279973,0.666666666666667,0.980392156862745
"MICU3",0.14453125,0.29052734375,0.36895834210721,0.888888888888889,0.990566037735849
"ZDHHC2",0.7734375,0.7734375,0.972141648161857,0.75,0.984126984126984
"CNOT7",1,1,1,NA,0.5
"VPS37A",0.5,0.5,0.846573590279973,0.5,0.983050847457627
"MTMR7",0.7734375,0.7734375,0.972141648161857,0.833333333333333,0.992753623188406
"SLC7A2",0.303619384765625,0.303619384765625,0.665527736157895,0.9,0.99375
"PDGFRL",0.959928343771026,0.959928343771026,0.999186186914913,0.833333333333333,0.992
"MTUS1",0.376953125,0.376953125,0.744721574558559,0.833333333333333,NA
"CLN8",0.9375,0.9375,0.998004863566473,0.5,0.985074626865672
"FGL1",0.100244211032987,0.100244211032987,0.330820528030807,0.909090909090909,NA
"PCM1",0.979520204244182,0.979520204244182,0.999788842527766,0.928571428571429,NA
"ASAH1",0.21197509765625,0.21197509765625,0.540809199707367,0.888888888888889,0.99009900990099
"NAT1",1,1,1,0.666666666666667,0.985074626865672
"NAT2",1,1,1,NA,0.988235294117647
"ARHGEF10",0.714205905795097,0.714205905795097,0.954596168357927,0.952380952380952,0.997252747252747
"PSD3",0.5,0.5,0.846573590279973,0.666666666666667,0.995495495495496
"SH2D4A",0.915681228041649,0.915681228041649,0.996340821327152,0.928571428571429,0.990825688073395
"CSGALNACT1",0.123894281685352,0.123894281685352,0.382626011177122,0.875,0.992957746478873
"INTS10",0.34375,0.34375,0.710820216562966,0.833333333333333,0.990909090909091
"LPL",0.75,0.75,0.965761554338836,0.5,0.989130434782609
"KBTBD11",0.75,0.219720050889542,0.458987377265266,0.5,0.993197278911565
"SLC18A1",0.685470581054688,0.685470581054688,0.94433833825164,0.9,0.993975903614458
