"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"ELMOD3",0.9453125,0.9453125,0.998476608727094,0.8,0.961538461538462
"CAPG",0.323802947998047,0.323802947998047,0.68892967141513,0.685759025639698,0.961538461538462
"SH2D6",0.96484375,0.96484375,0.999374647028678,0.949764755750383,0.928571428571429
"MAT2A",1,1,1,NA,0.349319470275585
"GGCX",0.5,0.5,0.846573590279973,0.647583617650433,0.98
"VAMP8",1,1,1,NA,0.8
"VAMP5",1,1,1,NA,0.9375
"RNF181",0.827535774558782,0.827535774558782,0.984190730109793,0.833333333333333,0.909090909090909
"TMEM150A",0.5,0.5,0.846573590279973,0.5,0.928571428571429
"C2orf68",1,1,1,1,0.928571428571429
"USP39",1,0.9453125,0.932671336456324,0.5,0.962962962962963
"SFTPB",1,1,1,NA,0.973684210526316
"GNLY",1,1,1,NA,0.96
"ATOH8",1,1,1,NA,0.966666666666667
"ST3GAL5",0.63671875,0.63671875,0.924150940307291,0.666666666666667,0.95
"POLR1A",1,1,1,1,0.991304347826087
"PTCD3",0.2265625,0.2265625,0.562947645187978,0.833333333333333,0.983333333333333
"IMMT",1,1,1,NA,0.976190476190476
"MRPL35",0.5,0.5,0.846573590279973,0.5,0.923076923076923
"REEP1",1,0.75,0.965761554338836,NA,0.909090909090909
"KDM3A",1,0.0924666710197926,0.231719000978986,1,0.987012987012987
"CHMP3",1,1,1,1,0.909090909090909
"RNF103",1,1,1,NA,0.976744186046512
"RMND5A",1,0.75,0.965761554338836,1,0.8
"CD8A",1,0.96875,0.965761554338836,1,0.944444444444444
"CD8B",1,1,1,NA,1
"ID2",1,1,1,NA,0.833333333333333
"RGPD1",0.63671875,0.63671875,0.924150940307291,0.63671875,NA
"KIDINS220",0.6875,0.63671875,0.826858651425084,0.779781820901355,0.990291262135922
"KRCC1",1,1,1,NA,0.95
"SMYD1",1,1,1,1,0.982758620689655
"FABP1",0.5,0.5,0.846573590279973,0.5,0.9
"THNSL2",0.116346595954156,0.116346595954156,0.366629257816209,0.857142857142857,0.977777777777778
"TEX37",1,1,1,NA,0.96
"EIF2AK3",1,1,1,NA,0.984848484848485
"MBOAT2",1,1,1,NA,0.96551724137931
"RPIA",1,1,1,NA,0.941176470588235
"ASAP2",1,0.9375,0.998004863566473,NA,0.979591836734694
"ITGB1BP1",1,1,1,NA,0.909090909090909
"CPSF3",0.5,0.3125,0.596573590279973,0.5,0.923076923076923
"IAH1",0.998046875,0.998046875,0.99999809140839,0.5,0.95
"TEKT4",1,1,1,1,0.987951807228916
