"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF.Missense_T","LoF.Missense_UT","LoF.Missense_OR","LoF.Missense_P_value"
"GPSM2",14,13,1.07688784120726,0.5,0,0,0,1,14,13,1.07688784120726,0.5
"CLCC1",3,8,0.374991007688416,0.96728515625,0,0,0,1,3,8,0.374991007688416,0.96728515625
"WDR47",2,1,1.99994298122268,0.5,7,9,0.777786485980489,0.772750854492188,9,10,0.900004766557158,0.676197052001953
"TAF13",4,2,1.99994297987752,0.34375,4,6,0.666679309338813,0.828125,8,8,1,0.598190307617187
"TMEM167B",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"C1orf194",7,4,1.74995640367567,0.2744140625,0,0,0,1,7,4,1.74995640367567,0.2744140625
"KIAA1324",8,10,0.800007767870128,0.759658813476562,0,0,0,1,8,10,0.800007767870128,0.759658813476562
"SARS",0,1,0,1,1,2,0.500014255100735,0.875,1,3,0.33332444571292,0.9375
"CELSR2",2,8,0.250027633643813,0.9892578125,0,0,0,1,2,8,0.250027633643813,0.9892578125
"PSRC1",14,14,1,0.574722990393638,0,0,0,1,14,14,1,0.574722990393638
"MYBPHL",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"SORT1",2,1,1.99994298122268,0.5,22,12,1.83328509644818,0.0607247424777597,24,13,1.84610491140868,0.0494358747964726
"PSMA5",0,0,0,1,2,2,1,0.6875,2,2,1,0.6875
"SYPL2",2,13,0.15385646653114,0.99951171875,0,0,0,1,2,13,0.15385646653114,0.99951171875
"C1orf127",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ATXN7L2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CYB561D1",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"AMIGO1",0,0,0,1,8,4,1.99994297718361,0.19384765625,8,4,1.99994297718361,0.19384765625
"GPR61",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"GNAI3",2,2,1,0.6875,0,1,0,1,2,3,0.666679308369914,0.8125
"GNAT2",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"AMPD2",7,4,1.74995640367567,0.2744140625,3,2,1.49997155670705,0.5,10,6,1.66662789389482,0.227249145507813
"GSTM4",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"GSTM2",5,8,0.62501357396942,0.8665771484375,1,0,Inf,0.5,6,8,0.750009838798097,0.78802490234375
"GSTM1",0,0,0,1,0,0,0,1,0,0,0,1
"GSTM5",10,10,1,0.588098526000976,0,0,0,1,10,10,1,0.588098526000976
"GSTM3",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"EPS8L3",10,13,0.769239832262526,0.797563552856445,0,0,0,1,10,13,0.769239832262526,0.797563552856445
"CSF1",0,0,0,1,0,0,0,1,0,0,0,1
"AHCYL1",2,0,Inf,0.25,6,6,1,0.61279296875,8,6,1.33331584236617,0.395263671875
"STRIP1",2,4,0.500014255437044,0.890625,7,4,1.74995640367567,0.2744140625,9,8,1.12499491149791,0.5
"ALX3",0,2,0,1,0,0,0,1,0,2,0,1
"UBL4B",0,0,0,1,0,0,0,1,0,0,0,1
"TARDBP",0,1,0,1,4,0,Inf,0.0625,4,1,3.99955850143943,0.1875
"SLC6A17",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"KCNC4",3,1,3.0000799907165,0.3125,23,29,0.793111510637002,0.834125118315254,26,30,0.866671591288653,0.747798119988587
"MASP2",14,12,1.16665941953382,0.422509491443634,0,0,0,1,14,12,1.16665941953382,0.422509491443634
"RBM15",3,1,3.0000799907165,0.3125,3,1,3.0000799907165,0.3125,6,2,3.00007958303127,0.14453125
"SLC16A4",14,5,2.80006584296191,0.0317840576171875,0,0,0,1,14,5,2.80006584296191,0.0317840576171875
"LAMTOR5",0,1,0,1,0,0,0,1,0,1,0,1
"PROK1",12,4,3.0000787665651,0.0384063720703125,0,0,0,1,12,4,3.0000787665651,0.0384063720703125
"KCNA10",9,7,1.28569989068322,0.401809692382813,0,0,0,1,9,7,1.28569989068322,0.401809692382813
"SRM",0,0,0,1,2,6,0.33332449100887,0.96484375,2,6,0.33332449100887,0.96484375
"KCNA2",0,0,0,1,13,8,1.62496372108961,0.191655158996582,13,8,1.62496372108961,0.191655158996582
"EXOSC10",8,4,1.99994297718361,0.19384765625,0,0,0,1,8,4,1.99994297718361,0.19384765625
"KCNA3",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"CD53",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"LRIF1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"MTOR",6,3,1.99994297853116,0.25390625,24,28,0.857148180062884,0.755772165310054,30,31,0.967735513058168,0.60092368634714
"DRAM2",7,3,2.33340772037698,0.171875,0,0,0,1,7,3,2.33340772037698,0.171875
"CEPT1",2,0,Inf,0.25,7,10,0.700011654785446,0.833847045898437,9,10,0.900004766557158,0.676197052001953
"DENND2D",3,4,0.750009838248499,0.7734375,0,0,0,1,3,4,0.750009838248499,0.7734375
"CHI3L2",6,6,1,0.61279296875,0,0,0,1,6,6,1,0.61279296875
"CHIA",17,13,1.3076764915527,0.292332355864346,0,0,0,1,17,13,1.3076764915527,0.292332355864346
"PIFO",0,1,0,1,0,0,0,1,0,1,0,1
"OVGP1",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"WDR77",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"C1orf162",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ADORA3",5,9,0.555569875658781,0.91021728515625,0,0,0,1,5,9,0.555569875658781,0.91021728515625
"RAP1A",0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
"DDX20",7,12,0.583347475328415,0.916465759277344,0,0,0,1,7,12,0.583347475328415,0.916465759277344
"KCND3",0,0,0,1,4,4,1,0.63671875,4,4,1,0.63671875
"ANGPTL7",12,8,1.49997155016181,0.25172233581543,0,0,0,1,12,8,1.49997155016181,0.25172233581543
"CTTNBP2NL",0,0,0,1,4,5,0.800007767854906,0.74609375,4,5,0.800007767854906,0.74609375
"WNT2B",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ST7L",7,11,0.636376993208959,0.881057739257812,0,0,0,1,7,11,0.636376993208959,0.881057739257812
"CAPZA1",0,0,0,1,0,0,0,1,0,0,0,1
"MOV10",4,0,Inf,0.0625,0,1,0,1,4,1,3.99955850143943,0.1875
"RHOC",0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
"PPM1J",16,16,1,0.569974967045709,0,1,0,1,16,17,0.941155225606691,0.635833759559318
"FAM19A3",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"UBIAD1",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"SLC16A1",0,1,0,1,0,0,0,1,0,1,0,1
"LRIG2",3,7,0.428557766080607,0.9453125,0,0,0,1,3,7,0.428557766080607,0.9453125
"MAGI3",1,3,0.33332444571292,0.9375,5,4,1.24998786284456,0.5,6,7,0.857148182371521,0.70947265625
"PHTF1",20,22,0.909104311940488,0.678015521814813,0,0,0,1,20,22,0.909104311940488,0.678015521814813
"RSBN1",18,18,1,0.56603029978578,4,3,1.33331584334321,0.5,22,21,1.04763315759122,0.5
"PTPN22",10,7,1.42854764369102,0.314529418945313,0,0,0,1,10,7,1.42854764369102,0.314529418945313
"BCL2L15",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"AP4B1",11,10,1.09998370194395,0.5,0,0,0,1,11,10,1.09998370194395,0.5
"DCLRE1B",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"HIPK1",1,0,Inf,0.5,1,1,1,0.75,2,1,1.99994298122268,0.5
"OLFML3",6,5,1.19999087482567,0.5,0,0,0,1,6,5,1.19999087482567,0.5
"SYT6",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"TRIM33",1,0,Inf,0.5,10,16,0.625013576836536,0.915681228041649,11,16,0.68751205105755,0.876105718314647
"BCAS2",3,4,0.750009838248499,0.7734375,0,0,0,1,3,4,0.750009838248499,0.7734375
"DENND2C",11,12,0.916687019413837,0.661180257797241,0,0,0,1,11,12,0.916687019413837,0.661180257797241
"AMPD1",11,20,0.550014341103796,0.964622227009386,0,0,0,1,11,20,0.550014341103796,0.964622227009386
"NRAS",0,0,0,1,0,0,0,1,0,0,0,1
"CSDE1",2,0,Inf,0.25,0,2,0,1,2,2,1,0.6875
"SIKE1",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"SYCP1",0,1,0,1,0,0,0,1,0,1,0,1
"TSHB",3,6,0.500014255773652,0.91015625,0,0,0,1,3,6,0.500014255773652,0.91015625
"TSPAN2",5,6,0.833339670308138,0.7255859375,0,0,0,1,5,6,0.833339670308138,0.7255859375
"NGF",0,0,0,1,0,0,0,1,0,0,0,1
"VANGL1",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"CASQ2",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"NHLH2",0,0,0,1,1,3,0.33332444571292,0.9375,1,3,0.33332444571292,0.9375
"SLC22A15",5,8,0.62501357396942,0.8665771484375,0,0,0,1,5,8,0.62501357396942,0.8665771484375
"MAB21L3",9,9,1,0.592735290527344,0,0,0,1,9,9,1,0.592735290527344
"ATP1A1",0,0,0,1,17,10,1.69995926362378,0.123894281685352,17,10,1.69995926362378,0.123894281685352
"FBXO2",3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
"CD58",0,0,0,1,0,0,0,1,0,0,0,1
"FBXO44",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"IGSF3",0,1,0,1,0,0,0,1,0,1,0,1
"FBXO6",0,0,0,1,0,0,0,1,0,0,0,1
"MAD2L2",0,2,0,1,0,1,0,1,0,3,0,1
"CD2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PTGFRN",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"CD101",28,21,1.33331583745151,0.195801455273746,0,0,0,1,28,21,1.33331583745151,0.195801455273746
"TTF2",18,10,1.79995359526141,0.0924666710197926,0,0,0,1,18,10,1.79995359526141,0.0924666710197926
"DRAXIN",5,8,0.62501357396942,0.8665771484375,0,0,0,1,5,8,0.62501357396942,0.8665771484375
"TRIM45",7,14,0.500014257123077,0.960823059082031,0,0,0,1,7,14,0.500014257123077,0.960823059082031
"VTCN1",5,3,1.66662789881154,0.36328125,0,0,0,1,5,3,1.66662789881154,0.36328125
"AGTRAP",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"MAN1A2",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"C1orf167",0,1,0,1,0,0,0,1,0,1,0,1
"GDAP2",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"MTHFR",2,9,0.222243350581303,0.994140625,0,0,0,1,2,9,0.222243350581303,0.994140625
"TTLL10",5,14,0.357134459003363,0.990394592285156,0,0,0,1,5,14,0.357134459003363,0.990394592285156
"WDR3",10,7,1.42854764369102,0.314529418945313,0,0,0,1,10,7,1.42854764369102,0.314529418945313
"SPAG17",20,11,1.81813441081036,0.0748063921928405,0,0,0,1,20,11,1.81813441081036,0.0748063921928405
"CLCN6",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"NPPA",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"NPPB",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"TBX15",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"WARS2",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"PLOD1",11,7,1.57139558889057,0.240341186523438,0,0,0,1,11,7,1.57139558889057,0.240341186523438
"HAO2",11,11,1,0.584094047546386,0,0,0,1,11,11,1,0.584094047546386
"HSD3B2",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"HSD3B1",0,0,0,1,0,0,0,1,0,0,0,1
"ZNF697",0,3,0,1,3,2,1.49997155670705,0.5,3,5,0.600013956752488,0.85546875
"PHGDH",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"HMGCS2",11,7,1.57139558889057,0.240341186523438,0,0,0,1,11,7,1.57139558889057,0.240341186523438
"REG4",6,4,1.49997155452711,0.376953125,0,0,0,1,6,4,1.49997155452711,0.376953125
"MFN2",2,3,0.666679308369914,0.8125,3,0,Inf,0.125,5,3,1.66662789881154,0.36328125
"NOTCH2",0,1,0,1,0,0,0,1,0,1,0,1
"MIIP",19,32,0.593764041585013,0.975563053840865,0,0,0,1,19,32,0.593764041585013,0.975563053840865
"TNFRSF18",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"TNFRSF8",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"TNFRSF4",0,2,0,1,0,0,0,1,0,2,0,1
"FAM72B",0,1,0,1,0,0,0,1,0,1,0,1
"SDF4",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"TNFRSF1B",0,1,0,1,0,0,0,1,0,1,0,1
"VPS13D",12,8,1.49997155016181,0.25172233581543,4,0,Inf,0.0625,16,8,1.99994297178143,0.0757948160171509
"B3GALT6",9,3,3.00007917498088,0.072998046875,36,32,1.12499491617746,0.358150380077169,45,35,1.28569988696471,0.157153289931969
"UBE2J2",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"DHRS3",0,0,0,1,7,13,0.538475896165297,0.942340850830078,7,13,0.538475896165297,0.942340850830078
"AADACL4",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"AADACL3",0,0,0,1,0,0,0,1,0,0,0,1
"C1orf158",11,6,1.83328510689726,0.166152954101563,0,0,0,1,11,6,1.83328510689726,0.166152954101563
"PRAMEF12",0,2,0,1,0,0,0,1,0,2,0,1
"PRAMEF1",0,0,0,1,0,0,0,1,0,0,0,1
"PRAMEF2",0,0,0,1,0,0,0,1,0,0,0,1
"SCNN1D",6,5,1.19999087482567,0.5,0,0,0,1,6,5,1.19999087482567,0.5
"PRAMEF7",0,0,0,1,3,3,1,0.65625,3,3,1,0.65625
"ACAP3",0,3,0,1,0,0,0,1,0,3,0,1
"PRAMEF6",0,0,0,1,0,0,0,1,0,0,0,1
"PUSL1",27,29,0.931066753736108,0.65556011963833,0,0,0,1,27,29,0.931066753736108,0.65556011963833
"TAS1R3",10,10,1,0.588098526000976,0,0,0,1,10,10,1,0.588098526000976
"DVL1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"PRAMEF19",0,0,0,1,25,29,0.862074081817297,0.751691282341033,25,29,0.862074081817297,0.751691282341033
"PRAMEF17",0,0,0,1,44,46,0.956509932169607,0.623983399200703,44,46,0.956509932169607,0.623983399200703
"PRAMEF20",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"LRRC38",14,13,1.07688784120726,0.5,0,0,0,1,14,13,1.07688784120726,0.5
"MXRA8",0,3,0,1,15,9,1.66662788897156,0.153728127479553,15,12,1.24998786279485,0.350554019212723
"PDPN",0,1,0,1,0,0,0,1,0,1,0,1
"PRDM2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"AURKAIP1",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"CCNL2",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"MRPL20",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"TMEM88B",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"VWA1",6,4,1.49997155452711,0.376953125,16,13,1.23075827638232,0.355535551905632,22,17,1.29410270978393,0.26119869024842
"NBPF15",0,0,0,1,1,2,0.500014255100735,0.875,1,2,0.500014255100735,0.875
"ATAD3C",7,8,0.875004583473351,0.696380615234375,0,1,0,1,7,9,0.777786485980489,0.772750854492188
"GPR89A",0,1,0,1,0,0,0,1,0,1,0,1
"PDZK1",7,4,1.74995640367567,0.2744140625,0,0,0,1,7,4,1.74995640367567,0.2744140625
"CD160",0,3,0,1,0,0,0,1,0,3,0,1
"POLR3C",12,11,1.09088486999569,0.5,0,0,0,1,12,11,1.09088486999569,0.5
"NUDT17",8,5,1.59996525139297,0.29052734375,0,0,0,1,8,5,1.59996525139297,0.29052734375
"ANKRD35",85,52,1.6345784547526,0.00302626971227969,0,0,0,1,85,52,1.6345784547526,0.00302626971227969
"ITGA10",43,30,1.43330921637878,0.0798558415590101,0,0,0,1,43,30,1.43330921637878,0.0798558415590101
"PEX11B",4,3,1.33331584334321,0.5,0,0,0,1,4,3,1.33331584334321,0.5
"LIX1L",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"POLR3GL",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"KAZN",2,0,Inf,0.25,12,12,1,0.580590128898621,14,12,1.16665941953382,0.422509491443634
"TXNIP",2,7,0.285751805602504,0.98046875,0,0,0,1,2,7,0.285751805602504,0.98046875
"NBPF12",0,0,0,1,5,4,1.24998786284456,0.5,5,4,1.24998786284456,0.5
"PRKAB2",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"FMO5",13,20,0.650013062461271,0.918622171273455,0,0,0,1,13,20,0.650013062461271,0.918622171273455
"CHD1L",36,39,0.923102686266584,0.677768043052886,0,0,0,1,36,39,0.923102686266584,0.677768043052886
"BCL9",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ACP6",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"ATAD3B",4,3,1.33331584334321,0.5,3,3,1,0.65625,7,6,1.16665941848379,0.5
"GJA5",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"GJA8",6,1,5.99957559160261,0.0625,0,0,0,1,6,1,5.99957559160261,0.0625
"GPR89B",9,17,0.529426121435319,0.962240651249886,5,3,1.66662789881154,0.36328125,14,20,0.700011657421705,0.885259493486956
"NBPF14",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"NBPF9",0,1,0,1,0,0,0,1,0,1,0,1
"HIST2H2BE",0,0,0,1,0,0,0,1,0,0,0,1
"HIST2H2AB",3,0,Inf,0.125,1,1,1,0.75,4,1,3.99955850143943,0.1875
"BOLA1",0,0,0,1,0,0,0,1,0,0,0,1
"SV2A",2,0,Inf,0.25,3,5,0.600013956752488,0.85546875,5,5,1,0.623046875
"SF3B4",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"MTMR11",21,9,2.33340682706456,0.0213869726285338,0,0,0,1,21,9,2.33340682706456,0.0213869726285338
"OTUD7B",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"VPS45",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"PLEKHO1",0,0,0,1,0,0,0,1,0,0,0,1
"ANP32E",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"CA14",13,6,2.16660119491642,0.0835342407226563,0,0,0,1,13,6,2.16660119491642,0.0835342407226563
"APH1A",0,1,0,1,3,5,0.600013956752488,0.85546875,3,6,0.500014255773652,0.91015625
"C1orf54",0,0,0,1,0,0,0,1,0,0,0,1
"MRPS21",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PRPF3",0,1,0,1,8,6,1.33331584236617,0.395263671875,8,7,1.14285115631106,0.5
"RPRD2",1,0,Inf,0.5,12,7,1.71424415514444,0.179641723632813,13,7,1.85709333903597,0.131587982177734
"TARS2",5,10,0.500014256447766,0.940765380859375,0,0,0,1,5,10,0.500014256447766,0.940765380859375
"ECM1",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"ADAMTSL4",8,16,0.500014257461181,0.96804267168045,0,0,0,1,8,16,0.500014257461181,0.96804267168045
"MCL1",0,0,0,1,0,0,0,1,0,0,0,1
"ENSA",0,1,0,1,0,1,0,1,0,2,0,1
"GOLPH3L",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"HORMAD1",2,1,1.99994298122268,0.5,0,2,0,1,2,3,0.666679308369914,0.8125
"CTSS",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CTSK",6,8,0.750009838798097,0.78802490234375,0,0,0,1,6,8,0.750009838798097,0.78802490234375
"ARNT",0,0,0,1,15,15,1,0.572232224047184,15,15,1,0.572232224047184
"SETDB1",1,1,1,0.75,7,6,1.16665941848379,0.5,8,7,1.14285115631106,0.5
"CERS2",0,0,0,1,0,0,0,1,0,0,0,1
"ANXA9",12,10,1.19999087544338,0.415905952453613,0,0,0,1,12,10,1.19999087544338,0.415905952453613
"BNIPL",4,6,0.666679309338813,0.828125,0,0,0,1,4,6,0.666679309338813,0.828125
"C1orf56",3,2,1.49997155670705,0.5,2,3,0.666679308369914,0.8125,5,5,1,0.623046875
"CDC42SE1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"MLLT11",0,0,0,1,0,0,0,1,0,0,0,1
"GABPB2",5,3,1.66662789881154,0.36328125,0,0,0,1,5,3,1.66662789881154,0.36328125
"SEMA6C",3,6,0.500014255773652,0.91015625,0,0,0,1,3,6,0.500014255773652,0.91015625
"TNFAIP8L2",0,1,0,1,0,0,0,1,0,1,0,1
"LYSMD1",5,2,2.50006680582914,0.2265625,0,0,0,1,5,2,2.50006680582914,0.2265625
"SCNM1",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"TMOD4",4,6,0.666679309338813,0.828125,0,0,0,1,4,6,0.666679309338813,0.828125
"VPS72",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"PIP5K1A",1,1,1,0.75,1,2,0.500014255100735,0.875,2,3,0.666679308369914,0.8125
"PSMD4",0,0,0,1,0,0,0,1,0,0,0,1
"ZNF687",0,0,0,1,0,0,0,1,0,0,0,1
"PI4KB",0,0,0,1,16,16,1,0.569974967045709,16,16,1,0.569974967045709
"RFX5",3,4,0.750009838248499,0.7734375,0,0,0,1,3,4,0.750009838248499,0.7734375
"SELENBP1",2,7,0.285751805602504,0.98046875,0,0,0,1,2,7,0.285751805602504,0.98046875
"PSMB4",0,2,0,1,0,0,0,1,0,2,0,1
"POGZ",0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
"CGN",36,37,0.972968537601367,0.592439382387501,0,0,0,1,36,37,0.972968537601367,0.592439382387501
"TUFT1",17,21,0.809531169001902,0.791153904581734,0,0,0,1,17,21,0.809531169001902,0.791153904581734
"SNX27",0,0,0,1,0,0,0,1,0,0,0,1
"CELF3",1,1,1,0.75,19,10,1.89994818605365,0.0680229738354683,20,11,1.81813441081036,0.0748063921928405
"RIIAD1",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"MRPL9",7,8,0.875004583473351,0.696380615234375,0,0,0,1,7,8,0.875004583473351,0.696380615234375
"OAZ3",4,7,0.571442807317693,0.88671875,0,0,0,1,4,7,0.571442807317693,0.88671875
"TDRKH",0,6,0,1,0,0,0,1,0,6,0,1
