"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"14323","ALAS1",0.5217,"NA","134 vs 170","-",NA,"-",NA,"18 vs 12",0.99,"-",NA,"1 vs 1",1,"115 vs 157",0.53
"14324","METTL8",0.5217,"NA","82 vs 110","-",NA,"-",NA,"15 vs 25",0.64,"-",NA,"-",NA,"67 vs 85",0.81
"14325","CEND1",0.5216,"NA","51 vs 40","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"-",NA,"51 vs 39",1.02
"14326","PDGFD",0.5216,"NA","104 vs 125","-",NA,"-",NA,"3 vs 9",0.74,"-",NA,"2 vs 0",1.07,"99 vs 116",0.66
"14327","HIST1H2AC",0.5213,"NA","10 vs 11","-",NA,"0 vs 1",0.51,"-",NA,"2 vs 1",1.13,"8 vs 9",0.9,"-",NA
"14328","MYH4",0.5212,"4","400 vs 405","-",NA,"-",NA,"56 vs 53",0.63,"-",NA,"-",NA,"344 vs 352",0.82
"14329","ZNF681",0.5211,"NA","129 vs 143","-",NA,"-",NA,"9 vs 13",0.71,"-",NA,"-",NA,"120 vs 130",0.74
"14330","SPATA20",0.5208,"NA","293 vs 321","-",NA,"-",NA,"17 vs 29",0.6,"-",NA,"1 vs 4",0.9,"275 vs 288",0.96
"14331","NUDT4",0.5207,"NA","1 vs 1","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"-",NA,"1 vs 0",1.02
"14332","SUB1",0.5206,"NA","2 vs 2","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"-",NA,"2 vs 1",1.02
"14333","OR51B6",0.5206,"NA","84 vs 108","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"84 vs 108",0.52
"14334","CRYBG3",0.5205,"NA","214 vs 239","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"214 vs 238",0.56
"14335","TMEM204",0.5205,"NA","59 vs 55","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"25 vs 21",1.14,"34 vs 33",0.89
"14336","FAR2",0.5204,"NA","50 vs 67","-",NA,"1 vs 1",0.76,"-",NA,"-",NA,"12 vs 12",0.97,"37 vs 54",0.71
"14337","UCKL1",0.52,"NA","139 vs 131","-",NA,"-",NA,"4 vs 5",0.88,"9 vs 12",0.46,"40 vs 34",1.24,"86 vs 80",1.03
"14338","HADHB",0.52,"NA","54 vs 85","-",NA,"-",NA,"5 vs 8",0.69,"-",NA,"-",NA,"49 vs 77",0.75
"14339","FCGBP",0.52,"NA","29 vs 33","-",NA,"-",NA,"29 vs 33",0.52,"-",NA,"-",NA,"-",NA
"14340","PRPSAP2",0.5199,"NA","22 vs 20","-",NA,"-",NA,"1 vs 0",1.06,"0 vs 4",0.48,"16 vs 12",0.97,"5 vs 4",1.03
"14341","RIMS4",0.5197,"NA","11 vs 17","-",NA,"-",NA,"0 vs 1",0.94,"7 vs 8",0.64,"4 vs 8",0.87,"-",NA
"14342","SLC4A4",0.5197,"NA","146 vs 140","1 vs 2",0.31,"-",NA,"-",NA,"10 vs 4",1.98,"57 vs 57",0.88,"78 vs 77",0.96
"14343","MAPT",0.5196,"NA","182 vs 201","-",NA,"-",NA,"1 vs 2",0.93,"12 vs 13",0.47,"11 vs 4",1.29,"158 vs 182",0.92
"14344","DPP6",0.5195,"4","115 vs 123","-",NA,"-",NA,"1 vs 2",0.93,"-",NA,"38 vs 44",0.69,"76 vs 77",0.81
"14345","SEC23B",0.5195,"NA","175 vs 179","-",NA,"-",NA,"10 vs 12",0.69,"-",NA,"-",NA,"165 vs 167",0.76
"14346","HR",0.5194,"NA","324 vs 334","-",NA,"-",NA,"4 vs 3",1.05,"-",NA,"-",NA,"320 vs 331",0.49
"14347","BRAF",0.5194,NA,"35 vs 33","1 vs 1",0.74,"-",NA,"-",NA,"3 vs 4",0.72,"13 vs 17",0.84,"18 vs 11",1.17
"14348","GJB6",0.5194,"NA","93 vs 128","-",NA,"-",NA,"17 vs 34",0.75,"-",NA,"-",NA,"76 vs 94",0.69
"14349","SNCAIP",0.5193,"NA","172 vs 204","-",NA,"-",NA,"2 vs 5",0.8,"-",NA,"1 vs 0",1.03,"169 vs 199",0.63
"14350","PRIMPOL",0.5192,"NA","138 vs 179","-",NA,"-",NA,"24 vs 26",0.85,"-",NA,"-",NA,"114 vs 153",0.61
"14351","L3MBTL4",0.5191,"NA","160 vs 178","-",NA,"-",NA,"5 vs 9",0.73,"-",NA,"-",NA,"155 vs 169",0.71
"14352","MAP3K11",0.519,"NA","165 vs 202","-",NA,"-",NA,"4 vs 0",1.29,"7 vs 5",1.08,"41 vs 55",0.6,"113 vs 142",0.62
"14353","INPP5A",0.5188,"NA","94 vs 116","-",NA,"2 vs 1",0.9,"-",NA,"-",NA,"63 vs 72",0.67,"29 vs 43",0.86
"14354","ACAD11",0.5188,"NA","178 vs 177","-",NA,"-",NA,"16 vs 27",0.54,"-",NA,"-",NA,"162 vs 150",0.97
"14355","LSMEM2",0.5187,"NA","61 vs 68","-",NA,"-",NA,"14 vs 24",0.55,"-",NA,"-",NA,"47 vs 44",0.94
"14356","LRRC17",0.5186,"NA","76 vs 95","-",NA,"-",NA,"2 vs 10",0.58,"-",NA,"5 vs 5",0.99,"69 vs 80",0.9
"14357","ZC3H13",0.5187,"NA","335 vs 344","2 vs 2",0.77,"-",NA,"-",NA,"-",NA,"32 vs 20",1.39,"301 vs 322",0.49
"14358","VPS35",0.5186,"NA","52 vs 50","-",NA,"5 vs 6",0.67,"-",NA,"0 vs 1",0.83,"12 vs 14",0.91,"35 vs 29",1.02
"14359","CHRNA3",0.5185,"NA","125 vs 136","-",NA,"-",NA,"8 vs 18",0.67,"-",NA,"7 vs 15",0.74,"110 vs 103",1.04
"14360","CPA3",0.5184,"NA","126 vs 153","-",NA,"-",NA,"4 vs 7",0.71,"-",NA,"-",NA,"122 vs 146",0.73
"14361","TM9SF2",0.5184,"NA","69 vs 61","0 vs 1",0.49,"-",NA,"-",NA,"2 vs 4",0.6,"33 vs 23",2,"34 vs 33",0.9
"14362","CS",0.5183,"NA","15 vs 8","-",NA,"0 vs 2",0.37,"-",NA,"2 vs 1",1.13,"4 vs 1",1.16,"9 vs 4",1.07
"14363","SIGLEC15",0.5183,"NA","104 vs 116","-",NA,"-",NA,"14 vs 15",0.66,"-",NA,"47 vs 42",1.01,"43 vs 59",0.77
"14364","OTUD6B",0.5183,"NA","72 vs 105","-",NA,"-",NA,"3 vs 9",0.79,"-",NA,"-",NA,"69 vs 96",0.66
"14365","SPATA31E1",0.5183,"NA","379 vs 424","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"379 vs 424",0.52
"14366","HTRA3",0.5183,"NA","92 vs 108","-",NA,"-",NA,"1 vs 4",0.85,"0 vs 2",0.7,"5 vs 5",0.97,"86 vs 97",0.9
"14367","NR4A2",0.5181,"4","53 vs 64","-",NA,"-",NA,"-",NA,"1 vs 3",0.69,"12 vs 15",0.86,"40 vs 46",0.87
"14368","PARP1",0.5181,"NA","187 vs 209","-",NA,"-",NA,"5 vs 6",0.88,"-",NA,"11 vs 10",0.9,"171 vs 193",0.65
"14369","ADAMTS16",0.5181,"NA","395 vs 408","-",NA,"-",NA,"3 vs 4",0.97,"-",NA,"-",NA,"392 vs 404",0.54
"14370","EGLN3",0.518,"NA","21 vs 20","-",NA,"-",NA,"0 vs 1",0.94,"2 vs 5",0.54,"15 vs 13",0.99,"4 vs 1",1.04
"14371","ARVCF",0.5179,"NA","383 vs 380","-",NA,"-",NA,"5 vs 7",0.9,"-",NA,"-",NA,"378 vs 373",0.58
"14372","ARID5B",0.5178,"NA","185 vs 189","1 vs 0",1.51,"-",NA,"-",NA,"5 vs 8",0.44,"78 vs 75",0.95,"101 vs 106",0.82
"14373","TNRC6A",0.5177,"NA","497 vs 477","3 vs 4",0.19,"-",NA,"-",NA,"5 vs 3",1.25,"30 vs 21",1.11,"459 vs 449",1.94
"14374","MAN1B1",0.5176,"NA","257 vs 268","-",NA,"-",NA,"5 vs 5",0.98,"-",NA,"-",NA,"252 vs 263",0.53
"14375","MDGA2",0.5175,"4","121 vs 128","-",NA,"-",NA,"-",NA,"4 vs 5",0.64,"14 vs 20",0.97,"103 vs 103",0.84
"14376","GDF1",0.5172,"NA","80 vs 87","-",NA,"-",NA,"1 vs 2",0.93,"38 vs 26",0.96,"21 vs 34",0.61,"20 vs 25",0.95
"14377","ENKUR",0.5172,"NA","96 vs 114","-",NA,"-",NA,"6 vs 5",0.95,"-",NA,"-",NA,"90 vs 109",0.54
"14378","ARHGEF38",0.5172,"NA","148 vs 147","-",NA,"-",NA,"7 vs 14",0.71,"-",NA,"-",NA,"141 vs 133",0.73
"14379","ANKK1",0.517,"NA","297 vs 312","-",NA,"-",NA,"5 vs 7",0.85,"-",NA,"-",NA,"292 vs 305",0.61
"14380","ZNF107",0.517,"NA","131 vs 161","-",NA,"-",NA,"5 vs 5",0.9,"-",NA,"-",NA,"126 vs 156",0.57
"14381","IL12RB2",0.5166,"NA","239 vs 272","-",NA,"-",NA,"6 vs 7",0.91,"-",NA,"-",NA,"233 vs 265",0.57
"14382","SLC35D3",0.5166,"NA","87 vs 96","-",NA,"-",NA,"0 vs 2",0.87,"-",NA,"46 vs 62",0.58,"41 vs 32",1.02
"14383","HAPLN1",0.5165,"NA","58 vs 74","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"-",NA,"58 vs 73",1.01
"14384","GTF3C3",0.5165,"NA","67 vs 84","-",NA,"-",NA,"5 vs 5",0.97,"0 vs 3",0.63,"19 vs 15",1.18,"43 vs 61",0.71
"14385","SMARCC2",0.5164,"2","154 vs 176","1 vs 0",1.51,"-",NA,"-",NA,"4 vs 5",0.67,"69 vs 88",0.55,"80 vs 83",0.92
"14386","CIZ1",0.5164,"NA","158 vs 186","-",NA,"-",NA,"0 vs 2",0.92,"-",NA,"6 vs 6",0.99,"152 vs 178",0.57
"14387","MISP",0.5164,"NA","262 vs 267","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"262 vs 266",0.55
"14388","IFI30",0.5163,"NA","54 vs 73","-",NA,"-",NA,"1 vs 9",0.68,"-",NA,"-",NA,"53 vs 64",0.75
"14389","LRRC8B",0.5162,"NA","77 vs 80","2 vs 2",0.56,"-",NA,"-",NA,"-",NA,"31 vs 42",0.8,"44 vs 36",1.15
"14390","PEX16",0.5162,"NA","97 vs 126","-",NA,"-",NA,"2 vs 0",1.18,"-",NA,"43 vs 50",0.7,"52 vs 76",0.62
"14391","METTL16",0.5158,"NA","70 vs 62","-",NA,"1 vs 2",0.55,"-",NA,"7 vs 6",0.82,"10 vs 9",1.07,"52 vs 45",1.07
"14392","TMEM245",0.5158,"NA","192 vs 173","-",NA,"-",NA,"4 vs 4",0.98,"19 vs 16",0.54,"47 vs 50",0.73,"122 vs 103",1.33
"14393","MMP15",0.5157,"NA","223 vs 207","-",NA,"-",NA,"3 vs 0",1.21,"3 vs 6",0.61,"59 vs 69",0.62,"158 vs 132",1.13
"14394","TM9SF3",0.5155,"NA","59 vs 46","1 vs 1",0.64,"-",NA,"-",NA,"2 vs 4",0.65,"39 vs 33",1.1,"17 vs 8",1.14
"14395","MED26",0.5155,"NA","167 vs 153","-",NA,"15 vs 16",0.45,"-",NA,"-",NA,"21 vs 21",0.94,"131 vs 116",1.23
"14396","GOLT1B",0.5155,"NA","3 vs 3","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"1 vs 1",1,"2 vs 1",1.01
"14397","SF3B1",0.5155,"4","25 vs 23","0 vs 1",0.49,"-",NA,"-",NA,"3 vs 3",0.96,"21 vs 19",1.09,"1 vs 0",1.02
"14398","BBX",0.5154,"NA","166 vs 157","-",NA,"4 vs 7",0.51,"-",NA,"-",NA,"-",NA,"162 vs 150",1.02
"14399","SLC44A2",0.5153,"NA","164 vs 195","-",NA,"-",NA,"4 vs 2",1.12,"-",NA,"42 vs 42",0.88,"118 vs 151",0.52
"14400","DEPDC1B",0.5153,"NA","124 vs 130","-",NA,"-",NA,"12 vs 16",0.66,"-",NA,"-",NA,"112 vs 114",0.78
"14401","PRDM16",0.5151,"NA","417 vs 412","2 vs 1",1.16,"-",NA,"-",NA,"9 vs 13",0.62,"98 vs 85",1.32,"308 vs 313",0.54
"14402","RORC",0.5151,"NA","63 vs 62","0 vs 1",0.49,"-",NA,"-",NA,"-",NA,"20 vs 12",1.22,"43 vs 49",0.87
"14403","RGL1",0.5149,"NA","93 vs 90","-",NA,"0 vs 1",0.51,"-",NA,"3 vs 4",0.87,"18 vs 10",1.35,"72 vs 75",0.86
"14404","GPR1",0.5148,"NA","108 vs 113","-",NA,"-",NA,"22 vs 21",0.78,"-",NA,"-",NA,"86 vs 92",0.66
"14405","TNFAIP2",0.5147,"NA","84 vs 111","-",NA,"-",NA,"3 vs 3",0.99,"8 vs 8",0.93,"8 vs 17",0.74,"65 vs 83",0.76
"14406","FOSB",0.5146,"NA","62 vs 69","-",NA,"-",NA,"-",NA,"20 vs 19",0.79,"36 vs 45",0.63,"6 vs 5",1.05
"14407","SLC9A3R2",0.5146,"NA","194 vs 199","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"193 vs 198",0.52
