"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"2404","TBC1D16",1.3559,"NA","222 vs 213","-",NA,"-",NA,"7 vs 3",1.67,"1 vs 0",1.17,"30 vs 31",0.87,"184 vs 179",0.8
"2405","DRAP1",1.3558,"NA","19 vs 20","-",NA,"-",NA,"1 vs 0",1.06,"2 vs 0",1.42,"0 vs 5",0.87,"16 vs 15",1.03
"2406","TPSD1",1.3557,"NA","82 vs 72","-",NA,"-",NA,"4 vs 4",0.92,"-",NA,"-",NA,"78 vs 68",1.48
"2407","PMS2",1.3555,"NA","71 vs 69","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"70 vs 68",1.36
"2408","LYSMD1",1.355,"NA","49 vs 38","-",NA,"-",NA,"5 vs 2",1.08,"-",NA,"6 vs 9",0.94,"38 vs 27",1.33
"2409","TIGD7",1.354,"NA","125 vs 114","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"125 vs 114",1.35
"2410","PNMA2",1.3535,"NA","82 vs 74","-",NA,"-",NA,"2 vs 3",0.96,"-",NA,"9 vs 3",1.18,"71 vs 68",1.19
"2411","DGKG",1.3533,"NA","308 vs 296","-",NA,"-",NA,"9 vs 2",1.6,"-",NA,"-",NA,"299 vs 294",0.85
"2412","MYB",1.3529,"NA","147 vs 127","-",NA,"1 vs 0",1.49,"-",NA,"7 vs 7",0.93,"13 vs 10",1.12,"126 vs 110",0.87
"2413","CAMKK2",1.3529,"NA","127 vs 115","-",NA,"-",NA,"1 vs 1",1,"-",NA,"34 vs 26",1.18,"92 vs 88",1.15
"2414","ZNF426",1.3527,"NA","115 vs 97","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"-",NA,"113 vs 96",1.28
"2415","LIX1",1.3526,"NA","75 vs 58","-",NA,"-",NA,"14 vs 13",0.94,"-",NA,"1 vs 1",1,"60 vs 44",1.44
"2416","OSGEP",1.3526,"NA","81 vs 69","-",NA,"-",NA,"3 vs 1",1.13,"3 vs 1",1.32,"8 vs 6",1.02,"67 vs 61",0.89
"2417","CYP4F2",1.3523,"NA","155 vs 118","-",NA,"-",NA,"12 vs 12",0.88,"-",NA,"-",NA,"143 vs 106",1.54
"2418","RARRES1",1.3521,"NA","67 vs 56","-",NA,"-",NA,"8 vs 3",1.4,"-",NA,"14 vs 21",0.8,"45 vs 32",1.21
"2419","SCGB2A2",1.3521,"NA","28 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 29",1.35
"2420","MARVELD2",1.3516,"NA","169 vs 147","-",NA,"-",NA,"14 vs 9",1.11,"-",NA,"-",NA,"155 vs 138",1.22
"2421","SOCS3",1.3513,"NA","30 vs 21","-",NA,"1 vs 0",1.49,"-",NA,"2 vs 3",0.79,"25 vs 18",1.11,"2 vs 0",1.04
"2422","LACTBL1",1.3511,"NA","15 vs 5","-",NA,"-",NA,"15 vs 5",1.35,"-",NA,"-",NA,"-",NA
"2423","CR1L",1.3507,"NA","59 vs 71","-",NA,"-",NA,"4 vs 1",1.16,"-",NA,"-",NA,"55 vs 70",1.16
"2424","SMG5",1.3505,"NA","278 vs 275","-",NA,"-",NA,"3 vs 1",1.13,"-",NA,"46 vs 35",1.06,"229 vs 239",1.13
"2425","ISYNA1",1.3505,"NA","142 vs 105","-",NA,"-",NA,"2 vs 0",1.18,"8 vs 10",0.74,"47 vs 30",1.39,"85 vs 65",1.12
"2426","SLC29A2",1.3496,"NA","145 vs 118","-",NA,"-",NA,"10 vs 11",0.98,"-",NA,"-",NA,"135 vs 107",1.38
"2427","TCEA1",1.3496,"NA","7 vs 4","-",NA,"-",NA,"-",NA,"2 vs 0",1.36,"0 vs 1",0.97,"5 vs 3",1.03
"2428","RAB5C",1.3493,"NA","60 vs 47","-",NA,"2 vs 1",0.9,"-",NA,"-",NA,"9 vs 8",1.01,"49 vs 38",1.49
"2429","CDT1",1.3492,"NA","228 vs 224","-",NA,"-",NA,"9 vs 6",1.24,"1 vs 0",1.17,"13 vs 6",1.18,"205 vs 212",0.79
"2430","TSC22D4",1.3492,"NA","139 vs 144","-",NA,"2 vs 0",2.21,"-",NA,"-",NA,"4 vs 2",1.03,"133 vs 142",0.59
"2431","TAL1",1.3489,"NA","92 vs 84","-",NA,"0 vs 1",0.51,"-",NA,"4 vs 0",1.85,"47 vs 43",1.49,"41 vs 40",0.96
"2432","OR52K1",1.3486,"NA","7 vs 2","-",NA,"-",NA,"7 vs 2",1.35,"-",NA,"-",NA,"-",NA
"2433","NOL11",1.348,"NA","113 vs 100","-",NA,"-",NA,"4 vs 1",1.15,"-",NA,"-",NA,"109 vs 99",1.17
"2434","SSMEM1",1.3479,"NA","111 vs 90","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"-",NA,"109 vs 89",1.33
"2435","LMAN1L",1.3476,"NA","132 vs 126","-",NA,"-",NA,"15 vs 8",0.96,"1 vs 0",1.17,"7 vs 6",1.03,"109 vs 112",1.17
"2436","FMN1",1.3476,"NA","199 vs 204","-",NA,"-",NA,"6 vs 3",1.19,"-",NA,"-",NA,"193 vs 201",1.13
"2437","RNF44",1.3475,"NA","144 vs 127","-",NA,"-",NA,"6 vs 1",1.43,"-",NA,"-",NA,"138 vs 126",0.94
"2438","SUMO3",1.3475,"NA","5 vs 0","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"4 vs 0",1.16,"-",NA
"2439","NIPAL3",1.3473,"NA","129 vs 115","-",NA,"-",NA,"3 vs 3",1.03,"-",NA,"0 vs 1",0.97,"126 vs 111",1.35
"2440","SOX17",1.3473,"NA","74 vs 73","-",NA,"-",NA,"-",NA,"9 vs 5",1.54,"34 vs 38",0.92,"31 vs 30",0.95
"2441","PMM2",1.3472,"NA","126 vs 109","-",NA,"-",NA,"7 vs 5",1.07,"-",NA,"-",NA,"119 vs 104",1.26
"2442","RAB3C",1.347,"NA","37 vs 28","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"1 vs 0",1.03,"35 vs 28",1.22
"2443","TMEM175",1.3469,"NA","253 vs 227","-",NA,"-",NA,"12 vs 3",2.08,"-",NA,"-",NA,"241 vs 224",0.65
"2444","CDH9",1.3466,"4","80 vs 82","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"41 vs 32",1.1,"38 vs 50",0.82
"2445","MST1R",1.3461,"NA","420 vs 398","-",NA,"-",NA,"47 vs 59",0.45,"-",NA,"-",NA,"373 vs 339",2.96
"2446","ZNF93",1.3462,"NA","113 vs 86","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"112 vs 86",1.26
"2447","CRISP2",1.3461,"NA","76 vs 65","-",NA,"-",NA,"5 vs 8",0.91,"-",NA,"-",NA,"71 vs 57",1.48
"2448","GLDN",1.3461,"NA","146 vs 131","-",NA,"-",NA,"11 vs 6",1.62,"6 vs 4",0.95,"4 vs 4",0.98,"125 vs 117",0.89
"2449","TFRC",1.346,"NA","147 vs 120","-",NA,"-",NA,"3 vs 2",1.06,"-",NA,"-",NA,"144 vs 118",1.27
"2450","SLC22A13",1.346,"NA","241 vs 233","-",NA,"-",NA,"32 vs 26",1.06,"-",NA,"-",NA,"209 vs 207",1.27
"2451","HIGD1B",1.3458,"NA","47 vs 45","-",NA,"-",NA,"5 vs 1",1.33,"-",NA,"-",NA,"42 vs 44",1.01
"2452","TBX15",1.3457,"NA","93 vs 94","-",NA,"2 vs 1",1.19,"-",NA,"-",NA,"13 vs 10",1.12,"78 vs 83",1.01
"2453","PSMB5",1.3453,"NA","45 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"19 vs 10",1.43,"26 vs 26",0.94
"2454","ZNF836",1.3449,"NA","164 vs 144","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"164 vs 144",1.34
"2455","SLC36A1",1.3448,"NA","129 vs 125","-",NA,"-",NA,"5 vs 5",0.97,"-",NA,"19 vs 21",1.12,"105 vs 99",1.24
"2456","TMEM184A",1.3447,"NA","162 vs 152","-",NA,"-",NA,"9 vs 4",1.83,"-",NA,"-",NA,"153 vs 148",0.73
"2457","CAP2",1.3446,"NA","71 vs 79","-",NA,"5 vs 3",1.66,"-",NA,"-",NA,"4 vs 4",1,"62 vs 72",0.82
"2458","TMEM62",1.3446,"NA","138 vs 104","-",NA,"-",NA,"11 vs 9",1.17,"-",NA,"1 vs 0",1.03,"126 vs 95",1.11
"2459","SDC4",1.3444,"NA","58 vs 64","-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"-",NA,"55 vs 64",1.11
"2460","UBAC1",1.3442,"NA","168 vs 158","-",NA,"-",NA,"4 vs 1",1.15,"-",NA,"9 vs 4",1.48,"155 vs 153",0.79
"2461","MYOCD",1.3441,"NA","286 vs 280","-",NA,"-",NA,"4 vs 2",1.12,"-",NA,"-",NA,"282 vs 278",1.2
"2462","SEMA4A",1.344,"NA","194 vs 177","-",NA,"-",NA,"7 vs 1",1.56,"-",NA,"-",NA,"187 vs 176",0.86
"2463","B3GNT7",1.344,"NA","73 vs 68","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"13 vs 14",0.94,"59 vs 54",0.96
"2464","HIBCH",1.3437,"NA","66 vs 51","-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"63 vs 48",1.42
"2465","GALNT4",1.3431,"NA","144 vs 145","-",NA,"-",NA,"2 vs 3",0.93,"-",NA,"-",NA,"142 vs 142",1.45
"2466","DFFA",1.343,"NA","94 vs 95","-",NA,"-",NA,"13 vs 4",1.51,"-",NA,"11 vs 7",1.24,"70 vs 84",0.72
"2467","PURG",1.343,"NA","26 vs 23","-",NA,"-",NA,"-",NA,"3 vs 1",1.32,"17 vs 13",1.09,"6 vs 9",0.93
"2468","BAAT",1.343,"NA","79 vs 73","-",NA,"-",NA,"4 vs 2",1.22,"-",NA,"-",NA,"75 vs 71",1.1
"2469","PDE4B",1.3422,"5","65 vs 55","-",NA,"-",NA,"1 vs 3",0.83,"-",NA,"27 vs 16",1.6,"37 vs 36",1.01
"2470","TPPP",1.342,"NA","40 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"13 vs 11",1,"27 vs 28",1.34
"2471","DYRK1B",1.3419,"NA","123 vs 101","-",NA,"3 vs 1",1.45,"-",NA,"-",NA,"52 vs 48",0.83,"68 vs 52",1.11
"2472","ARMC8",1.3417,"NA","66 vs 46","2 vs 1",1.11,"-",NA,"-",NA,"0 vs 1",0.83,"29 vs 18",1.31,"35 vs 26",1.1
"2473","TLL2",1.3415,"NA","370 vs 375","-",NA,"-",NA,"29 vs 15",1.33,"-",NA,"-",NA,"341 vs 360",1.01
"2474","R3HDML",1.3406,"NA","102 vs 65","-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"99 vs 62",1.42
"2475","SIKE1",1.3402,"NA","58 vs 47","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"14 vs 8",1.25,"42 vs 38",1.01
"2476","DUT",1.3401,"NA","30 vs 22","-",NA,"-",NA,"0 vs 1",0.94,"8 vs 6",1.07,"16 vs 8",1.41,"6 vs 7",0.95
"2477","FBLN1",1.3401,"NA","198 vs 187","-",NA,"1 vs 1",0.76,"-",NA,"-",NA,"90 vs 89",1.9,"107 vs 97",0.92
"2478","SMAD3",1.3399,"NA","18 vs 15","-",NA,"-",NA,"-",NA,"2 vs 0",1.36,"16 vs 15",0.99,"-",NA
"2479","TMEM190",1.3398,"NA","82 vs 71","-",NA,"-",NA,"1 vs 3",0.91,"-",NA,"54 vs 38",1.5,"27 vs 30",0.98
"2480","FAM107A",1.3393,"NA","37 vs 32","-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"-",NA,"34 vs 32",1.11
"2481","LIPE",1.3391,"NA","374 vs 343","-",NA,"-",NA,"11 vs 10",0.92,"-",NA,"176 vs 146",1.46,"187 vs 187",0.99
"2482","CLIC1",1.3389,"NA","47 vs 32","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"8 vs 4",1.11,"38 vs 28",1.13
"2483","TMEFF1",1.3388,"NA","50 vs 49","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"13 vs 18",0.88,"36 vs 31",1.03
"2484","FDCSP",1.3388,"NA","26 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"26 vs 18",1.34
"2485","H2AFJ",1.3387,"NA","21 vs 18","-",NA,"-",NA,"4 vs 1",1.12,"5 vs 3",1.36,"11 vs 14",0.87,"1 vs 0",1.02
"2486","VPS36",1.3385,"NA","49 vs 37","-",NA,"-",NA,"3 vs 0",1.25,"-",NA,"12 vs 9",1.08,"34 vs 28",0.99
"2487","MTURN",1.3383,"NA","19 vs 14","-",NA,"-",NA,"2 vs 0",1.18,"3 vs 4",1.02,"10 vs 9",0.99,"4 vs 1",1.13
"2488","LSM7",1.3376,"NA","10 vs 6","-",NA,"-",NA,"-",NA,"3 vs 1",1.24,"4 vs 4",1.01,"3 vs 1",1.07
"2489","INPP5J",1.3375,"NA","182 vs 164","-",NA,"-",NA,"9 vs 4",1.4,"-",NA,"-",NA,"173 vs 160",0.96
"2490","RFX1",1.3374,"NA","166 vs 162","0 vs 1",0.49,"-",NA,"-",NA,"11 vs 3",3.41,"27 vs 30",0.91,"128 vs 128",0.88
"2491","CCDC171",1.3369,"NA","39 vs 43","-",NA,"-",NA,"39 vs 43",1.34,"-",NA,"-",NA,"-",NA
"2492","MADD",1.3369,"NA","419 vs 412","-",NA,"-",NA,"19 vs 17",1.2,"-",NA,"79 vs 69",1.13,"321 vs 326",0.98
"2493","PCDHB11",1.3367,"NA","136 vs 121","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.07,"134 vs 121",1.25
"2494","VKORC1",1.3367,"NA","44 vs 32","-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"14 vs 5",1.34,"29 vs 26",1.05
"2495","RND3",1.3364,"NA","35 vs 29","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"17 vs 15",0.9,"17 vs 14",1
"2496","SCN4A",1.3362,"4","490 vs 456","-",NA,"-",NA,"3 vs 4",0.93,"-",NA,"17 vs 25",0.83,"470 vs 427",1.75
"2497","HMG20A",1.3361,"NA","33 vs 31","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"8 vs 10",0.9,"24 vs 21",1
"2498","CD300E",1.336,"NA","56 vs 48","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"4 vs 2",1.11,"51 vs 46",1.13
"2499","AMDHD1",1.3359,"NA","122 vs 100","-",NA,"-",NA,"2 vs 10",0.71,"-",NA,"-",NA,"120 vs 90",1.89
"2500","RTN4",1.3358,"NA","295 vs 280","-",NA,"-",NA,"6 vs 1",1.36,"-",NA,"-",NA,"289 vs 279",0.98
"2501","OARD1",1.3354,"NA","64 vs 42","-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"1 vs 0",1.03,"62 vs 41",1.35
"2502","LCP2",1.3352,"NA","111 vs 104","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"-",NA,"110 vs 104",0.9
"2503","MPP4",1.3348,"NA","161 vs 124","-",NA,"-",NA,"24 vs 16",1.07,"-",NA,"-",NA,"137 vs 108",1.24
"2504","CA14",1.3348,"NA","114 vs 106","-",NA,"-",NA,"13 vs 6",1.34,"-",NA,"-",NA,"101 vs 100",0.99
"2505","YWHAH",1.3346,"NA","26 vs 19","-",NA,"-",NA,"-",NA,"11 vs 6",1.4,"5 vs 6",0.96,"10 vs 7",0.99
"2506","HELQ",1.3346,"NA","209 vs 207","-",NA,"-",NA,"13 vs 8",1.32,"-",NA,"-",NA,"196 vs 199",1.01
"2507","SH3GL2",1.3345,"NA","65 vs 51","-",NA,"-",NA,"2 vs 2",0.99,"-",NA,"16 vs 10",1.19,"47 vs 39",1.13
"2508","SEPT5",1.334,"NA","38 vs 31","-",NA,"1 vs 0",1.49,"-",NA,"17 vs 12",1.01,"15 vs 15",0.88,"5 vs 4",1.01
"2509","TAS2R3",1.3337,"NA","94 vs 76","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"94 vs 76",1.33
"2510","TRIM4",1.3336,"NA","96 vs 69","-",NA,"-",NA,"5 vs 6",0.98,"-",NA,"-",NA,"91 vs 63",1.36
"2511","NKX2-2",1.3335,"NA","96 vs 82","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"21 vs 13",1.31,"74 vs 69",0.88
"2512","FNDC8",1.3333,"NA","90 vs 76","-",NA,"-",NA,"4 vs 7",0.91,"-",NA,"-",NA,"86 vs 69",1.46
"2513","RPS13",1.3332,"NA","7 vs 5","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"6 vs 5",1.14,"-",NA
"2514","SLC41A3",1.3329,"NA","114 vs 101","-",NA,"-",NA,"4 vs 2",1.12,"-",NA,"-",NA,"110 vs 99",1.19
"2515","SNAP23",1.3328,"NA","36 vs 32","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"2 vs 3",0.94,"33 vs 29",0.95
"2516","RNPC3",1.3326,"NA","130 vs 108","-",NA,"-",NA,"9 vs 5",1.19,"-",NA,"-",NA,"121 vs 103",1.12
"2517","SLK",1.3321,"NA","201 vs 221","-",NA,"-",NA,"4 vs 3",1.05,"15 vs 12",0.93,"59 vs 61",2,"123 vs 145",0.68
"2518","TRPV1",1.3317,"NA","303 vs 289","-",NA,"-",NA,"11 vs 8",1.23,"-",NA,"-",NA,"292 vs 281",1.08
"2519","COMMD2",1.3316,"NA","55 vs 57","-",NA,"-",NA,"6 vs 2",1.51,"-",NA,"24 vs 33",0.8,"25 vs 22",1.11
"2520","AMPD3",1.3315,"NA","261 vs 279","-",NA,"-",NA,"17 vs 12",1.47,"-",NA,"48 vs 40",1.14,"196 vs 227",0.8
"2521","CSGALNACT2",1.3311,"NA","65 vs 50","-",NA,"-",NA,"2 vs 0",1.13,"-",NA,"-",NA,"63 vs 50",1.17
"2522","RNFT2",1.331,"NA","102 vs 97","-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"2 vs 1",1.02,"97 vs 93",1.39
"2523","ZNF444",1.3309,"NA","63 vs 72","-",NA,"1 vs 0",1.49,"-",NA,"3 vs 3",0.92,"38 vs 32",1.22,"21 vs 37",0.8
"2524","PDE5A",1.3309,"NA","140 vs 140","-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"57 vs 49",1.28,"80 vs 91",0.86
"2525","DNAJC21",1.3308,"NA","238 vs 207","-",NA,"-",NA,"11 vs 8",1.02,"-",NA,"-",NA,"227 vs 199",1.3
"2526","KRT79",1.3308,"NA","264 vs 252","-",NA,"-",NA,"17 vs 13",1.67,"-",NA,"-",NA,"247 vs 239",0.8
"2527","SPRYD4",1.3306,"NA","43 vs 34","-",NA,"-",NA,"1 vs 1",1,"-",NA,"18 vs 11",1.3,"24 vs 22",1.03
"2528","SEC63",1.3306,"NA","62 vs 53","-",NA,"-",NA,"4 vs 1",1.15,"-",NA,"11 vs 8",1.15,"47 vs 44",1.01
"2529","ZFP69",1.3304,"NA","137 vs 115","-",NA,"-",NA,"2 vs 6",0.76,"-",NA,"-",NA,"135 vs 109",1.75
"2530","XRRA1",1.3303,"NA","230 vs 255","-",NA,"-",NA,"16 vs 3",1.91,"-",NA,"-",NA,"214 vs 252",0.7
"2531","LCORL",1.3301,"NA","51 vs 56","-",NA,"1 vs 0",1.49,"-",NA,"-",NA,"24 vs 22",1.02,"26 vs 34",0.88
"2532","SIAH1",1.33,"NA","11 vs 12","-",NA,"-",NA,"-",NA,"4 vs 1",1.4,"2 vs 2",1.01,"5 vs 9",0.94
"2533","ZNF177",1.3298,"NA","164 vs 159","-",NA,"-",NA,"2 vs 2",0.95,"-",NA,"-",NA,"162 vs 157",1.4
"2534","ZNF714",1.3298,"NA","55 vs 41","-",NA,"-",NA,"2 vs 0",1.18,"-",NA,"-",NA,"53 vs 41",1.13
"2535","POU2F3",1.3296,"NA","73 vs 68","-",NA,"-",NA,"5 vs 2",1.3,"-",NA,"1 vs 1",0.98,"67 vs 65",1.04
"2536","IQSEC3",1.3293,"NA","296 vs 270","-",NA,"-",NA,"3 vs 2",1.09,"2 vs 2",0.93,"123 vs 90",1.75,"168 vs 176",0.75
"2537","ALOX5",1.329,"NA","122 vs 102","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"18 vs 13",1.1,"103 vs 87",1.24
"2538","SOX10",1.3288,"NA","73 vs 59","-",NA,"-",NA,"-",NA,"10 vs 7",1.27,"40 vs 33",1.05,"23 vs 19",1
"2539","AFP",1.3287,"NA","151 vs 145","-",NA,"-",NA,"11 vs 9",1.21,"-",NA,"-",NA,"140 vs 136",1.1
"2540","SPAG4",1.3286,"NA","127 vs 116","-",NA,"-",NA,"15 vs 18",0.75,"-",NA,"34 vs 33",1.25,"78 vs 65",1.41
"2541","SLC27A2",1.3283,"NA","102 vs 91","-",NA,"-",NA,"4 vs 7",0.95,"1 vs 1",0.97,"6 vs 5",1.03,"91 vs 78",1.39
"2542","HAPLN2",1.3282,"NA","47 vs 63","-",NA,"-",NA,"5 vs 1",1.23,"10 vs 6",2.05,"14 vs 27",0.62,"18 vs 29",0.85
"2543","MFSD8",1.3277,"NA","109 vs 80","-",NA,"-",NA,"2 vs 3",0.93,"-",NA,"-",NA,"107 vs 77",1.43
"2544","CRABP1",1.3276,"NA","17 vs 15","-",NA,"-",NA,"0 vs 1",0.94,"2 vs 0",1.42,"8 vs 7",1.02,"7 vs 7",0.99
"2545","PPP2CB",1.3274,"NA","20 vs 21","-",NA,"-",NA,"0 vs 1",0.94,"4 vs 1",1.45,"8 vs 10",1,"8 vs 9",0.98
"2546","GAP43",1.3271,"5","62 vs 55","-",NA,"-",NA,"5 vs 2",1.08,"-",NA,"-",NA,"57 vs 53",1.23
"2547","OMA1",1.327,"NA","151 vs 127","-",NA,"-",NA,"2 vs 5",0.81,"-",NA,"-",NA,"149 vs 122",1.64
"2548","WIZ",1.327,"NA","145 vs 151","1 vs 0",1.51,"-",NA,"-",NA,"-",NA,"69 vs 66",0.91,"75 vs 85",0.97
"2549","ARF4",1.327,"NA","8 vs 2","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"5 vs 1",1.11,"2 vs 1",1.03
"2550","PGLYRP3",1.3266,"NA","147 vs 109","-",NA,"-",NA,"5 vs 5",1.06,"-",NA,"-",NA,"142 vs 104",1.25
"2551","ATG16L2",1.3262,"NA","146 vs 133","-",NA,"-",NA,"19 vs 11",1.39,"10 vs 9",1.09,"11 vs 11",1.03,"106 vs 102",0.86
"2552","POP1",1.3259,"NA","254 vs 264","-",NA,"-",NA,"21 vs 13",1.5,"-",NA,"3 vs 2",0.99,"230 vs 249",0.89
"2553","ANKRD18A",1.3255,"NA","65 vs 48","-",NA,"-",NA,"-",NA,"1 vs 0",1.17,"5 vs 4",0.99,"59 vs 44",1.15
"2554","SIRPA",1.3255,"NA","47 vs 38","-",NA,"1 vs 0",1.49,"-",NA,"0 vs 1",0.83,"3 vs 3",1,"43 vs 34",1.07
"2555","PSORS1C2",1.3255,"NA","49 vs 47","-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"7 vs 6",1.12,"39 vs 41",0.98
"2556","SNX10",1.3254,"NA","20 vs 14","-",NA,"-",NA,"5 vs 1",1.28,"-",NA,"4 vs 4",1.01,"11 vs 9",1.02
"2557","RSPO1",1.3254,"NA","91 vs 75","-",NA,"-",NA,"3 vs 2",1.06,"-",NA,"12 vs 8",1.13,"76 vs 65",1.11
"2558","SH3BP5",1.3251,"NA","101 vs 119","-",NA,"-",NA,"2 vs 2",0.99,"9 vs 4",2.08,"16 vs 16",0.9,"74 vs 97",0.72
"2559","MAP7",1.3249,"NA","254 vs 219","-",NA,"-",NA,"2 vs 7",0.74,"-",NA,"-",NA,"252 vs 212",1.8
"2560","ZNF76",1.3249,"NA","194 vs 181","-",NA,"-",NA,"11 vs 9",1.1,"-",NA,"-",NA,"183 vs 172",1.21
"2561","RB1CC1",1.3245,"5","195 vs 225","2 vs 0",2.39,"-",NA,"-",NA,"-",NA,"-",NA,"193 vs 225",0.55
"2562","FAM151B",1.3244,"NA","104 vs 75","-",NA,"-",NA,"18 vs 11",1.07,"-",NA,"-",NA,"86 vs 64",1.24
"2563","DNAJC1",1.3244,"NA","96 vs 92","-",NA,"-",NA,"5 vs 3",1.22,"-",NA,"-",NA,"91 vs 89",1.09
"2564","KIAA0895L",1.3243,"NA","100 vs 80","-",NA,"-",NA,"1 vs 1",1,"21 vs 14",1.06,"24 vs 15",1.32,"54 vs 50",0.95
"2565","RRS1",1.3242,"NA","120 vs 108","-",NA,"-",NA,"1 vs 2",0.93,"-",NA,"22 vs 24",0.79,"97 vs 82",1.8
"2566","PPP1R1C",1.3239,"NA","27 vs 19","-",NA,"-",NA,"2 vs 0",1.18,"-",NA,"3 vs 1",1.05,"22 vs 18",1.07
"2567","FLG2",1.3238,"NA","364 vs 350","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA,"363 vs 350",1.24
"2568","STAU2",1.3235,"NA","57 vs 48","-",NA,"2 vs 1",1.13,"-",NA,"-",NA,"9 vs 6",1.1,"46 vs 41",1.06
"2569","ZNF501",1.3233,"NA","94 vs 88","-",NA,"-",NA,"6 vs 6",1.21,"-",NA,"-",NA,"88 vs 82",1.09
"2570","BCL10",1.323,"NA","38 vs 45","-",NA,"-",NA,"2 vs 1",1.06,"1 vs 0",1.17,"17 vs 10",1.2,"18 vs 34",0.89
"2571","ITGA7",1.3228,"NA","372 vs 356","-",NA,"-",NA,"13 vs 18",0.91,"-",NA,"-",NA,"359 vs 338",1.45
"2572","ALDH4A1",1.3228,"NA","228 vs 207","-",NA,"-",NA,"7 vs 5",1.16,"-",NA,"-",NA,"221 vs 202",1.15
"2573","BEND5",1.3228,"NA","78 vs 80","-",NA,"-",NA,"3 vs 4",1.07,"2 vs 0",1.36,"28 vs 23",1.09,"45 vs 53",0.84
"2574","LRRTM4",1.3224,"NA","76 vs 71","-",NA,"-",NA,"3 vs 1",1.05,"-",NA,"27 vs 22",1.08,"46 vs 48",1.16
"2575","PPP1R3C",1.3222,"NA","108 vs 95","-",NA,"-",NA,"7 vs 3",1.25,"-",NA,"-",NA,"101 vs 92",1.06
"2576","ADAT3",1.3221,"NA","144 vs 150","-",NA,"-",NA,"-",NA,"-",NA,"32 vs 25",1.53,"112 vs 125",0.86
"2577","DBF4",1.322,"NA","47 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 42",1.32
"2578","BLK",1.3217,"NA","211 vs 203","-",NA,"-",NA,"10 vs 5",1.22,"-",NA,"-",NA,"201 vs 198",1.08
"2579","H2AFX",1.3217,"NA","5 vs 3","-",NA,"-",NA,"2 vs 0",1.18,"1 vs 0",1.17,"2 vs 3",0.96,"-",NA
"2580","RBM12B",1.3216,"NA","6 vs 2","-",NA,"-",NA,"6 vs 2",1.32,"-",NA,"-",NA,"-",NA
"2581","COX15",1.3213,"NA","113 vs 98","-",NA,"-",NA,"15 vs 4",1.63,"-",NA,"-",NA,"98 vs 94",0.81
"2582","CXCR1",1.3211,"NA","98 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"98 vs 95",1.32
"2583","MED17",1.3209,"NA","94 vs 89","-",NA,"-",NA,"8 vs 6",0.94,"-",NA,"2 vs 3",0.96,"84 vs 80",1.45
"2584","NANP",1.3208,"NA","48 vs 35","-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"15 vs 9",1.2,"32 vs 26",1.04
"2585","HSPB1",1.3208,"NA","27 vs 19","-",NA,"-",NA,"1 vs 1",1,"-",NA,"20 vs 11",1.32,"6 vs 7",1
