"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"PRF1",0,0,0,1,0,0,0,1,0,0,0,1
"ADAMTS14",9,3,3.00007917498088,0.072998046875,0,0,0,1,9,3,3.00007917498088,0.072998046875
"TBATA",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"SGPL1",0,3,0,1,0,0,0,1,0,3,0,1
"PCBD1",4,10,0.399989377164542,0.9713134765625,0,0,0,1,4,10,0.399989377164542,0.9713134765625
"UNC5B",10,12,0.833339669879168,0.738266468048096,0,0,0,1,10,12,0.833339669879168,0.738266468048096
"SLC29A3",0,0,0,1,0,0,0,1,0,0,0,1
"SFMBT2",0,0,0,1,0,3,0,1,0,3,0,1
"CDH23",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PSAP",0,0,0,1,0,0,0,1,0,0,0,1
"CHST3",0,0,0,1,0,0,0,1,0,0,0,1
"SPOCK2",0,0,0,1,0,0,0,1,0,0,0,1
"ASCC1",8,7,1.14285115631106,0.5,0,0,0,1,8,7,1.14285115631106,0.5
"ANAPC16",0,0,0,1,0,0,0,1,0,0,0,1
"DDIT4",0,0,0,1,0,0,0,1,0,0,0,1
"DNAJB12",0,0,0,1,0,0,0,1,0,0,0,1
"MICU1",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"MCU",0,0,0,1,0,0,0,1,0,0,0,1
"OIT3",0,2,0,1,0,0,0,1,0,2,0,1
"PLA2G12B",0,0,0,1,0,0,0,1,0,0,0,1
"P4HA1",0,1,0,1,0,0,0,1,0,1,0,1
"NUDT13",12,16,0.750009839900614,0.827535774558782,0,0,0,1,12,16,0.750009839900614,0.827535774558782
"ECD",11,8,1.37497975778907,0.323802947998047,0,0,0,1,11,8,1.37497975778907,0.323802947998047
"FAM149B1",7,2,3.49954044171834,0.08984375,0,0,0,1,7,2,3.49954044171834,0.08984375
"DNAJC9",0,0,0,1,0,0,0,1,0,0,0,1
"MRPS16",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"ANXA7",13,6,2.16660119491642,0.0835342407226563,0,0,0,1,13,6,2.16660119491642,0.0835342407226563
"MSS51",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"PPP3CB",0,0,0,1,1,2,0.500014255100735,0.875,1,2,0.500014255100735,0.875
"USP54",0,0,0,1,0,1,0,1,0,1,0,1
"MYOZ1",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"SYNPO2L",0,1,0,1,0,0,0,1,0,1,0,1
"AGAP5",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"SEC24C",0,0,0,1,0,0,0,1,0,0,0,1
"FUT11",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"CHCHD1",0,2,0,1,0,0,0,1,0,2,0,1
"ZSWIM8",0,0,0,1,25,23,1.08692910940064,0.442716748643257,25,23,1.08692910940064,0.442716748643257
"NDST2",0,1,0,1,0,0,0,1,0,1,0,1
"CAMK2G",0,0,0,1,5,2,2.50006680582914,0.2265625,5,2,2.50006680582914,0.2265625
"C10orf55",0,0,0,1,0,0,0,1,0,0,0,1
"PLAU",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"VCL",3,1,3.0000799907165,0.3125,10,16,0.625013576836536,0.915681228041649,13,17,0.764715131349215,0.819202695973217
"AP3M1",0,0,0,1,0,0,0,1,0,0,0,1
"ADK",0,0,0,1,0,0,0,1,0,0,0,1
"KAT6B",0,0,0,1,9,13,0.692319593933029,0.856860637664795,9,13,0.692319593933029,0.856860637664795
"DUPD1",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"DUSP13",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"SAMD8",0,0,0,1,0,0,0,1,0,0,0,1
"VDAC2",0,0,0,1,0,0,0,1,0,0,0,1
"COMTD1",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"ZNF503",0,0,0,1,0,0,0,1,0,0,0,1
"ITIH5",11,7,1.57139558889057,0.240341186523438,0,0,0,1,11,7,1.57139558889057,0.240341186523438
"KCNMA1",0,0,0,1,14,13,1.07688784120726,0.5,14,13,1.07688784120726,0.5
"ITIH2",24,22,1.09088494456476,0.4414979560612,0,0,0,1,24,22,1.09088494456476,0.4414979560612
"KIN",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"DLG5",0,0,0,1,0,0,0,1,0,0,0,1
"POLR3A",5,9,0.555569875658781,0.91021728515625,0,0,0,1,5,9,0.555569875658781,0.91021728515625
"RPS24",0,0,0,1,0,1,0,1,0,1,0,1
"TAF3",0,0,0,1,0,0,0,1,0,0,0,1
"ZMIZ1",0,0,0,1,9,1,8.9994598813418,0.0107421875,9,1,8.9994598813418,0.0107421875
"PPIF",8,4,1.99994297718361,0.19384765625,0,0,0,1,8,4,1.99994297718361,0.19384765625
"ZCCHC24",0,0,0,1,21,21,1,0.561192835623842,21,21,1,0.561192835623842
"EIF5AL1",0,1,0,1,0,0,0,1,0,1,0,1
"SFTPA2",0,0,0,1,0,0,0,1,0,0,0,1
"SFTPA1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"SFTPD",0,2,0,1,0,0,0,1,0,2,0,1
"TMEM254",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PLAC9",0,0,0,1,0,0,0,1,0,0,0,1
"ANXA11",8,5,1.59996525139297,0.29052734375,0,0,0,1,8,5,1.59996525139297,0.29052734375
"MAT1A",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"DYDC1",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"DYDC2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"TSPAN14",0,0,0,1,0,1,0,1,0,1,0,1
"SH2D4B",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"GATA3",0,0,0,1,0,0,0,1,0,0,0,1
"LARP4B",0,0,0,1,13,11,1.18181009627599,0.419409871101379,13,11,1.18181009627599,0.419409871101379
"NRG3",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"GHITM",6,4,1.49997155452711,0.376953125,0,0,0,1,6,4,1.49997155452711,0.376953125
"C10orf99",0,0,0,1,0,0,0,1,0,0,0,1
"CDHR1",5,11,0.454559327210576,0.961593627929688,0,0,0,1,5,11,0.454559327210576,0.961593627929688
"LRIT2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"LRIT1",5,9,0.555569875658781,0.91021728515625,0,0,0,1,5,9,0.555569875658781,0.91021728515625
"RGR",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"CCSER2",0,0,0,1,0,0,0,1,0,0,0,1
"GRID1",0,0,0,1,0,0,0,1,0,0,0,1
"OPN4",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"LDB3",0,0,0,1,0,0,0,1,0,0,0,1
"BMPR1A",0,0,0,1,0,0,0,1,0,0,0,1
"MMRN2",5,3,1.66662789881154,0.36328125,1,0,Inf,0.5,6,3,1.99994297853116,0.25390625
"SNCG",0,0,0,1,0,0,0,1,0,0,0,1
"ADIRF",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"GLUD1",0,0,0,1,0,4,0,1,0,4,0,1
"NUTM2D",0,0,0,1,3,4,0.750009838248499,0.7734375,3,4,0.750009838248499,0.7734375
"MINPP1",0,0,0,1,0,0,0,1,0,0,0,1
"PAPSS2",0,1,0,1,0,0,0,1,0,1,0,1
"ATAD1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"PTEN",0,0,0,1,0,0,0,1,0,0,0,1
"RNLS",8,12,0.666679311279021,0.868412017822266,0,0,0,1,8,12,0.666679311279021,0.868412017822266
"LIPJ",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"LIPF",4,5,0.800007767854906,0.74609375,0,0,0,1,4,5,0.800007767854906,0.74609375
"LIPK",5,2,2.50006680582914,0.2265625,0,0,0,1,5,2,2.50006680582914,0.2265625
"LIPN",4,6,0.666679309338813,0.828125,0,0,0,1,4,6,0.666679309338813,0.828125
"LIPM",9,5,1.79995360406146,0.21197509765625,0,0,0,1,9,5,1.79995360406146,0.21197509765625
"ANKRD22",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"STAMBPL1",0,0,0,1,0,0,0,1,0,0,0,1
"ACTA2",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"FAS",0,0,0,1,0,0,0,1,0,0,0,1
"CH25H",0,0,0,1,0,0,0,1,0,0,0,1
"LIPA",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"IFIT2",0,0,0,1,0,0,0,1,0,0,0,1
"IFIT3",0,0,0,1,0,0,0,1,0,0,0,1
"IFIT1B",0,0,0,1,0,0,0,1,0,0,0,1
"IFIT1",0,0,0,1,0,0,0,1,0,0,0,1
"IFIT5",0,0,0,1,0,0,0,1,0,0,0,1
"SLC16A12",0,0,0,1,0,0,0,1,0,0,0,1
"PANK1",1,0,Inf,0.5,1,0,Inf,0.5,2,0,Inf,0.25
"KIF20B",11,24,0.45834724740971,0.99166307609994,0,0,0,1,11,24,0.45834724740971,0.99166307609994
"HTR7",0,0,0,1,0,0,0,1,0,0,0,1
"RPP30",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"ANKRD1",7,0,Inf,0.0078125,0,0,0,1,7,0,Inf,0.0078125
"PCGF5",0,0,0,1,0,0,0,1,0,0,0,1
"HECTD2",0,0,0,1,0,2,0,1,0,2,0,1
"PPP1R3C",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"TNKS2",1,0,Inf,0.5,1,0,Inf,0.5,2,0,Inf,0.25
"BTAF1",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"CPEB3",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"MARCH5",0,0,0,1,0,0,0,1,0,0,0,1
"IDE",0,1,0,1,0,0,0,1,0,1,0,1
"KIF11",0,0,0,1,2,4,0.500014255437044,0.890625,2,4,0.500014255437044,0.890625
"HHEX",0,0,0,1,0,0,0,1,0,0,0,1
"EXOC6",0,1,0,1,0,0,0,1,0,1,0,1
"CYP26C1",1,0,Inf,0.5,10,24,0.416654587996008,0.995479407254606,11,24,0.45834724740971,0.99166307609994
"CYP26A1",2,1,1.99994298122268,0.5,0,3,0,1,2,4,0.500014255437044,0.890625
"MYOF",38,49,0.775519009561486,0.901010429663741,0,0,0,1,38,49,0.775519009561486,0.901010429663741
"CEP55",8,3,2.6667306135269,0.11328125,0,0,0,1,8,3,2.6667306135269,0.11328125
"FFAR4",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"RBP4",0,0,0,1,0,0,0,1,0,0,0,1
"PDE6C",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"FRA10AC1",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"LGI1",0,0,0,1,0,0,0,1,0,0,0,1
"SLC35G1",3,6,0.500014255773652,0.91015625,0,0,0,1,3,6,0.500014255773652,0.91015625
"PLCE1",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"NOC3L",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"TBC1D12",0,0,0,1,0,0,0,1,0,0,0,1
"HELLS",0,0,0,1,0,1,0,1,0,1,0,1
"CYP2C18",0,0,0,1,0,0,0,1,0,0,0,1
"CYP2C19",0,0,0,1,0,0,0,1,0,0,0,1
"CYP2C9",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"CYP2C8",16,16,1,0.569974967045709,0,0,0,1,16,16,1,0.569974967045709
"PDLIM1",0,0,0,1,0,0,0,1,0,0,0,1
"SORBS1",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"ALDH18A1",1,1,1,0.75,2,3,0.666679308369914,0.8125,3,4,0.750009838248499,0.7734375
"TCTN3",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"ENTPD1",0,0,0,1,0,0,0,1,0,0,0,1
"CC2D2B",16,26,0.615398359128193,0.955785226506123,0,0,0,1,16,26,0.615398359128193,0.955785226506123
"CCNJ",1,0,Inf,0.5,0,2,0,1,1,2,0.500014255100735,0.875
"BLNK",0,0,0,1,0,0,0,1,0,0,0,1
"DNTT",5,8,0.62501357396942,0.8665771484375,0,0,0,1,5,8,0.62501357396942,0.8665771484375
"OPALIN",0,1,0,1,0,0,0,1,0,1,0,1
"TLL2",17,10,1.69995926362378,0.123894281685352,0,0,0,1,17,10,1.69995926362378,0.123894281685352
"TM9SF3",0,0,0,1,0,0,0,1,0,0,0,1
