"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"48",1,0.518237654171577,0.00263319645072369,1,"Missense; AF<0.1%",239,239,"CADDtop10%_AutismKB_MAF<1e-4"
"49",1,0.510645086144757,1.84063182856685e-05,1,"Missense; AF>0.1%",702,702,"CADDtop10%_constraint gene_le-3<MAF<1e-2"
"50",0.981176470588235,0.621769971554981,0.000144736879634431,1,"Missense; AF<0.1%",417,425,"CADDtop10%_constraint gene_1e-4<MAF<1e-3"
"51",1.03135888501742,0.234298524269796,0.0405839088742056,0.132238116005452,"Missense; AF<0.1%",1184,1148,"CADDtop10%_constraint gene_MAF<1e-4"
"52",0.9668,0.884528370634981,0.0108868546854083,0.101729395253585,"Missense; AF>0.1%",2417,2500,"CADDtop10%_RVIS_le-3<MAF<1e-2"
"53",1.01951951951952,0.314900412764784,0.0162503067025597,0.366246929120936,"Missense; AF<0.1%",1358,1332,"CADDtop10%_RVIS_1e-4<MAF<1e-3"
"54",1.01501976284585,0.30215969825704,0.024247388683375,0.19208977932518,"Missense; AF<0.1%",2568,2530,"CADDtop10%_RVIS_MAF<1e-4"
"55",1.00316789862724,0.442849233929905,0.00522669153110034,0.203011463234754,"Missense; AF>0.1%",4750,4735,"CADDtop10%_Haploinsuff_le-3<MAF<1e-2"
"56",1.02043369474562,0.245226292662753,0.0178291588841646,0.0881726654301324,"Missense; AF<0.1%",2447,2398,"CADDtop10%_Haploinsuff_1e-4<MAF<1e-3"
"57",1.05319407335438,0.00886486776807759,0.0527287287555724,9.82542231597538e-05,"Missense; AF<0.1%",4336,4117,"CADDtop10%_Haploinsuff_MAF<1e-4"
"58",1.00529287226535,0.426336467305379,0.00820095313814253,0.134424916075021,"Missense; AF>0.1%",2849,2834,"CADDtop10%_SCZ gene_le-3<MAF<1e-2"
"59",1.0703125,0.0288757948369998,0.043944438509006,0.00717310472362215,"Missense; AF<0.1%",1644,1536,"CADDtop10%_SCZ gene_1e-4<MAF<1e-3"
"60",1.00878620240807,0.370353328760067,0.0303102795286166,0.053540981034354,"Missense; AF<0.1%",3100,3073,"CADDtop10%_SCZ gene_MAF<1e-4"
"61",1.03456402199529,0.199078308744358,1.09978549697834e-05,1,"Missense; AF>0.1%",1317,1273,"SIFT<0.05_ID gene_le-3<MAF<1e-2"
"62",1.09683426443203,0.0642557108736691,0.0354112729270028,0.0747119207278884,"Missense; AF<0.1%",589,537,"SIFT<0.05_ID gene_1e-4<MAF<1e-3"
"63",1.0794701986755,0.0682276405966896,0.0694485712349054,0.0452974199168475,"Missense; AF<0.1%",815,755,"SIFT<0.05_ID gene_MAF<1e-4"
"64",0.960502692998205,0.756780640119766,5.60942419685531e-06,1,"Missense; AF>0.1%",535,557,"SIFT<0.05_High_le-3<MAF<1e-2"
